"";"Period";"Association";"Association_top4";"Association_Top3";"Association_Top7"
"US";"3rd";1,08628337858633;0,947243289829695;0,895970296046445;1,00575310695493
"CN";"3rd";1,0283709457041;0,990620599735046;0,897171377613757;1,03133623257354
"KR";"3rd";1,04012070957107;0,996964376168272;0,889322009156731;1,12050843560448
"JP";"3rd";1,09559058636785;0,981347585114066;0,888933463970926;1,06663187781978
"AI";"3rd";2,03352463958489;0,888879391602237;0,97770168456359;0,998720079830294
