"ctry_code";"nace2_code";"RCA_Gen";"RCA_AI";"Period"
"AD";"10";0;NA;"1974-1988"
"AD";"10.5";0;NA;"1974-1988"
"AD";"11";0;NA;"1974-1988"
"AD";"12";0;NA;"1974-1988"
"AD";"13";39,9109429834556;NA;"1974-1988"
"AD";"14";0;NA;"1974-1988"
"AD";"15";0;NA;"1974-1988"
"AD";"16";0;NA;"1974-1988"
"AD";"17";0;NA;"1974-1988"
"AD";"18.1";0;NA;"1974-1988"
"AD";"19";0;NA;"1974-1988"
"AD";"20.1";0;NA;"1974-1988"
"AD";"20.2";0;NA;"1974-1988"
"AD";"20.3";0;NA;"1974-1988"
"AD";"20.4";0;NA;"1974-1988"
"AD";"20.42";0;NA;"1974-1988"
"AD";"20.5";0;NA;"1974-1988"
"AD";"20.51";0;NA;"1974-1988"
"AD";"20.6";0;NA;"1974-1988"
"AD";"21";0;NA;"1974-1988"
"AD";"22";0;NA;"1974-1988"
"AD";"22.1";0;NA;"1974-1988"
"AD";"22.2";0;NA;"1974-1988"
"AD";"23";0;NA;"1974-1988"
"AD";"23.1";0;NA;"1974-1988"
"AD";"23.3";0;NA;"1974-1988"
"AD";"23.42";0;NA;"1974-1988"
"AD";"23.5";0;NA;"1974-1988"
"AD";"24";4,48807363900079;NA;"1974-1988"
"AD";"24.46";0;NA;"1974-1988"
"AD";"25.1";0;NA;"1974-1988"
"AD";"25.2";0;NA;"1974-1988"
"AD";"25.3";0;NA;"1974-1988"
"AD";"25.4";0;NA;"1974-1988"
"AD";"25.5";0;NA;"1974-1988"
"AD";"25.6";0;NA;"1974-1988"
"AD";"25.7";0;NA;"1974-1988"
"AD";"25.9";0;NA;"1974-1988"
"AD";"25.94";0;NA;"1974-1988"
"AD";"26.1";0;NA;"1974-1988"
"AD";"26.11";0;NA;"1974-1988"
"AD";"26.2";0;NA;"1974-1988"
"AD";"26.3";0;NA;"1974-1988"
"AD";"26.4";0;NA;"1974-1988"
"AD";"26.5";0;NA;"1974-1988"
"AD";"26.51";0;NA;"1974-1988"
"AD";"26.52";0;NA;"1974-1988"
"AD";"26.6";0;NA;"1974-1988"
"AD";"26.7";0;NA;"1974-1988"
"AD";"26.8";0;NA;"1974-1988"
"AD";"27.1";0;NA;"1974-1988"
"AD";"27.12";0;NA;"1974-1988"
"AD";"27.2";0;NA;"1974-1988"
"AD";"27.3";0;NA;"1974-1988"
"AD";"27.33";0;NA;"1974-1988"
"AD";"27.4";0;NA;"1974-1988"
"AD";"27.5";11,7109983773471;NA;"1974-1988"
"AD";"27.9";0;NA;"1974-1988"
"AD";"28.1";0;NA;"1974-1988"
"AD";"28.11";0;NA;"1974-1988"
"AD";"28.14";0;NA;"1974-1988"
"AD";"28.21";0;NA;"1974-1988"
"AD";"28.22";15,2272031717326;NA;"1974-1988"
"AD";"28.23";0;NA;"1974-1988"
"AD";"28.25";0;NA;"1974-1988"
"AD";"28.29";0;NA;"1974-1988"
"AD";"28.3";0;NA;"1974-1988"
"AD";"28.4";0;NA;"1974-1988"
"AD";"28.9";0;NA;"1974-1988"
"AD";"28.92";0;NA;"1974-1988"
"AD";"28.94";19,3346580998432;NA;"1974-1988"
"AD";"28.95";0;NA;"1974-1988"
"AD";"28.99";0;NA;"1974-1988"
"AD";"29.1";0;NA;"1974-1988"
"AD";"29.3";0;NA;"1974-1988"
"AD";"30";7,79080071174377;NA;"1974-1988"
"AD";"31";0;NA;"1974-1988"
"AD";"32";4,27689647762127;NA;"1974-1988"
"AD";"32.5";0;NA;"1974-1988"
"AD";"32.9";0;NA;"1974-1988"
"AD";"42.2";0;NA;"1974-1988"
"AD";"42.91";0;NA;"1974-1988"
"AD";"43";0;NA;"1974-1988"
"AD";"62";0;NA;"1974-1988"
"AE";"10";0;NA;"1974-1988"
"AE";"10.5";0;NA;"1974-1988"
"AE";"11";0;NA;"1974-1988"
"AE";"12";0;NA;"1974-1988"
"AE";"13";0;NA;"1974-1988"
"AE";"14";0;NA;"1974-1988"
"AE";"15";0;NA;"1974-1988"
"AE";"16";0;NA;"1974-1988"
"AE";"17";0;NA;"1974-1988"
"AE";"18.1";0;NA;"1974-1988"
"AE";"19";0;NA;"1974-1988"
"AE";"20.1";0;NA;"1974-1988"
"AE";"20.2";0;NA;"1974-1988"
"AE";"20.3";0;NA;"1974-1988"
"AE";"20.4";0;NA;"1974-1988"
"AE";"20.42";0;NA;"1974-1988"
"AE";"20.5";0;NA;"1974-1988"
"AE";"20.51";0;NA;"1974-1988"
"AE";"20.6";0;NA;"1974-1988"
"AE";"21";0;NA;"1974-1988"
"AE";"22";0;NA;"1974-1988"
"AE";"22.1";0;NA;"1974-1988"
"AE";"22.2";0;NA;"1974-1988"
"AE";"23";0;NA;"1974-1988"
"AE";"23.1";0;NA;"1974-1988"
"AE";"23.3";0;NA;"1974-1988"
"AE";"23.42";0;NA;"1974-1988"
"AE";"23.5";0;NA;"1974-1988"
"AE";"24";0;NA;"1974-1988"
"AE";"24.46";0;NA;"1974-1988"
"AE";"25.1";0;NA;"1974-1988"
"AE";"25.2";0;NA;"1974-1988"
"AE";"25.3";0;NA;"1974-1988"
"AE";"25.4";0;NA;"1974-1988"
"AE";"25.5";0;NA;"1974-1988"
"AE";"25.6";0;NA;"1974-1988"
"AE";"25.7";0;NA;"1974-1988"
"AE";"25.9";0;NA;"1974-1988"
"AE";"25.94";0;NA;"1974-1988"
"AE";"26.1";0;NA;"1974-1988"
"AE";"26.11";0;NA;"1974-1988"
"AE";"26.2";0;NA;"1974-1988"
"AE";"26.3";0;NA;"1974-1988"
"AE";"26.4";0;NA;"1974-1988"
"AE";"26.5";0;NA;"1974-1988"
"AE";"26.51";7,73546871135296;NA;"1974-1988"
"AE";"26.52";0;NA;"1974-1988"
"AE";"26.6";0;NA;"1974-1988"
"AE";"26.7";0;NA;"1974-1988"
"AE";"26.8";0;NA;"1974-1988"
"AE";"27.1";0;NA;"1974-1988"
"AE";"27.12";0;NA;"1974-1988"
"AE";"27.2";0;NA;"1974-1988"
"AE";"27.3";0;NA;"1974-1988"
"AE";"27.33";0;NA;"1974-1988"
"AE";"27.4";0;NA;"1974-1988"
"AE";"27.5";0;NA;"1974-1988"
"AE";"27.9";0;NA;"1974-1988"
"AE";"28.1";4,81839791347984;NA;"1974-1988"
"AE";"28.11";0;NA;"1974-1988"
"AE";"28.14";0;NA;"1974-1988"
"AE";"28.21";0;NA;"1974-1988"
"AE";"28.22";0;NA;"1974-1988"
"AE";"28.23";1,42175282504221;NA;"1974-1988"
"AE";"28.25";0;NA;"1974-1988"
"AE";"28.29";0;NA;"1974-1988"
"AE";"28.3";0;NA;"1974-1988"
"AE";"28.4";0;NA;"1974-1988"
"AE";"28.9";9,55540521370972;NA;"1974-1988"
"AE";"28.92";0;NA;"1974-1988"
"AE";"28.94";0;NA;"1974-1988"
"AE";"28.95";0;NA;"1974-1988"
"AE";"28.99";0;NA;"1974-1988"
"AE";"29.1";0;NA;"1974-1988"
"AE";"29.3";0;NA;"1974-1988"
"AE";"30";0;NA;"1974-1988"
"AE";"31";0;NA;"1974-1988"
"AE";"32";0;NA;"1974-1988"
"AE";"32.5";0;NA;"1974-1988"
"AE";"32.9";0;NA;"1974-1988"
"AE";"42.2";0;NA;"1974-1988"
"AE";"42.91";47,9670245398773;NA;"1974-1988"
"AE";"43";0;NA;"1974-1988"
"AE";"62";0;NA;"1974-1988"
"AG";"10";0;NA;"1974-1988"
"AG";"10.5";0;NA;"1974-1988"
"AG";"11";0;NA;"1974-1988"
"AG";"12";0;NA;"1974-1988"
"AG";"13";0;NA;"1974-1988"
"AG";"14";0;NA;"1974-1988"
"AG";"15";0;NA;"1974-1988"
"AG";"16";0;NA;"1974-1988"
"AG";"17";0;NA;"1974-1988"
"AG";"18.1";0;NA;"1974-1988"
"AG";"19";0;NA;"1974-1988"
"AG";"20.1";0;NA;"1974-1988"
"AG";"20.2";0;NA;"1974-1988"
"AG";"20.3";0;NA;"1974-1988"
"AG";"20.4";0;NA;"1974-1988"
"AG";"20.42";0;NA;"1974-1988"
"AG";"20.5";0;NA;"1974-1988"
"AG";"20.51";0;NA;"1974-1988"
"AG";"20.6";0;NA;"1974-1988"
"AG";"21";0;NA;"1974-1988"
"AG";"22";0;NA;"1974-1988"
"AG";"22.1";0;NA;"1974-1988"
"AG";"22.2";0;NA;"1974-1988"
"AG";"23";0;NA;"1974-1988"
"AG";"23.1";0;NA;"1974-1988"
"AG";"23.3";0;NA;"1974-1988"
"AG";"23.42";0;NA;"1974-1988"
"AG";"23.5";0;NA;"1974-1988"
"AG";"24";0;NA;"1974-1988"
"AG";"24.46";0;NA;"1974-1988"
"AG";"25.1";0;NA;"1974-1988"
"AG";"25.2";0;NA;"1974-1988"
"AG";"25.3";0;NA;"1974-1988"
"AG";"25.4";0;NA;"1974-1988"
"AG";"25.5";0;NA;"1974-1988"
"AG";"25.6";0;NA;"1974-1988"
"AG";"25.7";0;NA;"1974-1988"
"AG";"25.9";0;NA;"1974-1988"
"AG";"25.94";0;NA;"1974-1988"
"AG";"26.1";0;NA;"1974-1988"
"AG";"26.11";0;NA;"1974-1988"
"AG";"26.2";0;NA;"1974-1988"
"AG";"26.3";0;NA;"1974-1988"
"AG";"26.4";0;NA;"1974-1988"
"AG";"26.5";0;NA;"1974-1988"
"AG";"26.51";0;NA;"1974-1988"
"AG";"26.52";0;NA;"1974-1988"
"AG";"26.6";0;NA;"1974-1988"
"AG";"26.7";0;NA;"1974-1988"
"AG";"26.8";0;NA;"1974-1988"
"AG";"27.1";0;NA;"1974-1988"
"AG";"27.12";0;NA;"1974-1988"
"AG";"27.2";0;NA;"1974-1988"
"AG";"27.3";0;NA;"1974-1988"
"AG";"27.33";0;NA;"1974-1988"
"AG";"27.4";0;NA;"1974-1988"
"AG";"27.5";0;NA;"1974-1988"
"AG";"27.9";0;NA;"1974-1988"
"AG";"28.1";0;NA;"1974-1988"
"AG";"28.11";0;NA;"1974-1988"
"AG";"28.14";0;NA;"1974-1988"
"AG";"28.21";0;NA;"1974-1988"
"AG";"28.22";0;NA;"1974-1988"
"AG";"28.23";0;NA;"1974-1988"
"AG";"28.25";0;NA;"1974-1988"
"AG";"28.29";0;NA;"1974-1988"
"AG";"28.3";0;NA;"1974-1988"
"AG";"28.4";0;NA;"1974-1988"
"AG";"28.9";0;NA;"1974-1988"
"AG";"28.92";0;NA;"1974-1988"
"AG";"28.94";0;NA;"1974-1988"
"AG";"28.95";0;NA;"1974-1988"
"AG";"28.99";0;NA;"1974-1988"
"AG";"29.1";0;NA;"1974-1988"
"AG";"29.3";0;NA;"1974-1988"
"AG";"30";85,6988078291815;NA;"1974-1988"
"AG";"31";0;NA;"1974-1988"
"AG";"32";0;NA;"1974-1988"
"AG";"32.5";0;NA;"1974-1988"
"AG";"32.9";0;NA;"1974-1988"
"AG";"42.2";0;NA;"1974-1988"
"AG";"42.91";0;NA;"1974-1988"
"AG";"43";0;NA;"1974-1988"
"AG";"62";0;NA;"1974-1988"
"AI";"10";0;NA;"1974-1988"
"AI";"10.5";0;NA;"1974-1988"
"AI";"11";0;NA;"1974-1988"
"AI";"12";0;NA;"1974-1988"
"AI";"13";0;NA;"1974-1988"
"AI";"14";0;NA;"1974-1988"
"AI";"15";0;NA;"1974-1988"
"AI";"16";0;NA;"1974-1988"
"AI";"17";0;NA;"1974-1988"
"AI";"18.1";0;NA;"1974-1988"
"AI";"19";0;NA;"1974-1988"
"AI";"20.1";0;NA;"1974-1988"
"AI";"20.2";0;NA;"1974-1988"
"AI";"20.3";0;NA;"1974-1988"
"AI";"20.4";0;NA;"1974-1988"
"AI";"20.42";0;NA;"1974-1988"
"AI";"20.5";0;NA;"1974-1988"
"AI";"20.51";0;NA;"1974-1988"
"AI";"20.6";0;NA;"1974-1988"
"AI";"21";0;NA;"1974-1988"
"AI";"22";0;NA;"1974-1988"
"AI";"22.1";0;NA;"1974-1988"
"AI";"22.2";0;NA;"1974-1988"
"AI";"23";0;NA;"1974-1988"
"AI";"23.1";0;NA;"1974-1988"
"AI";"23.3";0;NA;"1974-1988"
"AI";"23.42";0;NA;"1974-1988"
"AI";"23.5";0;NA;"1974-1988"
"AI";"24";0;NA;"1974-1988"
"AI";"24.46";0;NA;"1974-1988"
"AI";"25.1";0;NA;"1974-1988"
"AI";"25.2";0;NA;"1974-1988"
"AI";"25.3";0;NA;"1974-1988"
"AI";"25.4";0;NA;"1974-1988"
"AI";"25.5";0;NA;"1974-1988"
"AI";"25.6";0;NA;"1974-1988"
"AI";"25.7";0;NA;"1974-1988"
"AI";"25.9";0;NA;"1974-1988"
"AI";"25.94";0;NA;"1974-1988"
"AI";"26.1";0;NA;"1974-1988"
"AI";"26.11";0;NA;"1974-1988"
"AI";"26.2";0;NA;"1974-1988"
"AI";"26.3";0;NA;"1974-1988"
"AI";"26.4";0;NA;"1974-1988"
"AI";"26.5";0;NA;"1974-1988"
"AI";"26.51";0;NA;"1974-1988"
"AI";"26.52";0;NA;"1974-1988"
"AI";"26.6";0;NA;"1974-1988"
"AI";"26.7";0;NA;"1974-1988"
"AI";"26.8";0;NA;"1974-1988"
"AI";"27.1";0;NA;"1974-1988"
"AI";"27.12";0;NA;"1974-1988"
"AI";"27.2";0;NA;"1974-1988"
"AI";"27.3";0;NA;"1974-1988"
"AI";"27.33";0;NA;"1974-1988"
"AI";"27.4";0;NA;"1974-1988"
"AI";"27.5";0;NA;"1974-1988"
"AI";"27.9";0;NA;"1974-1988"
"AI";"28.1";0;NA;"1974-1988"
"AI";"28.11";0;NA;"1974-1988"
"AI";"28.14";0;NA;"1974-1988"
"AI";"28.21";0;NA;"1974-1988"
"AI";"28.22";0;NA;"1974-1988"
"AI";"28.23";0;NA;"1974-1988"
"AI";"28.25";0;NA;"1974-1988"
"AI";"28.29";0;NA;"1974-1988"
"AI";"28.3";0;NA;"1974-1988"
"AI";"28.4";0;NA;"1974-1988"
"AI";"28.9";0;NA;"1974-1988"
"AI";"28.92";0;NA;"1974-1988"
"AI";"28.94";0;NA;"1974-1988"
"AI";"28.95";0;NA;"1974-1988"
"AI";"28.99";0;NA;"1974-1988"
"AI";"29.1";0;NA;"1974-1988"
"AI";"29.3";0;NA;"1974-1988"
"AI";"30";0;NA;"1974-1988"
"AI";"31";0;NA;"1974-1988"
"AI";"32";0;NA;"1974-1988"
"AI";"32.5";0;NA;"1974-1988"
"AI";"32.9";0;NA;"1974-1988"
"AI";"42.2";0;NA;"1974-1988"
"AI";"42.91";0;NA;"1974-1988"
"AI";"43";64,2520978134714;NA;"1974-1988"
"AI";"62";0;NA;"1974-1988"
"AL";"10";0;NA;"1974-1988"
"AL";"10.5";0;NA;"1974-1988"
"AL";"11";0;NA;"1974-1988"
"AL";"12";0;NA;"1974-1988"
"AL";"13";0;NA;"1974-1988"
"AL";"14";0;NA;"1974-1988"
"AL";"15";0;NA;"1974-1988"
"AL";"16";0;NA;"1974-1988"
"AL";"17";0;NA;"1974-1988"
"AL";"18.1";0;NA;"1974-1988"
"AL";"19";0;NA;"1974-1988"
"AL";"20.1";4,26285055776362;NA;"1974-1988"
"AL";"20.2";0;NA;"1974-1988"
"AL";"20.3";0;NA;"1974-1988"
"AL";"20.4";0;NA;"1974-1988"
