"name";"nace2_descr";"dgr";"RCA";"n_neighbors";"weighted_degree";"triangles";"centrality_authority";"centrality_betweenness";"centrality_closeness";"centrality_eigen";"centrality_hub";"centrality_subgraph";"centrality_degree";"centrality_closeness_harmonic";"centrality_closeness_residual";"centrality_betweenness_network";"Country";"Period"
"25.4";"Manufacture of Weapons and Ammunition";0,119290803623353;1;6;0,5;8;0,201139912409959;3,88553113553113;0,0104166666666667;0,201139912409959;0,201139912409959;2711,22815051322;6;1561,84349731762;43,0568837225212;186;"CN";"1st"
"25.5";"Forging, Pressing, Stamping and Roll-Forming of Metal; Powder Metallurgy";0,235836636405395;1;6;0,327272727272727;11;0,273436771000405;1,68614718614719;0,0121951219512195;0,273436771000405;0,273436771000405;4982,85311438042;6;1554,9032823613;43,0726550516422;138;"CN";"1st"
"25.6";"Treatment and Coating of Metals; Machining";0,179038827418867;1;6;0,31858407079646;13;0,291110037201628;0,366666666666667;0,0117647058823529;0,291110037201628;0,291110037201628;5648,68002635677;6;1564,81302526112;43,0750048065189;110;"CN";"1st"
"26.5";"Manufacture of Instruments and Appliances for Measuring, Testing and Navigation; Watches and Clocks";0,752000047969591;1;16;1,11304347826087;60;0,627409051611822;35,3645502373444;0,0142857142857143;0,627409051611823;0,627409051611822;26205,7427062427;16;1663,83469393605;43,1224730384036;398;"CN";"1st"
"26.51";"Manufacture of Instruments and Appliances for Measuring, Testing and Navigation";0,442851645969004;1;8;0,507936507936508;22;0,335220537587152;3,59449521067168;0,0123456790123457;0,335220537587152;0,335220537587152;7505,20363320893;8;1366,62283078401;42,9776605392892;166;"CN";"1st"
"26.6";"Manufacture of irradiation, electromedical and electrotherapeutic equipment";0,242779646140055;1;6;0,274809160305344;14;0,334340185264414;0,215277777777778;0,0125;0,334340185264414;0,334340185264414;7440,55422386404;6;1550,66072059915;43,082245117791;46;"CN";"1st"
"27.1";"Manufacture of Electric Motors, Generators, Transformers and Electricity Distribution and Control Apparatus";0,300251260744173;1;7;0,5;16;0,26275725081533;2,43126318126318;0,0114942528735632;0,26275725081533;0,26275725081533;4624,50263300919;7;1382,77554027855;42,9598016726118;216;"CN";"1st"
"27.9";"Manufacture of Other Electrical Equipment";0,404243692066851;1;6;0,507042253521127;12;0,197367101559454;0,791666666666667;0,0102040816326531;0,197367101559454;0,197367101559454;2624,46549386872;6;1249,70245331413;42,874928898264;162;"CN";"1st"
"28.1";"Manufacture of General-Purpose Machinery";0,54739305157159;1;19;1,58333333333333;67;0,637592612434516;55,0811405914347;0,0147058823529412;0,637592612434516;0,637592612434516;27105,7155863672;19;2000,55076688492;43,2397238769033;646;"CN";"1st"
"28.21";"Manufacture of Ovens, Furnaces and Furnace Burners";0,190625619188005;1;6;0,378947368421053;9;0,243167726905854;2,59551282051282;0,0117647058823529;0,243167726905854;0,243167726905854;3941,09872331008;6;1437,467721432;42,9710227701794;206;"CN";"1st"
"28.3";"Manufacture of Agricultural and Forestry Machinery";0,330922780341029;1;14;0,96551724137931;45;0,560386832809776;20,6574445978858;0,0138888888888889;0,560386832809776;0,560386832809776;20900,0872020827;14;1623,89482438864;43,1120277553743;340;"CN";"1st"
"28.9";"Manufacture of Other Special-Purpose Machinery";0,758607848539359;1;31;2,96604938271605;119;0,95179546574776;183,661334498835;0,0181818181818182;0,951795465747759;0,95179546574776;60263,386880902;31;1856,7977052315;43,1695318385306;1124;"CN";"1st"
"28.92";"Manufacture of Machinery for Mining, Quarrying and Construction";0,170133915872793;1;8;0,64;14;0,262503108078263;7,76706071706072;0,0116279069767442;0,262503108078263;0,262503108078263;4612,15515401863;8;1464,14456175502;42,9839002479843;294;"CN";"1st"
"28.95";"Manufacture of Machinery for Paper and Paperboard Production";0,0803540365200593;1;3;0,176470588235294;3;0,128497030472853;0;0,010989010989011;0,128497030472853;0,128497030472853;1103,56092281871;3;1129,24160155045;42,7490187274812;66;"CN";"1st"
"28.99";"Manufacture of Other Special-Purpose Machinery N.E.C.";0,261355678939245;1;13;0,820388349514563;40;0,55120234217667;19,1149279641927;0,0136986301369863;0,55120234217667;0,55120234217667;20214,5664866278;13;1968,99655922258;43,2489657194698;286;"CN";"1st"
"30";"Manufacture of Other Transport Equipment";0,311456911826525;1;13;0,965714285714286;42;0,468489248737856;17,2055673085085;0,0135135135135135;0,468489248737857;0,468489248737856;14658,2478672317;13;1560,30671179109;43,0859665518513;400;"CN";"1st"
"32";"Other Manufacturing";0,345197484885316;1;12;0,818181818181818;35;0,46914416391711;15,6991784359431;0,0133333333333333;0,46914416391711;0,46914416391711;14665,6846019382;12;1671,10820653026;43,1048850708304;352;"CN";"1st"
"32.5";"Manufacture of medical and dental instruments and supplies";0,553049368615306;1;20;1,61290322580645;71;0,699965187608926;67,3934800493624;0,0151515151515152;0,699965187608926;0,699965187608926;32605,7338164081;20;1957,22024163554;43,2374527847036;646;"CN";"1st"
"42.2";"Construction of Utility Projects";0,127593772016847;1;7;0,40495867768595;15;0,31399933178046;4,70357142857143;0,0125;0,31399933178046;0,31399933178046;6571,27501683268;7;1465,02359314888;43,0378921262018;162;"CN";"1st"
"42.91";"Construction of Water Projects";0,14703364150568;1;9;0,547297297297297;25;0,382274196954836;3,67027041585865;0,0128205128205128;0,382274196954836;0,382274196954836;9745,42786521382;9;1595,79227791943;43,0808938363967;174;"CN";"1st"
"10.5";"Manufacture of Dairy Products";0,0346809588857395;1;1;0,0769230769230769;0;0,043282243118368;0;0,0065359477124183;0,043282243118368;0,043282243118368;89,539431679242;1;1116,25668613492;40,8838271123844;0;"US";"1st"
"12";"Manufacture of Tobacco Products";0,117059021748998;1;6;0,321428571428571;12;0,32950858759485;0,893162393162393;0,00806451612903226;0,32950858759485;0,32950858759485;5098,79333556122;6;1613,86014990515;41,2002310052885;86;"US";"1st"
"14";"Manufacture of Wearing Apparel";0,114767940770587;1;5;0,446428571428571;4;0,181588309816051;3,36663793722617;0,0078125;0,181588309816051;0,181588309816051;1550,15437602626;5;1279,8948375029;40,9682908560583;200;"US";"1st"
"15";"Manufacture of Leather and Related Products";0,0762212705649936;1;6;0,324324324324324;12;0,333741657949956;1,88956043956044;0,00813008130081301;0,333741657949956;0,333741657949956;5222,42003940516;6;1645,80691222264;41,1949863911425;102;"US";"1st"
"17";"Manufacture of Paper and Paper Products";0,183497832850441;1;7;0,5;11;0,297659930321285;8,55897990897991;0,00813008130081301;0,297659930321285;0,297659930321285;4160,02995364822;7;1473,28425003668;41,0999912027978;224;"US";"1st"
"19";"Manufacture of Coke and Refined Petroleum Products";0,229816816880777;1;3;0,163636363636364;3;0,168124218337148;0;0,00735294117647059;0,168124218337148;0,168124218337148;1330,90315461792;3;949,961584724025;40,7284556588115;38;"US";"1st"
"20.1";"Manufacture of Basic Chemicals, Fertilisers and Nitrogen Compounds, Plastics and Synthetic Rubber in Primary Forms";1;1;28;2,70344827586207;108;1;152,505375506846;0,0102040816326531;1;1;46863,1039215487;28;1940,72160658391;41,2920777110912;984;"US";"1st"
"20.2";"Manufacture of pesticides and other agrochemical products";0,308701381093343;1;6;0,4;13;0,27518170569967;1,02222222222222;0,008;0,27518170569967;0,27518170569967;3568,12118253393;6;1120,26284852872;40,8624344394619;136;"US";"1st"
"20.4";"Manufacture of Soap and Detergents, Cleaning and Polishing Preparations, Perfumes and Toilet Preparations";0,380856078813521;1;7;0,475728155339806;19;0,319462180284767;0,366666666666667;0,00793650793650794;0,319462180284767;0,319462180284767;4812,76747078771;7;1237,51781257791;40,9737974551048;166;"US";"1st"
"20.42";"Manufacture of Perfumes and Toilet Preparations";0,333831819161704;1;7;0,475728155339806;19;0,319462180284767;0,366666666666667;0,00793650793650794;0,319462180284767;0,319462180284767;4812,76747078771;7;1615,23200954948;41,1749374785878;166;"US";"1st"
"20.5";"Manufacture of Other Chemical Products";0,413530811659049;1;16;1,31958762886598;54;0,646465067592858;27,2779871272518;0,00900900900900901;0,646465067592857;0,646465067592858;19613,4424758711;16;1868,36819422528;41,2701709881555;492;"US";"1st"
"20.51";"Manufacture of Explosives";0,113194977704622;1;6;0,363636363636364;9;0,302856318517223;2,9319650937298;0,00806451612903226;0,302856318517223;0,302856318517223;4301,97835937383;6;1527,36274078212;41,1260592919579;118;"US";"1st"
"21";"Manufacture of Basic Pharmaceutical Products and Pharmaceutical Preparations";0,690889291668993;1;12;0,979591836734694;38;0,49396301205419;8,60840172898996;0,00854700854700855;0,493963012054189;0,49396301205419;11476,3996740865;12;1349,97643664639;41,0628993308733;374;"US";"1st"
"22";"Manufacture of Rubber and Plastic Products";0,431170143192851;1;13;0,857868020304569;44;0,625911155435324;17,7737456987457;0,0087719298245614;0,625911155435324;0,625911155435324;18361,3945016716;13;1890,76651441396;41,2846717426232;294;"US";"1st"
"22.1";"Manufacture of Rubber Products";0,066995929884711;1;2;0,0975609756097561;1;0,125431668758298;0;0,00735294117647059;0,125431668758298;0,125431668758298;739,21787258926;2;977,647116419495;40,7582006423951;18;"US";"1st"
"23.1";"Manufacture of Glass and Glass Products";0,229629028597742;1;6;0,346153846153846;10;0,312960056433204;5,59628312863607;0,00813008130081301;0,312960056433204;0,312960056433204;4593,82279946834;6;1697,62838565317;41,2037516800752;94;"US";"1st"
