"nace2_code";"nace2_descr";"RCA_US";"RCA_CN";"RCA_KR";"RCA_JP";"RCA_AI";"US_Com";"CN_Com";"KR_Com";"JP_Com"
"26.3";"Manufacture of Communication Equipment";1,46053451872453;0,865092569577862;1,28192005033591;1,01770154549711;0,778958237448316;72;0;58;0
"26.4";"Manufacture of Consumer Electronics";1,93886713022313;0,614367709061012;0,801581615460817;1,15439214039146;0,208197180060301;63;0;0;64
"26.5";"Manufacture of Instruments and Appliances for Measuring, Testing and Navigation; Watches and Clocks";0,822795813574116;1,19487939332136;0,660740838660073;0,832511797130233;1,35850943885211;0;56;0;0
"26.51";"Manufacture of Instruments and Appliances for Measuring, Testing and Navigation";1,01477659783675;1,27790248601623;0,442051534615803;0,674585296660328;3,65795767609663;59;59;0;0
"26.52";"Manufacture of Watches and Clocks";0,649967967604424;0,594142467330158;0,551135121176734;1,25815545469284;0,0974939759506197;0;0;0;59
"26.6";"Manufacture of irradiation, electromedical and electrotherapeutic equipment";2,81653222458305;0,537585617009928;0,972193070098798;0,71855853468226;0,549642423017235;60;0;0;0
"26.7";"Manufacture of Optical Instruments and Photographic Equipment";0,918474930903354;0,544401226939543;0,903238297864293;2,10779784028534;0,0418796844987948;0;0;66;57
"26.8";"Manufacture of Magnetic and Optical Media";2,2541323984539;0,131449097553738;0,206510524361958;2,55621214531449;0;58;0;0;62
"27.1";"Manufacture of Electric Motors, Generators, Transformers and Electricity Distribution and Control Apparatus";0,501754211160923;0,926455898003702;0,866835371259697;1,39091206050811;0,611712139606983;0;0;0;72
"27.12";"Manufacture of Electricity Distribution and Control Apparatus";0,641094024560424;1,30812627724116;0,883646417016072;0,794700299175723;0,924857298763135;0;63;0;0
"27.2";"Manufacture of Batteries and Accumulators";0,472430269930505;0,757272061518476;1,41714283056937;1,7941255024129;0,0641364677380535;0;0;70;65
"27.3";"Manufacture of Wiring and Wiring Devices";0,44669919470925;1,22778994190253;0,982918773766719;1,15525749545822;0;0;61;58;59
"27.33";"Manufacture of Wiring Devices";0,869730751250256;0,922347465028713;0,986059608066902;1,14541635265775;0,0195137638602574;0;0;0;62
"27.4";"Manufacture of Electric Lighting Equipment";0,761168791315527;1,02860962098975;1,28653772416977;0,96601071790288;0,00742409037941686;0;0;59;60
"27.5";"Manufacture of Domestic Appliances";0,707603581479534;0,932714862275941;1,71621090312541;0,896177987137084;0,0925749142175711;0;0;60;56
"27.9";"Manufacture of Other Electrical Equipment";0,710935136215815;0,932147784628348;0,778205334576755;1,32284005567632;0,982601107728074;0;0;0;58
"28.1";"Manufacture of General-Purpose Machinery";0,813986085631358;0,882889855951833;0,758191973538452;1,05818941282877;0,378039951897394;0;0;0;61
"28.11";"Manufacture of Engines and Turbines, Except Aircraft, Vehicle and Cycle Engines";1,28210742482619;0,499494986747965;0,817656254552718;1,21427026183985;0,132391112348159;59;0;0;55
"28.14";"Manufacture of Other Taps and Valves";1,07449539406177;0,805396029902516;1,19055571928204;1,2338154906334;0;60;0;61;60
"28.21";"Manufacture of Ovens, Furnaces and Furnace Burners";0,256920632837205;1,28669897838488;1,28527637942581;0,70079228123654;0,29728360225216;0;59;60;0
"28.22";"Manufacture of Lifting and Handling Equipment";0,430505710713215;1,04019849574098;0,723588803241039;1,21481300556681;0,20656004283435;0;60;0;56
"28.23";"Manufacture of Office Machinery and Equipment (Except Computers and Peripheral Equipment)";1,06950002627509;0,566924945165969;0,85370204650402;2,15185963105596;5,54228761087904;64;0;0;65
