"";"nace2_code";"nace2_descr";"RCA_US";"RCA_CN";"RCA_KR";"RCA_JP";"RCA_AI";"US_Com";"CN_Com";"KR_Com";"JP_Com";"Period";"RCA_field";"Category";"Category2"
"32";"25.2";"Manufacture of Tanks, Reservoirs and Containers of Metal";1,27624446493669;1,21921192225873;0,527173130530376;0,844295934730344;0;39;37;0;0;"Period 1 (1974-1988)";96,8382461032701;"Other";4
"33";"25.3";"Manufacture of Steam Generators, Except Central Heating Hot Water Boilers";0,559111174743787;0,484996243261604;0,682474260499022;1,28729723224199;1,45881226895007;0;0;0;42;"Period 1 (1974-1988)";80,8758643442477;"AI-related codes";2
"34";"25.4";"Manufacture of Weapons and Ammunition";2,78635775749007;1,1056977108637;0,60216687006839;0,188365402558249;0;41;36;0;0;"Period 1 (1974-1988)";95,0638315293235;"Other";4
"35";"25.5";"Forging, Pressing, Stamping and Roll-Forming of Metal; Powder Metallurgy";0,863027079145602;1,85127903819337;1,00195089543505;1,17359722308857;0;0;38;0;41;"Period 1 (1974-1988)";89,138798703532;"Other";4
"36";"25.6";"Treatment and Coating of Metals; Machining";0,742662291242545;2,20438045878829;1,41434954830597;1,13475273436325;0;0;29;39;41;"Period 1 (1974-1988)";88,3846370098815;"Other";4
"37";"25.7";"Manufacture of Cutlery, Tools and General Hardware";1,13575531361756;0,535487146273405;0,601738337296704;0,481965984848008;0;41;0;0;0;"Period 1 (1974-1988)";91,3160001549941;"Other";4
"38";"25.9";"Manufacture of Other Fabricated Metal Products";1,43507128490507;0,515751273878146;0,508840509745785;0,468667313938498;0;43;0;0;0;"Period 1 (1974-1988)";97,6755674426446;"Other";4
"39";"25.94";"Manufacture of Fasteners and Screw Machine Products";1,78877174950417;0,375943809109271;0,71214025514091;0,308969757785373;0;44;0;0;0;"Period 1 (1974-1988)";98,8365747829556;"Other";4
"40";"26.1";"Manufacture of Electronic Components and Boards";0,572401006309887;0,375072782361251;1,03582959747107;1,35763387530399;0,53722469866413;0;0;0;43;"Period 1 (1974-1988)";42,8447916169829;"Surrounding codes";3
"41";"26.11";"Manufacture of Electronic Components";1,66802965641264;0;0;1,0720532060832;0;43;0;0;0;"Period 1 (1974-1988)";99,6906773309325;"Other";4
"42";"26.2";"Manufacture of computers and peripheral equipment";0,564764123386909;0,59892810092988;0,845111619535599;1,38796131539464;18,7299437544024;0;0;0;41;"Period 1 (1974-1988)";4,7360089333445;"AI-core codes";1
"43";"26.3";"Manufacture of Communication Equipment";0,699898203282137;0,411133224351463;1,60175592220311;1,23672731563939;0,409026415264483;0;0;24;44;"Period 1 (1974-1988)";39,6862367457274;"Surrounding codes";3
"44";"26.4";"Manufacture of Consumer Electronics";0,952499630760111;0,394066134497288;1,04505644479016;1,16388227078812;2,76577466461501;43;0;41;42;"Period 1 (1974-1988)";87,1143965706247;"AI-related codes";2
"45";"26.5";"Manufacture of Instruments and Appliances for Measuring, Testing and Navigation; Watches and Clocks";1,0855569425654;1,19326574684689;0,447652983667883;0,994578703974043;1,53571610776946;44;41;0;0;"Period 1 (1974-1988)";87,3463545371413;"AI-core codes";1
