"";"MORt(mat_3rd)";"Step0";"Step1";"Step2";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"27.4";40,9821088354675;351922;14983420,0101272;2171051,72723868;76,8487320819798;32;27,4375;58,5136228839368
"27.5";43,0401719911055;1069278;14331928,4466958;2162094,42783778;73,5827241641765;73;22,5616438356164;65,0978062583222
"27.9";50,5881491778542;723770;16299422,6956298;2157721,74253745;68,5892326601234;52;23,6923076923077;60,79639706038
"28.1";50,6896360593762;1714004;15087801,5369048;2147279,15492517;73,6172878367825;80;22,7625;64,6629502680975
"28.11";32,2178489820771;322516;11636510,6472826;2137584,01521145;78,585865621106;47;25,9787234042553;60,6718990537129
"28.14";28,3526993753106;69406;13588759,4151947;2171004,97439591;85,6233648046314;54;29,0555555555556;61,5653465494593
"28.21";72,9093037807388;89771;18188493,3398091;2148465,44492559;99,0932338303017;32;31,5625;56,2490338971208
"28.22";62,7374102855882;238584;17611748,0937825;2148837,71408723;92,1852597031493;37;29,1081081081081;58,1896620880149
"28.23";23,5446513637912;2044730;14126303,0560314;2179717,81275898;35,3022655573843;61;18,5573770491803;66,0144141260958
"28.25";53,4559725816823;466104;17146442,7302469;2156234,51558528;82,1564537216779;40;25,325;62,042359289294
"28.29";65,3532312154462;1652038;17600735,5979433;2162204,50172123;76,5948314287997;69;22,7826086956522;62,8084305164381
"28.3";84,5812606539014;936705;20143714,2344783;2166459,76239495;82,9980669244024;50;24,52;62,9503696190675
"28.4";71,3090972886111;1610414;18732174,3482781;2163843,61318988;70,5934896186578;37;23;61,2867965518547
"28.9";67,0094938961748;2722017;17776332,7456827;2165671,92971743;67,7796576725746;59;19,6949152542373;63,4780094016865
"28.92";82,2453631431757;193392;19391760,055054;2161799,04418034;91,6339142357673;31;28,3870967741935;59,1561167762718
"28.94";79,9324420275841;245308;20142397,1621798;2162940,17814156;84,1439938300628;31;26,9677419354839;59,0521277638885
"28.95";56,5187181198497;19619;13255712,6931546;2145029,89838175;94,8477726368639;21;32,7619047619048;57,5284644382942
"28.99";76,3282842058456;244034;18373878,7776703;2163339,71189699;92,1690659338354;58;28,4827586206897;60,1012858293616
"29.1";28,6318964060154;1906431;12384464,4661559;2119688,75338625;69,5071659716069;63;20,7301587301587;64,9428767669143
"29.3";13,5646562602518;141466;10420321,9870711;2128696,16205703;65,3809371316692;22;25,3636363636364;60,7351635705239
"30";63,2919091520282;606996;14929804,4719553;2165924,59344772;79,4617907874311;76;25,5131578947368;62,9038124009876
"31";39,8095427922513;222632;13918971,1520222;2197924,36928116;82,8051211288453;71;27,4084507042254;61,0706448598417
"32";25,2010171357515;1001753;13370052,4468287;2170416,64550142;71,7114576559003;93;22,7634408602151;65,8994788138111
"32.5";46,3042691947045;1880963;12915899,6021091;2203557,6769162;68,4685164126986;139;21,3453237410072;71,3847126471269
"32.9";32,2138635978353;893203;13630379,347304;2167727,06841959;70,4045916665088;99;22,8989898989899;66,716920560873
"42.2";48,4117284483885;72379;15527794,6364968;2157673,31212622;92,8511391659464;46;30,2391304347826;59,5171732872599
"42.91";77,7631097911589;104736;18467642,6017893;2159083,53429106;100;36;31;58,1273798103742
"43";61,8037587183702;678213;17133006,8168968;2159938,80120857;81,1425076664327;84;25,8571428571429;63,3559636485417
"62";46,1202984386987;1124650;14815280,5072262;2244400,5484896;35,3193015820209;110;16,4272727272727;72,0260197710678
