"ctry_code";"techn_field_nr";"RCA_Gen";"RCA_AI";"Period"
"AI";"4";0;NA;"1974-1988"
"AI";"5";0;NA;"1974-1988"
"AI";"6";0;NA;"1974-1988"
"AI";"7";0;NA;"1974-1988"
"AI";"8";0;NA;"1974-1988"
"AI";"9";0;NA;"1974-1988"
"AL";"1";0;NA;"1974-1988"
"AL";"10";0;NA;"1974-1988"
"AL";"11";0;NA;"1974-1988"
"AL";"12";0;NA;"1974-1988"
"AL";"13";0;NA;"1974-1988"
"AL";"14";0;NA;"1974-1988"
"AL";"15";36,2251098206764;NA;"1974-1988"
"AL";"16";0;NA;"1974-1988"
"AL";"17";10,9535171993413;NA;"1974-1988"
"AL";"18";0;NA;"1974-1988"
"AL";"19";0;NA;"1974-1988"
"AL";"2";0;NA;"1974-1988"
"AL";"20";0;NA;"1974-1988"
"AL";"21";0;NA;"1974-1988"
"AL";"22";0;NA;"1974-1988"
"AL";"23";0;NA;"1974-1988"
"AL";"24";0;NA;"1974-1988"
"AL";"25";0;NA;"1974-1988"
"AL";"26";0;NA;"1974-1988"
"AL";"27";0;NA;"1974-1988"
"AL";"28";0;NA;"1974-1988"
"AL";"29";2,82395847015556;NA;"1974-1988"
"AL";"3";0;NA;"1974-1988"
"AL";"30";8,89732964328734;NA;"1974-1988"
"AL";"31";0;NA;"1974-1988"
"AL";"32";0;NA;"1974-1988"
"AL";"33";0;NA;"1974-1988"
"AL";"34";0;NA;"1974-1988"
"AL";"35";2,88340609837291;NA;"1974-1988"
"AL";"4";0;NA;"1974-1988"
"AL";"5";0;NA;"1974-1988"
"AL";"6";0;NA;"1974-1988"
"AL";"7";0;NA;"1974-1988"
"AL";"8";0;NA;"1974-1988"
"AL";"9";0;NA;"1974-1988"
"AM";"1";12,8194568666283;NA;"1974-1988"
"AM";"10";0;NA;"1974-1988"
"AM";"11";0;NA;"1974-1988"
"AM";"12";0;NA;"1974-1988"
"AM";"13";0;NA;"1974-1988"
"AM";"14";0;NA;"1974-1988"
"AM";"15";0;NA;"1974-1988"
"AM";"16";0;NA;"1974-1988"
"AM";"17";0;NA;"1974-1988"
"AM";"18";0;NA;"1974-1988"
"AM";"19";0;NA;"1974-1988"
"AM";"2";0;NA;"1974-1988"
"AM";"20";0;NA;"1974-1988"
"AM";"21";0;NA;"1974-1988"
"AM";"22";0;NA;"1974-1988"
"AM";"23";0;NA;"1974-1988"
"AM";"24";0;NA;"1974-1988"
"AM";"25";0;NA;"1974-1988"
"AM";"26";0;NA;"1974-1988"
"AM";"27";0;NA;"1974-1988"
"AM";"28";0;NA;"1974-1988"
"AM";"29";0;NA;"1974-1988"
"AM";"3";0;NA;"1974-1988"
"AM";"30";0;NA;"1974-1988"
"AM";"31";0;NA;"1974-1988"
"AM";"32";0;NA;"1974-1988"
"AM";"33";0;NA;"1974-1988"
"AM";"34";0;NA;"1974-1988"
"AM";"35";0;NA;"1974-1988"
"AM";"4";0;NA;"1974-1988"
"AM";"5";0;NA;"1974-1988"
"AM";"6";0;NA;"1974-1988"
"AM";"7";0;NA;"1974-1988"
"AM";"8";0;NA;"1974-1988"
"AM";"9";0;NA;"1974-1988"
"AN";"1";0;NA;"1974-1988"
"AN";"10";0;NA;"1974-1988"
"AN";"11";0;NA;"1974-1988"
"AN";"12";0;NA;"1974-1988"
"AN";"13";0;NA;"1974-1988"
"AN";"14";0;NA;"1974-1988"
"AN";"15";0;NA;"1974-1988"
"AN";"16";49,9959616302971;NA;"1974-1988"
"AN";"17";0;NA;"1974-1988"
"AN";"18";0;NA;"1974-1988"
"AN";"19";0;NA;"1974-1988"
"AN";"2";0;NA;"1974-1988"
"AN";"20";0;NA;"1974-1988"
"AN";"21";0;NA;"1974-1988"
"AN";"22";0;NA;"1974-1988"
"AN";"23";0;NA;"1974-1988"
"AN";"24";0;NA;"1974-1988"
"AN";"25";0;NA;"1974-1988"
"AN";"26";0;NA;"1974-1988"
"AN";"27";0;NA;"1974-1988"
"AN";"28";0;NA;"1974-1988"
"AN";"29";0;NA;"1974-1988"
"AN";"3";0;NA;"1974-1988"
"AN";"30";0;NA;"1974-1988"
"AN";"31";0;NA;"1974-1988"
"AN";"32";12,9994628444948;NA;"1974-1988"
"AN";"33";0;NA;"1974-1988"
"AN";"34";0;NA;"1974-1988"
"AN";"35";0;NA;"1974-1988"
"AN";"4";0;NA;"1974-1988"
"AN";"5";0;NA;"1974-1988"
"AN";"6";0;NA;"1974-1988"
"AN";"7";0;NA;"1974-1988"
"AN";"8";0;NA;"1974-1988"
"AN";"9";0;NA;"1974-1988"
"AR";"1";0,420937389650483;NA;"1974-1988"
"AR";"10";0,677472509115369;NA;"1974-1988"
"AR";"11";0,960952789528294;NA;"1974-1988"
"AR";"12";0,910863419659328;NA;"1974-1988"
"AR";"13";2,94062915117378;NA;"1974-1988"
"AR";"14";1,93332113388008;NA;"1974-1988"
"AR";"15";1,73015449889798;NA;"1974-1988"
"AR";"16";1,7909001181002;NA;"1974-1988"
"AR";"17";0,523153060267048;NA;"1974-1988"
"AR";"18";1,6248186412248;NA;"1974-1988"
"AR";"19";0,45171929807283;NA;"1974-1988"
"AR";"2";0,385239000981571;NA;"1974-1988"
"AR";"20";0,581772739788308;NA;"1974-1988"
"AR";"21";0,407733102596383;NA;"1974-1988"
"AR";"22";0;NA;"1974-1988"
"AR";"23";1,22875795814721;NA;"1974-1988"
"AR";"24";0,801910734163178;NA;"1974-1988"
"AR";"25";1,14554720553628;NA;"1974-1988"
"AR";"26";0,331763741272957;NA;"1974-1988"
"AR";"27";1,79094700368809;NA;"1974-1988"
"AR";"28";0,851594607658463;NA;"1974-1988"
"AR";"29";2,49519912586879;NA;"1974-1988"
"AR";"3";0,650064606088462;NA;"1974-1988"
"AR";"30";1,59355157790221;NA;"1974-1988"
"AR";"31";1,04249655408042;NA;"1974-1988"
"AR";"32";1,31934846779948;NA;"1974-1988"
"AR";"33";2,31697143890514;NA;"1974-1988"
"AR";"34";2,63825541041352;NA;"1974-1988"
"AR";"35";1,79029393570616;NA;"1974-1988"
"AR";"4";0,471911949950539;NA;"1974-1988"
"AR";"5";0,326416078729001;NA;"1974-1988"
"AR";"6";0,153899762139623;NA;"1974-1988"
"AR";"7";0;NA;"1974-1988"
"AR";"8";0;NA;"1974-1988"
"AR";"9";0,188543204733869;NA;"1974-1988"
"AS";"1";0;NA;"1974-1988"
"AS";"10";0;NA;"1974-1988"
"AS";"11";0;NA;"1974-1988"
"AS";"12";0;NA;"1974-1988"
"AS";"13";0;NA;"1974-1988"
"AS";"14";0;NA;"1974-1988"
"AS";"15";0;NA;"1974-1988"
"AS";"16";0;NA;"1974-1988"
"AS";"17";0;NA;"1974-1988"
"AS";"18";0;NA;"1974-1988"
"AS";"19";0;NA;"1974-1988"
"AS";"2";0;NA;"1974-1988"
"AS";"20";0;NA;"1974-1988"
"AS";"21";0;NA;"1974-1988"
"AS";"22";0;NA;"1974-1988"
"AS";"23";0;NA;"1974-1988"
"AS";"24";0;NA;"1974-1988"
"AS";"25";0;NA;"1974-1988"
"AS";"26";0;NA;"1974-1988"
"AS";"27";0;NA;"1974-1988"
"AS";"28";0;NA;"1974-1988"
"AS";"29";22,5916677612444;NA;"1974-1988"
"AS";"3";0;NA;"1974-1988"
"AS";"30";0;NA;"1974-1988"
"AS";"31";0;NA;"1974-1988"
"AS";"32";0;NA;"1974-1988"
"AS";"33";0;NA;"1974-1988"
"AS";"34";0;NA;"1974-1988"
"AS";"35";0;NA;"1974-1988"
"AS";"4";0;NA;"1974-1988"
"AS";"5";0;NA;"1974-1988"
"AS";"6";0;NA;"1974-1988"
"AS";"7";0;NA;"1974-1988"
"AS";"8";0;NA;"1974-1988"
"AS";"9";0;NA;"1974-1988"
"AT";"1";0,74793321312379;0;"1974-1988"
"AT";"10";0,671089048037459;0;"1974-1988"
"AT";"11";0,941573969419272;0;"1974-1988"
"AT";"12";0,508878565350007;0;"1974-1988"
"AT";"13";1,14873984755963;0;"1974-1988"
"AT";"14";1,23796341848348;NA;"1974-1988"
"AT";"15";1,56142714744295;NA;"1974-1988"
"AT";"16";1,85483786220776;NA;"1974-1988"
"AT";"17";0,832979910171584;0;"1974-1988"
"AT";"18";0,55861478326181;NA;"1974-1988"
"AT";"19";1,15020312726076;NA;"1974-1988"
"AT";"2";0,42429917898178;0;"1974-1988"
"AT";"20";1,55368198205583;0;"1974-1988"
"AT";"21";0,648328690307134;NA;"1974-1988"
"AT";"22";0;NA;"1974-1988"
"AT";"23";1,15909334664229;0;"1974-1988"
"AT";"24";1,41639828911711;0;"1974-1988"
"AT";"25";0,959001944002547;0;"1974-1988"
"AT";"26";1,30542597118341;0;"1974-1988"
"AT";"27";1,07819665355426;0;"1974-1988"
"AT";"28";0,757566554649991;NA;"1974-1988"
"AT";"29";1,38937365619106;0;"1974-1988"
"AT";"3";0,553145337154244;0;"1974-1988"
"AT";"30";1,23543585872001;0;"1974-1988"
