"";"Period";"Association";"Association_top4";"Association_Top3";"Association_Top7"
"US";"2nd";1,07481637914511;0,956731054148673;0,891356167121728;1,01792508127639
"CN";"2nd";1,16414730067906;0,916506874868875;0,888888888888889;1,0014909855163
"KR";"2nd";1,2245782802051;0,938527809182339;0,444444444444444;1,43060051493437
"JP";"2nd";1,06119629712092;0,970370792544742;0,889721883193936;1,02606740434373
"AI";"2nd";1,42468066992521;0,908827161564246;0,888888888888889;0,982408514806263
