"country_code";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"info"
"AD";1;1;0;0;0;2;0;0;0;1;0;0;11;2;0;0;0;1;0;2;0;0;0;0;0;0;0;1;5;0;0;10;2;0;3;"general"
"AE";0;7;2;1;1;2;2;1;0;6;3;6;3;2;1;1;0;0;2;1;0;0;2;2;3;1;6;1;3;1;1;6;3;3;12;"general"
"AG";3;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;"general"
"AL";0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;1;2;3;1;0;"general"
"AM";1;0;2;1;0;7;0;1;1;8;1;0;12;1;5;8;1;9;1;3;3;0;1;0;1;5;2;0;3;3;1;0;5;0;19;"general"
"AN";7;0;2;2;0;1;0;1;2;10;0;6;9;1;2;5;3;0;1;1;0;0;2;1;2;1;4;1;6;5;4;2;0;4;12;"general"
"AO";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"general"
"AR";35;18;7;2;3;16;4;3;4;16;9;25;147;19;24;100;8;27;25;10;12;0;27;7;76;19;47;13;77;22;57;66;48;32;50;"general"
"AT";1326;292;410;249;307;349;39;267;197;746;114;322;582;384;383;450;334;122;291;856;311;2;581;400;709;916;841;615;1021;390;845;1119;846;437;1612;"general"
"AU";1237;950;924;466;167;1469;176;117;518;1113;323;875;2499;614;1266;1716;294;537;848;732;413;17;1232;662;2273;1161;753;958;2664;780;1605;2341;2677;1519;5057;"general"
"AZ";26;4;3;0;6;1;0;7;3;38;2;3;29;4;4;8;3;24;11;35;10;0;15;17;9;42;49;2;39;15;7;26;2;1;40;"general"
"BB";1;1;0;0;1;0;0;0;1;0;0;0;3;0;1;0;0;0;2;2;0;0;0;0;2;0;0;1;1;2;0;1;3;0;1;"general"
"BE";540;295;431;395;106;384;36;279;1150;372;136;135;379;593;464;500;732;216;1087;425;351;7;431;243;630;256;283;953;752;193;337;572;265;243;654;"general"
"BG";357;66;78;17;52;114;3;44;57;305;40;100;228;255;145;295;157;336;275;374;110;0;222;133;177;270;276;95;407;150;225;251;130;74;374;"general"
"BH";0;1;1;1;2;2;2;0;0;0;0;2;1;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;1;0;3;0;0;2;"general"
"BM";1;0;2;0;0;4;2;0;1;0;0;1;1;0;0;7;0;0;0;0;0;0;1;0;1;1;0;0;0;2;0;2;2;6;8;"general"
"BR";1971;1037;799;119;131;563;86;30;304;1226;131;1421;2156;325;318;793;291;764;967;974;418;2;1147;729;2636;1370;1279;872;2806;949;1781;3149;3233;2263;3579;"general"
"BS";4;3;0;0;0;3;3;0;0;2;0;7;17;1;1;8;0;1;1;4;20;0;2;0;1;1;2;0;2;0;2;8;7;6;9;"general"
"BY";33;11;9;3;6;17;0;14;37;77;20;18;44;49;11;22;36;37;76;76;36;0;100;30;20;64;57;58;110;20;61;67;6;23;75;"general"
"CA";3200;2166;3196;3091;804;3867;762;464;1982;2873;668;1506;3110;1129;1722;2134;748;583;1511;1260;836;28;2148;1451;3420;2529;1841;1055;4613;1511;2227;4870;5184;2854;6706;"general"
"CG";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"general"
"CH";2456;827;585;420;272;752;173;469;802;3120;209;834;2510;1487;644;1008;651;787;1033;849;635;21;1538;545;2564;2168;1283;2377;1755;892;1564;1151;1691;1269;2571;"general"
"CL";9;5;4;1;0;4;4;1;2;8;4;3;6;10;7;18;2;6;16;20;8;0;20;6;8;4;2;1;12;7;16;4;11;4;16;"general"
"CM";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;"general"
"CN";10349;5327;6307;4619;1193;12963;138;3679;4062;7480;1134;2579;7639;8094;7608;22611;4838;17725;17796;13304;4040;557;6231;5098;3025;5374;4865;5051;8197;5940;3785;5333;4287;6701;9573;"general"
"CO";8;5;2;0;0;6;1;0;2;2;0;6;41;7;6;11;0;8;16;11;2;0;2;1;7;3;6;5;6;2;1;1;5;12;14;"general"
"CR";4;2;2;1;0;2;0;0;1;2;0;0;7;1;1;0;0;2;2;2;0;0;1;0;8;3;2;0;3;0;8;3;8;4;7;"general"
"CS";8;1;2;0;0;0;0;0;1;14;4;1;8;5;1;4;2;4;5;5;3;0;9;4;2;4;3;10;8;6;3;3;0;2;8;"general"
"CU";0;0;0;0;0;3;0;0;0;2;8;0;4;4;21;20;0;0;2;1;0;0;1;1;0;0;0;1;3;0;0;0;0;2;2;"general"
"CY";4;1;3;0;2;3;2;2;1;2;0;2;14;2;1;7;0;5;8;1;1;0;10;3;0;2;7;0;13;4;4;6;6;2;3;"general"
"CZ";282;80;51;16;24;76;13;14;62;267;26;115;179;197;117;164;83;157;242;273;85;0;220;309;221;392;297;375;373;254;260;465;165;160;542;"general"
"DD";8;1;0;0;0;1;0;1;0;8;1;0;9;8;4;4;1;6;6;2;2;0;5;2;5;11;5;3;4;4;8;7;1;0;5;"general"
"DE";38520;13641;12872;7250;5391;12985;1341;8657;11716;32222;3281;12246;20003;19496;6609;9228;12875;3236;15847;12027;9455;338;20980;12097;26279;27313;28985;18870;26689;12961;37496;56160;14835;12891;31811;"general"
"DK";503;309;366;217;111;270;43;25;169;472;135;224;822;522;654;644;57;449;283;251;117;4;527;292;759;360;591;235;955;395;607;527;619;276;882;"general"
"DZ";4;2;1;0;0;1;0;1;0;3;0;1;13;0;0;0;1;0;0;0;0;0;1;2;2;0;4;1;2;0;1;7;1;2;4;"general"
"EC";2;0;0;0;0;2;1;0;0;0;0;1;3;1;1;2;0;18;0;0;0;0;0;0;0;1;1;0;3;1;2;2;10;1;2;"general"
"EE";28;6;18;2;4;4;1;4;19;106;9;17;72;37;14;18;31;22;106;63;24;0;64;37;35;77;58;14;101;27;41;68;12;15;153;"general"
"EG";6;2;5;5;2;10;2;3;1;4;1;2;11;6;2;15;1;3;7;1;1;1;4;3;1;2;4;0;6;0;4;6;3;2;4;"general"
"ES";1059;494;567;290;106;353;43;75;183;815;195;897;1020;862;613;830;181;825;654;592;326;4;823;511;1613;789;537;770;1746;515;807;1577;1283;965;2076;"general"
"FI";1325;835;3250;3223;560;1193;173;168;280;1491;177;624;1195;312;418;290;400;415;582;485;477;9;1277;801;2087;1578;795;2642;1903;1196;979;1820;1076;681;2771;"general"
"FR";11523;5180;5263;3885;1798;6387;641;2236;3702;8075;1062;3952;7944;8537;3032;5120;2606;2279;3464;3764;2157;75;5799;3123;9373;4971;5628;2900;9615;3477;9530;16759;8165;6921;12360;"general"
"GA";2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"general"
"GB";4002;3642;3824;2877;1276;5113;781;759;2371;4526;610;2668;3782;2645;1354;2621;655;667;2297;881;874;20;2061;1189;4062;2329;2480;1426;3949;1466;3905;5566;5187;3681;7978;"general"
"GD";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"general"
"GE";7;0;0;0;0;0;0;3;1;4;2;0;4;1;2;15;2;3;2;1;1;0;3;1;1;2;0;0;5;6;0;2;0;3;0;"general"
"GR";167;130;76;24;14;63;7;16;35;110;17;115;253;66;54;170;21;107;116;62;32;2;108;109;222;127;190;51;414;146;114;281;265;239;585;"general"
"GU";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;1;0;"general"
"HK";495;307;142;61;42;193;19;89;147;150;15;75;130;28;90;93;20;46;37;18;44;1;48;37;111;101;47;72;122;93;58;78;565;482;121;"general"
"HN";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;3;0;0;0;1;0;0;0;1;0;0;"general"
"HR";130;37;23;7;7;24;2;4;15;63;0;51;138;126;18;104;19;48;54;27;15;0;45;65;95;81;155;14;164;85;86;202;138;97;250;"general"
"HU";521;250;182;80;60;175;14;18;135;468;57;232;462;895;210;704;142;1054;600;318;120;1;372;492;307;236;430;90;668;317;422;496;531;233;981;"general"
"IB";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"general"
"ID";3;4;4;2;0;0;4;3;1;4;1;1;3;3;1;3;3;2;8;2;2;0;7;6;6;5;8;11;4;0;2;2;12;12;21;"general"
"IE";207;144;156;200;105;431;67;54;41;144;36;118;322;78;64;178;30;215;63;36;53;2;108;41;221;137;37;113;299;76;58;115;128;101;327;"general"
"IL";411;512;895;1149;377;2044;167;228;502;737;133;307;1629;389;416;654;66;97;186;125;111;7;254;159;176;307;168;167;442;119;139;208;261;257;243;"general"
"IN";496;160;205;211;157;743;87;64;75;335;67;118;331;1910;566;1402;439;502;927;730;190;0;545;228;326;263;261;318;379;248;307;245;190;197;317;"general"
"IR";3;1;5;1;4;7;2;3;2;3;0;2;7;5;2;4;5;3;4;4;0;0;4;1;6;1;5;2;5;3;0;3;4;2;4;"general"
"IS";3;8;16;24;1;22;0;1;4;15;4;2;29;4;20;22;1;9;6;2;3;0;9;3;11;10;16;2;60;5;6;10;8;7;20;"general"
"IT";4799;1253;1718;526;870;1918;96;1179;1731;2570;202;1982;5017;2858;900;2259;1822;1607;1608;1745;1302;31;3067;1579;8860;5954;2704;4886;7451;2514;4874;7351;5795;5552;6979;"general"
"JA";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"general"
"JO";6;0;0;0;0;2;0;1;0;0;3;0;7;8;1;15;2;0;1;1;2;0;0;0;0;2;1;0;1;2;1;2;0;0;1;"general"
"JP";363735;377959;194313;77536;66196;322346;44774;260853;374327;222400;12275;100418;89348;62063;26517;27466;103413;40156;91454;127955;111173;2516;93888;83643;187367;154231;138877;182031;178706;114551;143275;184933;140437;101085;220957;"general"
"KE";0;1;0;0;0;0;0;0;4;0;0;0;0;1;1;3;0;1;9;0;0;0;0;0;15;1;0;2;2;3;1;2;2;3;2;"general"
"KG";0;0;0;0;0;0;0;0;2;5;0;0;2;0;0;2;0;4;2;2;0;0;4;3;1;5;4;11;4;1;2;2;1;15;4;"general"
"KN";1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;1;0;2;0;0;0;"general"
"KP";3;2;0;0;0;0;0;4;1;2;1;0;3;1;1;2;1;2;0;2;0;0;2;0;3;0;1;1;2;0;1;1;3;2;1;"general"
"KR";31659;46638;37436;21986;7975;34963;5219;58321;23429;12620;645;7041;6362;6785;5136;4257;6767;10973;7886;13353;6259;398;6174;9715;8096;12462;14593;9645;12732;16242;10960;33018;11373;17257;14628;"general"
"KW";8;4;1;0;2;0;0;0;0;3;0;1;7;2;1;4;2;0;1;2;0;0;4;3;1;5;9;0;2;2;1;3;4;4;4;"general"
"KY";4;1;2;2;0;2;1;0;2;6;2;1;0;0;2;0;0;0;0;0;0;0;0;1;8;0;0;0;16;0;2;3;4;2;1;"general"
"KZ";13;0;4;1;0;1;0;2;2;16;2;1;14;10;2;23;2;4;13;57;17;0;32;16;8;13;21;4;10;14;16;12;2;3;49;"general"
"LB";4;2;1;0;0;5;0;0;1;2;1;4;5;1;1;3;2;2;4;5;0;0;1;2;2;3;3;0;1;2;2;4;2;4;0;"general"
"LI";21;7;4;4;1;2;1;7;20;43;2;11;70;12;4;66;17;3;6;23;25;0;21;10;32;83;17;14;22;22;47;20;19;13;36;"general"
"LK";1;0;1;1;0;2;2;1;0;0;1;0;1;1;1;2;0;2;0;0;1;0;1;0;1;0;4;0;3;0;0;4;5;2;2;"general"
"LR";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;"general"
