"country_code";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"info"
"IE";27;20;9;2;8;8;0;10;3;20;3;13;29;14;7;20;14;15;20;3;9;0;17;4;26;28;7;14;30;15;15;20;17;15;44;"general"
"IL";79;32;42;11;27;51;1;19;82;153;53;61;164;172;95;138;46;41;67;66;39;0;182;45;73;90;94;29;209;104;77;51;70;42;94;"general"
"IN";640;109;86;9;53;65;0;14;109;403;20;166;261;628;78;132;167;169;732;847;171;0;590;125;402;396;364;522;350;428;467;367;228;235;516;"general"
"IR";0;0;1;0;1;0;0;0;0;4;1;0;0;2;2;1;0;0;0;2;1;0;0;0;2;0;6;0;1;2;2;1;0;1;5;"general"
"IS";2;1;0;0;0;0;0;0;1;2;1;0;2;1;0;3;1;3;2;1;7;0;8;0;5;2;0;2;26;0;4;8;6;3;10;"general"
"IT";2284;645;736;120;381;412;2;314;762;1580;99;834;1638;3115;397;1029;1168;887;1223;1397;703;0;1636;698;4182;3515;2133;3038;4297;1741;2854;4218;2323;2833;3930;"general"
"JP";263362;218066;101614;23584;65292;159433;3977;155434;186567;160153;6578;62709;37129;51436;17077;19636;63298;32904;63073;116827;75464;41;70274;42646;95901;129473;121249;115552;109207;86093;77697;88475;37447;51163;87222;"general"
"KR";1114;1383;622;133;318;592;0;592;280;397;23;292;118;1452;306;198;550;676;671;776;325;0;380;148;277;532;308;1136;553;271;236;357;194;579;331;"general"
"KY";3;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;"general"
"LI";21;10;6;0;1;3;0;8;29;36;0;11;27;10;0;21;8;4;10;16;23;0;21;9;45;106;14;14;45;62;115;19;25;30;50;"general"
"LU";37;2;7;2;1;0;1;1;6;42;1;10;10;10;2;4;10;3;22;253;26;0;26;9;70;48;18;19;52;69;41;64;14;33;86;"general"
"LY";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"general"
"MA";4;0;0;0;0;0;0;0;2;1;0;0;1;2;0;0;4;2;2;3;0;0;1;1;2;4;0;0;0;0;0;3;2;1;0;"general"
"MC";4;2;3;0;0;0;0;1;2;4;0;0;14;6;0;2;0;2;1;1;1;0;8;3;9;4;0;6;9;4;9;14;6;8;12;"general"
"ML";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"general"
"MO";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;"general"
"MX";95;20;16;0;11;10;0;5;25;37;7;34;98;84;17;51;43;20;86;128;29;0;149;34;114;52;82;70;192;75;114;91;170;104;298;"general"
"MY";2;2;0;0;0;0;0;1;0;1;1;1;0;2;0;0;2;1;4;0;0;0;4;0;1;1;4;0;8;1;1;1;5;6;11;"general"
"NL";610;409;142;63;160;136;4;125;189;329;39;93;271;496;108;159;311;188;419;226;155;0;425;154;511;310;150;221;749;260;391;267;177;143;563;"general"
"NO";399;128;85;11;16;40;0;2;56;308;33;115;232;69;37;56;33;104;167;242;166;0;236;163;644;348;292;139;1029;347;558;989;560;264;1669;"general"
"NZ";168;50;69;5;24;25;1;6;27;132;27;56;172;373;92;281;58;139;201;66;72;0;196;57;415;225;102;99;537;128;308;266;281;180;515;"general"
"PA";2;0;2;0;1;0;0;1;1;0;0;0;0;29;0;9;0;1;1;1;2;0;1;1;1;5;1;2;6;1;4;8;4;2;5;"general"
"PH";3;0;0;0;0;0;0;0;0;0;0;0;3;2;2;2;0;4;10;0;1;0;2;1;2;0;8;3;6;2;2;0;5;6;4;"general"
"PK";0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;"general"
"PL";3786;557;743;90;1133;713;0;287;483;5635;179;1577;715;2252;211;92;1409;779;2643;3692;1318;0;2668;1101;2804;4502;1398;1337;2479;1518;2681;1774;402;649;4918;"general"
"PR";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;2;1;1;"general"
"PT";4;4;2;0;0;2;0;0;0;4;0;1;2;17;6;4;0;2;2;6;3;0;8;2;14;6;11;4;10;5;3;8;10;2;6;"general"
"RO";1657;128;147;23;169;169;2;115;214;2254;159;380;502;1633;185;1012;1211;431;1103;1874;468;0;1148;321;706;2538;517;898;1019;424;907;477;120;277;1199;"general"
"RU";91;5;1;0;3;7;1;16;10;46;0;8;35;51;8;16;22;1;22;101;24;0;62;12;19;111;38;23;35;23;22;19;0;6;39;"general"
"SC";2;5;2;0;2;2;0;1;3;2;2;4;0;10;2;3;1;0;3;0;1;0;1;1;5;1;6;5;8;1;4;2;2;4;4;"general"
"SE";2251;610;545;106;162;254;10;70;387;1874;198;728;1843;471;304;526;191;294;675;1309;499;0;1830;875;3703;2963;1508;1589;2800;2040;2758;2871;1713;994;4532;"general"
"SG";15;4;3;0;2;0;0;2;6;5;0;0;3;0;0;1;1;1;0;2;3;0;2;1;4;5;1;0;28;1;1;2;6;4;20;"general"
"ST";19;3;2;0;0;0;0;1;0;45;4;1;5;1;1;2;15;2;20;11;4;0;19;8;5;18;24;4;18;7;11;6;2;6;24;"general"
"SU";679;77;30;2;53;97;0;57;89;545;23;90;254;319;63;67;208;103;229;874;242;0;564;162;173;994;327;230;322;241;212;173;20;40;319;"general"
"SV";0;0;0;0;0;0;0;1;0;3;0;0;2;0;0;0;0;2;1;0;0;0;0;0;2;1;2;6;0;0;0;1;0;1;0;"general"
"SY";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"general"
"TD";4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"general"
"TN";2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;2;0;0;3;0;0;1;1;0;0;0;0;1;0;0;0;"general"
"TR";5;0;3;0;6;1;0;0;0;6;1;0;4;2;0;2;2;0;1;0;0;0;2;2;1;0;2;0;1;4;3;0;0;6;0;"general"
"TT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;2;"general"
"TW";273;94;41;2;15;37;0;17;27;109;3;84;112;24;5;4;14;11;16;32;17;0;56;35;141;259;105;51;122;89;137;226;426;344;341;"general"
"UG";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"general"
"US";40364;18419;11632;2987;10261;14961;356;10620;20067;35016;4068;11192;28038;32936;6921;11419;21472;6121;25228;16456;11809;15;24249;9173;27895;25293;20485;15485;34552;13947;26433;28470;25312;18853;31382;"general"
"VE";8;1;2;0;2;2;0;1;4;12;2;5;5;8;2;7;1;1;50;5;2;0;25;2;6;4;18;1;18;14;10;10;6;11;26;"general"
"VN";1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"general"
"YU";22;2;5;0;1;0;0;0;1;12;2;7;14;30;3;13;1;6;4;6;2;0;3;9;2;10;12;2;13;8;12;10;8;5;11;"general"
"ZA";971;166;105;17;51;89;1;27;95;349;21;300;462;948;198;205;324;244;836;816;263;0;933;210;1779;727;384;325;1367;608;1444;1177;1294;703;3121;"general"
"GT";0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;2;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;"general"
"KP";0;2;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;1;0;0;0;0;0;0;2;1;0;0;0;2;1;1;0;"general"
"KW";0;0;0;0;0;1;0;0;0;1;0;0;6;0;1;2;4;0;5;2;0;0;1;1;1;1;3;1;4;0;1;0;0;0;0;"general"
"PE";0;2;0;0;0;0;0;0;0;1;0;0;3;1;0;1;0;0;0;1;2;0;3;0;0;0;2;2;2;0;2;1;5;1;2;"general"
"SM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;1;0;1;0;1;2;0;0;3;"general"
"TH";0;0;2;0;4;0;0;0;0;1;0;1;5;2;1;0;1;0;3;1;0;0;0;0;0;2;1;1;1;1;1;0;2;0;0;"general"
