"country_code";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"info"
"AD";3;2;2;1;0;3;2;0;1;0;0;1;3;1;1;1;0;2;0;2;1;0;2;0;3;0;3;2;3;3;0;2;2;1;8;"general"
"AE";38;20;48;54;6;99;59;12;7;63;6;47;51;6;9;23;25;10;22;12;27;2;27;24;19;5;25;4;23;19;20;42;34;30;81;"general"
"AF";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;"general"
"AG";2;0;1;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"general"
"AI";2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;"general"
"AM";7;8;1;16;2;47;1;9;2;3;1;2;11;5;4;7;1;17;2;4;4;1;5;1;3;2;4;0;2;2;2;0;0;1;9;"general"
"AN";1;1;2;0;0;0;0;0;0;3;0;0;3;0;1;4;0;0;1;0;0;0;1;2;2;1;1;0;0;0;1;1;3;0;3;"general"
"AO";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;"general"
"AP";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;"general"
"AR";37;10;31;40;17;104;33;4;4;64;6;22;126;17;42;88;4;35;24;22;16;1;17;9;35;14;27;4;67;11;36;39;39;44;58;"general"
"AT";2826;577;543;567;600;1024;160;1466;324;1802;159;847;1091;241;467;501;379;153;346;736;435;57;559;500;1080;1067;1443;589;1453;689;1625;1946;942;750;1840;"general"
"AU";2334;1721;1320;1705;165;5397;3702;339;670;1829;708;2027;5615;1455;2822;4372;288;902;1265;672;530;83;1188;828;2566;1357;892;1899;2575;819;1694;3271;5207;2371;6991;"general"
"AX";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"general"
"AZ";4;0;1;2;1;3;2;2;0;0;0;4;17;8;1;1;2;2;12;4;0;0;2;2;3;0;5;0;15;2;6;4;1;0;62;"general"
"BA";5;1;0;1;0;2;2;0;2;2;0;2;2;0;0;4;0;0;0;0;0;0;0;0;2;1;11;0;3;1;1;2;1;0;4;"general"
"BB";3;2;1;3;0;15;4;1;0;2;0;2;6;0;0;3;0;1;4;0;0;0;0;0;8;2;1;0;0;0;2;0;5;5;3;"general"
"BD";5;2;9;18;2;17;5;5;4;8;7;2;1;5;13;9;3;2;2;3;1;1;4;1;1;0;3;0;2;0;1;1;1;0;1;"general"
"BE";666;525;469;1002;187;1177;304;877;440;616;157;188;811;444;474;510;495;299;797;358;415;39;458;310;563;268;426;516;844;296;462;1065;393;347;897;"general"
"BG";151;34;37;82;13;374;36;40;27;107;6;42;67;18;24;58;18;34;63;77;29;8;53;46;66;47;129;20;94;35;51;83;43;36;107;"general"
"BJ";0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;"general"
"BM";1;2;0;1;0;5;9;5;1;1;0;2;2;4;1;6;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;3;4;3;2;"general"
"BN";8;1;0;0;0;1;2;8;0;2;1;1;1;0;3;0;0;0;2;2;1;0;0;0;1;0;0;0;0;1;0;0;0;0;2;"general"
"BO";6;0;1;0;0;0;0;0;0;0;0;0;4;0;0;1;0;1;0;3;0;0;2;0;0;0;0;0;0;0;0;0;2;0;1;"general"
"BQ";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;"general"
"BR";2282;883;684;672;136;1496;873;127;334;1883;350;1450;3039;1378;1002;2176;636;1869;2323;1411;638;154;1776;1244;2699;1275;1779;857;4061;1195;1972;3377;2888;2489;3848;"general"
"BS";8;3;2;2;0;10;7;0;1;1;0;7;6;1;2;12;0;2;0;0;1;0;2;2;2;2;1;0;3;0;2;2;11;3;9;"general"
"BW";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;"general"
"BY";38;14;12;12;23;30;7;15;98;85;21;11;43;12;16;39;32;27;42;91;30;15;74;13;16;38;34;15;82;11;82;91;20;15;84;"general"
