"";"MORt(MergeAlldata_1st)";"Step0";"Step1";"Step2"
"1";85,7988116432967;815935;8266049,22100903;418510,158752455
"2";98,9761596302;673957;8543392,53293756;420627,351108984
"3";90,6642587189187;308563;8368041,19790772;419287,468757627
"4";81,5488601098434;79381;8174645,58861692;417808,421374167
"5";79,6440676053412;181505;8134745,62258891;417500,952285308
"6";87,8778376812663;425053;8291437,66770497;418700,229613329
"7";94,4903585421383;17652;8382192,63924768;419363,275818822
"8";100;460828;8564062,89026708;420781,085569925
"9";97,571737831834;657185;8520737,9269749;420407,660294222
"10";69,6128067120574;530528;7921716,16498469;415882,674350941
"11";8,46434488119507;47967;6651259,09923489;406082,922845399
"12";75,1650996183654;213991;8033877,52763901;416737,387914341
"13";0;165531;6468161,30652869;404734,815789535
"14";28,8191765320789;367492;7037556,87715107;409332,571851826
"15";34,4727353520054;112465;7161162,87674388;410243,827024657
"16";36,1084515919324;168346;7216987,62915068;410528,565319247
"17";57,1480749199289;332331;7655654,0032257;413901,858215838
"18";56,135888879524;101279;7576552,38108591;413674,673804116
"19";48,6210395948698;373678;7471485,11348273;412525,680318103
"20";87,8368735166554;501951;8284535,96680154;418806,630968581
"21";83,5108644896073;343125;8214799,66910601;418139,579984396
"22";44,6298641077748;325;7423071,80307692;411926,055578113
"23";48,8016204509067;345467;7481289,86863579;412558,317625347
"24";73,3632932357165;177185;8000974,29124926;416506,694959821
"25";61,1590113573925;315033;7756035,50875305;414559,22054312
"26";78,4350324407636;400374;8106863,86490881;417319,00577811
"27";79,2417239605739;343113;8127425,14528158;417449,241401796
"28";86,2647076166159;384731;8262857,78392955;418573,342443364
"29";58,6843340447366;412057;7693924,55061072;414150,350175684
"30";85,7034151706628;275906;8263012,46076925;418490,316536945
"31";51,4465725008782;265019;7547432,6210649;412996,852140785
"32";56,6244033266759;277848;7655138,65921655;413821,914688571
"33";3,70850818667806;125478;6546267,12207718;405335,19222696
"34";41,5412342538432;168474;7320128,0921982;411387,064779409
"35";47,5891497761554;265871;7461569,74856603;412369,966061484
