"";"Herfindahl";"entropy";"Period"
"US";0,0543417952933007;4,692;"3rd"
"JP";0,0414786916565311;4,825;"3rd"
"CN";0,0387839425644486;4,882;"3rd"
"KR";0,0395391029123182;4,88;"3rd"
"AI_pat";0,331404183901343;2,597;"3rd"
