"name";"sector";"field_name";"dgr";"RCA";"n_neighbors";"weighted_degree";"triangles";"centrality_authority";"centrality_betweenness";"centrality_closeness";"centrality_eigen";"centrality_hub";"centrality_subgraph";"centrality_degree";"centrality_closeness_harmonic";"centrality_closeness_residual";"centrality_betweenness_network";"Country";"Period"
"10";"Instruments";"Measurement";0,911855932738176;1;5;0,694444444444444;3;0,521335635383819;3,46965811965812;0,04;0,521335635383819;0,521335635383819;39,9620123651254;5;230,79897072656;15,2480511096851;58;"CN";"1st"
"13";"Instruments";"Medical technology";0,61134409234727;1;7;1,25641025641026;4;0,575140487081066;13,1083333333333;0,0434782608695652;0,575140487081067;0,575140487081066;49,3531423221793;7;261,517050596702;15,3354522256915;122;"CN";"1st"
"15";"Chemistry";"Biotechnology";0,73804073496023;1;5;0,862068965517241;4;0,419812404785892;3,28888888888889;0,0357142857142857;0,419812404785892;0,419812404785892;28,9177703733168;5;209,749987452298;15,1665108114995;84;"CN";"1st"
"16";"Chemistry";"Pharmaceuticals";0,825184952224349;1;4;0,64;3;0,32753258773953;2;0,0357142857142857;0,327532587739531;0,32753258773953;19,2292563190765;4;184,813134966528;15,0908228516905;64;"CN";"1st"
"18";"Chemistry";"Food chemistry";0,491254405676304;1;4;0,615384615384615;4;0,369496485713617;1,03525641025641;0,0344827586206897;0,369496485713616;0,369496485713617;22,9775944309706;4;171,650530598846;15,0281597986887;58;"CN";"1st"
"19";"Chemistry";"Basic materials chemistry ";0,937783415668036;1;9;1,32786885245902;17;0,936892431319768;12,6790598290598;0,0476190476190476;0,936892431319768;0,936892431319768;123,88947116826;9;255,464860574388;15,330560670925;100;"CN";"1st"
"20";"Chemistry";"Materials, metallurgy";0,822063644870517;1;8;1,04918032786885;20;0,982232834600231;2,48995726495726;0,0454545454545454;0,98223283460023;0,982232834600231;134,920958018766;8;215,42343231843;15,2182089487918;64;"CN";"1st"
"21";"Chemistry";"Surface technology, coating";0,790197913922247;1;7;0,942307692307692;13;0,823514753049739;6,27692307692308;0,0434782608695652;0,823514753049739;0,823514753049739;95,769541560722;7;228,175909316397;15,2601933578274;76;"CN";"1st"
"23";"Chemistry";"Chemical engineering";0,905932653162935;1;9;1,28571428571429;18;1;6,58632478632479;0,0476190476190476;1;1;139,409539065449;9;267,791921107455;15,3248068018361;92;"CN";"1st"
"24";"Chemistry";"Environmental technology";0,670437107790336;1;7;0,924528301886792;10;0,79447023108451;5,09102564102564;0,0434782608695652;0,794470231084511;0,79447023108451;88,9626473182767;7;249,357330140294;15,3223941382597;62;"CN";"1st"
"26";"Mechanical engineering";"Machine tools";0,602418318453271;1;6;0,765957446808511;12;0,766521618477584;0,85;0,0384615384615385;0,766521618477584;0,766521618477584;83,574101725794;6;257,028179210621;15,2953928552754;50;"CN";"1st"
"27";"Mechanical engineering";"Engines, pumps, turbines";0,544629309279954;1;6;0,818181818181818;10;0,714235481531961;1,39551282051282;0,037037037037037;0,714235481531961;0,714235481531961;72,9573473729603;6;263,91246253641;15,3053704019522;64;"CN";"1st"
"29";"Mechanical engineering";"Other special machines";0,855824533780656;1;8;1,08474576271186;15;0,911955268561721;7,42051282051282;0,0454545454545454;0,911955268561721;0,911955268561721;116,4611380946;8;235,908742308596;15,2819962278475;74;"CN";"1st"
"33";"Other fields";"Furniture, games";0,426650313894679;1;3;0,473684210526316;1;0,251028183078762;0,875;0,0344827586206897;0,251028183078762;0,251028183078762;11,4332322670675;3;173,355317285784;15,0744974964133;46;"CN";"1st"
"34";"Other fields";"Other consumer goods";0,499188367155627;1;3;0,529411764705882;1;0,234786974479476;0,833333333333333;0,0333333333333333;0,234786974479476;0,234786974479476;10,4091768241762;3;190,422854976347;15,1028271052315;54;"CN";"1st"
"35";"Other fields";"Civil engineering";0,60675944110578;1;9;1,3728813559322;15;0,953871545183972;11,6002136752137;0,0476190476190476;0,953871545183972;0,953871545183972;127,238972562487;9;302,867174564146;15,4459196732438;120;"CN";"1st"
"10";"Instruments";"Measurement";0,911855932738176;1;9;1,58823529411765;10;0,880538826301448;30,8032051282051;0,0434782608695652;0,880538826301447;0,880538826301448;73,5327053869648;9;290,436630452941;16,2364273529556;142;"US";"1st"
"11";"Instruments";"Analysis of biological materials";0,509565551367599;1;4;0,615384615384615;4;0,35802344972683;1,81944444444444;0,032258064516129;0,358023449726829;0,35802344972683;17,4561205751339;4;129,053530127835;15,4077516833312;64;"US";"1st"
"13";"Instruments";"Medical technology";0,61134409234727;1;7;1,04255319148936;8;0,769127092383309;13,4435286935287;0,04;0,769127092383308;0,769127092383309;56,4884133423226;7;250,756082683089;16,1527064059074;84;"US";"1st"
"14";"Chemistry";"Organic fine chemistry";0,913055192352813;1;6;1,05882352941176;9;0,51033406486678;2,48076923076923;0,032258064516129;0,51033406486678;0,51033406486678;34,3812774689153;6;136,761694372104;15,4937542617866;110;"US";"1st"
"15";"Chemistry";"Biotechnology";0,73804073496023;1;5;0,78125;6;0,450153918366483;2,89636752136752;0,0344827586206897;0,450153918366483;0,450153918366483;25,8826075549432;5;198,968808600004;16,0373785504713;76;"US";"1st"
"16";"Chemistry";"Pharmaceuticals";0,825184952224349;1;6;1,05882352941176;7;0,504987043324678;5,64862637362637;0,0344827586206897;0,504987043324677;0,504987043324678;32,4167905984991;6;206,891082237982;15,9754974675254;110;"US";"1st"
"17";"Chemistry";"Macromolecular chemistry, polymers";0,819515870744441;1;5;0,735294117647059;7;0,525548895652824;1,55662393162393;0,0333333333333333;0,525548895652823;0,525548895652824;31,6537465656159;5;204,277654622098;16,0187487942903;60;"US";"1st"
"19";"Chemistry";"Basic materials chemistry ";0,937783415668036;1;7;1,11363636363636;10;0,695832141990853;7,57799145299145;0,037037037037037;0,695832141990852;0,695832141990853;51,2320321320932;7;211,509724419462;16,0365293613425;98;"US";"1st"
"22";"Chemistry";"Micro-structural and nano-technology";0,345557333422115;1;1;0,111111111111111;0;0,134378383071616;0;0,0263157894736842;0,134378383071616;0,134378383071616;3,1433799089805;1;183,115294208771;15,8986030174922;0;"US";"1st"
"23";"Chemistry";"Chemical engineering";0,905932653162935;1;7;0,96078431372549;10;0,809511446309312;10,0062271062271;0,04;0,809511446309311;0,809511446309312;62,5849999365422;7;259,956886639833;16,2181528874387;64;"US";"1st"
"25";"Mechanical engineering";"Handling";0,600757933378444;1;9;1,42105263157895;19;1;10,9249389499389;0,0434782608695652;1;1;96,314761787674;9;298,703729690715;16,2603023518531;116;"US";"1st"
"29";"Mechanical engineering";"Other special machines";0,855824533780656;1;8;1,20754716981132;13;0,923090148329884;9,39404761904762;0,0384615384615385;0,923090148329883;0,923090148329884;79,8637664868335;8;248,233427658716;16,122665730584;90;"US";"1st"
"31";"Mechanical engineering";"Mechanical elements";0,614661171514656;1;5;0,641025641025641;9;0,668944571582683;0,41025641025641;0,0344827586206897;0,668944571582683;0,668944571582683;44,8625674648225;5;219,461070313012;16,0234176824771;36;"US";"1st"
"32";"Mechanical engineering";"Transport";0,687760661798897;1;6;0,837209302325581;11;0,743810840708224;1,98525641025641;0,0357142857142857;0,743810840708224;0,743810840708224;55,4197125056953;6;198,558585068293;15,9260921319673;64;"US";"1st"
