"ctry_code";"Subclass";"RCA"
"AI_pat";"B64B";0
"AI_pat";"B64C";0
"AI_pat";"B64D";0
"AI_pat";"B64F";0
"AI_pat";"B64G";0
"AI_pat";"B65B";0
"AI_pat";"B65C";0
"AI_pat";"B65D";0
"AI_pat";"B65F";0
"AI_pat";"B65G";0
"AI_pat";"B65H";0
"AI_pat";"B66B";0
"AI_pat";"B66C";0
"AI_pat";"B66D";0
"AI_pat";"B66F";0
"AI_pat";"B67B";0
"AI_pat";"B67C";0
"AI_pat";"B67D";0
"AI_pat";"B68B";0
"AI_pat";"B68C";0
"AI_pat";"B68F";0
"AI_pat";"B68G";0
"AI_pat";"B81B";0
"AI_pat";"B81C";0
"AI_pat";"B82B";0
"AI_pat";"B82Y";0
"AI_pat";"C01B";0
"AI_pat";"C01C";0
"AI_pat";"C01D";0
"AI_pat";"C01F";0
"AI_pat";"C01G";0
"AI_pat";"C02F";0,436512068106688
"AI_pat";"C03B";0
"AI_pat";"C03C";0
"AI_pat";"C04B";0
"AI_pat";"C05B";0
"AI_pat";"C05C";0
"AI_pat";"C05D";0
"AI_pat";"C05F";0
"AI_pat";"C05G";0
"AI_pat";"C06B";0
"AI_pat";"C06C";0
"AI_pat";"C06D";0
"AI_pat";"C06F";0
"AI_pat";"C07B";0
"AI_pat";"C07C";0
"AI_pat";"C07D";0
"AI_pat";"C07F";0
"AI_pat";"C07G";0
"AI_pat";"C07H";0
"AI_pat";"C07J";0
"AI_pat";"C07K";0
"AI_pat";"C08B";0
"AI_pat";"C08C";0
"AI_pat";"C08F";0
"AI_pat";"C08G";0
"AI_pat";"C08H";0
"AI_pat";"C08J";0
"AI_pat";"C08K";0
"AI_pat";"C08L";0
"AI_pat";"C09B";0
"AI_pat";"C09C";0
"AI_pat";"C09D";0
"AI_pat";"C09F";0
"AI_pat";"C09G";0
"AI_pat";"C09H";0
"AI_pat";"C09J";0
"AI_pat";"C09K";0
"AI_pat";"C10B";0
"AI_pat";"C10C";0
"AI_pat";"C10F";0
"AI_pat";"C10G";0
"AI_pat";"C10H";0
"AI_pat";"C10J";0
"AI_pat";"C10K";0
"AI_pat";"C10L";0
"AI_pat";"C10M";0
"AI_pat";"C10N";0
"AI_pat";"C11B";0
"AI_pat";"C11C";0
"AI_pat";"C11D";0
"AI_pat";"C12C";0
"AI_pat";"C12F";0
"AI_pat";"C12G";0
"AI_pat";"C12H";0
"AI_pat";"C12J";0
"AI_pat";"C12L";0
"AI_pat";"C12M";0
"AI_pat";"C12N";0
"AI_pat";"C12P";0
"AI_pat";"C12Q";0
"AI_pat";"C12R";0
"AI_pat";"C12S";0
"AI_pat";"C13B";0
"AI_pat";"C13C";0
"AI_pat";"C13D";0
"AI_pat";"C13F";0
"AI_pat";"C13G";0
"AI_pat";"C13J";0
"AI_pat";"C13K";0
"AI_pat";"C14B";0
"AI_pat";"C14C";0
"AI_pat";"C21B";4,03077431292403
"AI_pat";"C21C";0
"AI_pat";"C21D";0
"AI_pat";"C22B";0
"AI_pat";"C22C";0
"AI_pat";"C22F";0
"AI_pat";"C23C";0
"AI_pat";"C23D";0
"AI_pat";"C23F";0
"AI_pat";"C23G";0
"AI_pat";"C25B";0
"AI_pat";"C25C";0
"AI_pat";"C25D";0
"AI_pat";"C25F";0
"AI_pat";"C30B";0
"AI_pat";"C40B";0
"AI_pat";"D01B";0
"AI_pat";"D01C";0
"AI_pat";"D01D";0
"AI_pat";"D01F";0
"AI_pat";"D01G";0
"AI_pat";"D01H";0
"AI_pat";"D02G";0
"AI_pat";"D02H";0
"AI_pat";"D02J";0
"AI_pat";"D03C";0
"AI_pat";"D03D";0
"AI_pat";"D03J";0
"AI_pat";"D04B";0
"AI_pat";"D04C";0
"AI_pat";"D04D";0
"AI_pat";"D04G";0
"AI_pat";"D04H";0
"AI_pat";"D05B";0
"AI_pat";"D05C";0
"AI_pat";"D06B";0
"AI_pat";"D06C";0
"AI_pat";"D06F";0
"AI_pat";"D06G";0
"AI_pat";"D06H";0
"AI_pat";"D06J";0
"AI_pat";"D06L";0
"AI_pat";"D06M";0
"AI_pat";"D06N";0
"AI_pat";"D06P";0
"AI_pat";"D06Q";0
"AI_pat";"D07B";0
"AI_pat";"D21B";0
"AI_pat";"D21C";0
"AI_pat";"D21D";0
"AI_pat";"D21F";0
"AI_pat";"D21G";0
"AI_pat";"D21H";0
"AI_pat";"D21J";0
"AI_pat";"E01B";0
"AI_pat";"E01C";0
"AI_pat";"E01D";0
"AI_pat";"E01F";0
"AI_pat";"E01H";0
"AI_pat";"E02B";0
"AI_pat";"E02C";0
"AI_pat";"E02D";0
"AI_pat";"E02F";0
"AI_pat";"E03B";0
"AI_pat";"E03C";0
"AI_pat";"E03D";0
"AI_pat";"E03F";0
"AI_pat";"E04B";0
"AI_pat";"E04C";0
"AI_pat";"E04D";0
"AI_pat";"E04F";0
"AI_pat";"E04G";0
"AI_pat";"E04H";0
"AI_pat";"E05B";0
"AI_pat";"E05C";0
"AI_pat";"E05D";0
"AI_pat";"E05F";0
"AI_pat";"E05G";0
"AI_pat";"E06B";0
"AI_pat";"E06C";0
"AI_pat";"E21B";0
"AI_pat";"E21C";0
"AI_pat";"E21D";1,09212090999728
"AI_pat";"E21F";0
"AI_pat";"F01B";0
"AI_pat";"F01C";0
"AI_pat";"F01D";0
"AI_pat";"F01K";0
"AI_pat";"F01L";0
"AI_pat";"F01M";0
"AI_pat";"F01N";0
"AI_pat";"F01P";0
"AI_pat";"F02B";0
"AI_pat";"F02C";0
"AI_pat";"F02D";1,12155303658327
"AI_pat";"F02F";0
"AI_pat";"F02G";0
"AI_pat";"F02K";0
"AI_pat";"F02M";0
"AI_pat";"F02N";0
"AI_pat";"F02P";0
"AI_pat";"F03B";0
"AI_pat";"F03C";0
"AI_pat";"F03D";0
"AI_pat";"F03G";0
"AI_pat";"F03H";0
"AI_pat";"F04B";0
"AI_pat";"F04C";0
"AI_pat";"F04D";0
"AI_pat";"F04F";0
"AI_pat";"F15B";0
"AI_pat";"F15C";0
"AI_pat";"F15D";0
"AI_pat";"F16B";0
"AI_pat";"F16C";0
"AI_pat";"F16D";0
"AI_pat";"F16F";0
"AI_pat";"F16G";0
"AI_pat";"F16H";0
"AI_pat";"F16J";0
"AI_pat";"F16K";0
"AI_pat";"F16L";0
"AI_pat";"F16M";0
"AI_pat";"F16N";0
"AI_pat";"F16P";0
"AI_pat";"F16S";0
"AI_pat";"F16T";0
"AI_pat";"F17B";0
"AI_pat";"F17C";0
"AI_pat";"F17D";0
"AI_pat";"F21H";0
"AI_pat";"F21K";0
"AI_pat";"F21L";0
"AI_pat";"F21S";0
"AI_pat";"F21V";0
"AI_pat";"F21W";0
"AI_pat";"F21Y";0
"AI_pat";"F22B";0
"AI_pat";"F22D";0
"AI_pat";"F22G";0
"AI_pat";"F23B";0
"AI_pat";"F23C";0
"AI_pat";"F23D";0
"AI_pat";"F23G";0
"AI_pat";"F23H";0
"AI_pat";"F23J";0
"AI_pat";"F23K";0
"AI_pat";"F23L";0
"AI_pat";"F23M";0
"AI_pat";"F23N";0
"AI_pat";"F23Q";0
"AI_pat";"F23R";0
"AI_pat";"F24B";0
"AI_pat";"F24C";0
"AI_pat";"F24D";3,44436857385323
"AI_pat";"F24F";0,599999128586411
"AI_pat";"F24H";0
"AI_pat";"F24J";0
"AI_pat";"F24S";0
"AI_pat";"F24T";0
"AI_pat";"F24V";0
"AI_pat";"F25B";0
"AI_pat";"F25C";0
"AI_pat";"F25D";0
"AI_pat";"F25J";0
"AI_pat";"F26B";0
"AI_pat";"F27B";0
"AI_pat";"F27D";0
"AI_pat";"F28B";0
"AI_pat";"F28C";0
"AI_pat";"F28D";0
"AI_pat";"F28F";0
"AI_pat";"F28G";0
"AI_pat";"F41A";0
"AI_pat";"F41B";0
"AI_pat";"F41C";0
"AI_pat";"F41F";0
"AI_pat";"F41G";0
"AI_pat";"F41H";0
"AI_pat";"F41J";0
"AI_pat";"F42B";0
"AI_pat";"F42C";0
"AI_pat";"F42D";0
"AI_pat";"G01B";0
"AI_pat";"G01C";0
"AI_pat";"G01D";0
"AI_pat";"G01F";0
"AI_pat";"G01G";0
"AI_pat";"G01H";0
"AI_pat";"G01J";0
"AI_pat";"G01K";0
"AI_pat";"G01L";0
"AI_pat";"G01M";18,655684840926
"AI_pat";"G01N";0,574766976897065
"AI_pat";"G01P";0
"AI_pat";"G01Q";0
"AI_pat";"G01R";1,28830008002178
"AI_pat";"G01S";1,43697206404102
"AI_pat";"G01T";0
"AI_pat";"G01V";0
"AI_pat";"G01W";0
"AI_pat";"G02B";0,22693421506437
"AI_pat";"G02C";0
"AI_pat";"G02F";0,576073530905809
"AI_pat";"G03B";0
"AI_pat";"G03C";0
"AI_pat";"G03D";0
"AI_pat";"G03F";0
"AI_pat";"G03G";0
"AI_pat";"G03H";8,78434045655443
"AI_pat";"G04B";0
"AI_pat";"G04C";0
"AI_pat";"G04D";0
"AI_pat";"G04F";0
"AI_pat";"G04G";0
"AI_pat";"G04R";0
"AI_pat";"G05B";12,3535768294246
"AI_pat";"G05D";1,88433955071921
"AI_pat";"G05F";0
"AI_pat";"G05G";0
"AI_pat";"G06C";0
"AI_pat";"G06D";0
"AI_pat";"G06E";113,975713863435
"AI_pat";"G06F";14,1855125238501
"AI_pat";"G06G";33,1015281068645
"AI_pat";"G06J";100,35914627798
"AI_pat";"G06K";2,36874081573477
"AI_pat";"G06M";0
"AI_pat";"G06N";2481,47737760135
"AI_pat";"G06Q";50,2732354313634
"AI_pat";"G06T";11,1478843850418
"AI_pat";"G07B";0
"AI_pat";"G07C";0
