"ctry_code";"Subclass";"RCA_Gen";"RCA_AI";"Period"
"AE";"A01B";0;NA;"1974-1978"
"AE";"A01C";0;NA;"1974-1978"
"AE";"A01D";0;NA;"1974-1978"
"AE";"A01F";0;NA;"1974-1978"
"AE";"A01G";0;NA;"1974-1978"
"AE";"A01H";0;NA;"1974-1978"
"AE";"A01J";0;NA;"1974-1978"
"AE";"A01K";0;NA;"1974-1978"
"AE";"A01L";0;NA;"1974-1978"
"AE";"A01M";0;NA;"1974-1978"
"AE";"A01N";0;NA;"1974-1978"
"AE";"A01P";0;NA;"1974-1978"
"AE";"A21B";0;NA;"1974-1978"
"AE";"A21C";0;NA;"1974-1978"
"AE";"A21D";0;NA;"1974-1978"
"AE";"A22B";0;NA;"1974-1978"
"AE";"A22C";0;NA;"1974-1978"
"AE";"A23B";0;NA;"1974-1978"
"AE";"A23C";0;NA;"1974-1978"
"AE";"A23D";0;NA;"1974-1978"
"AE";"A23F";0;NA;"1974-1978"
"AE";"A23G";0;NA;"1974-1978"
"AE";"A23J";0;NA;"1974-1978"
"AE";"A23K";0;NA;"1974-1978"
"AE";"A23L";0;NA;"1974-1978"
"AE";"A23N";0;NA;"1974-1978"
"AE";"A23P";0;NA;"1974-1978"
"AE";"A24B";0;NA;"1974-1978"
"AE";"A24C";0;NA;"1974-1978"
"AE";"A24D";0;NA;"1974-1978"
"AE";"A24F";0;NA;"1974-1978"
"AE";"A41B";0;NA;"1974-1978"
"AE";"A41C";0;NA;"1974-1978"
"AE";"A41D";0;NA;"1974-1978"
"AE";"A41F";0;NA;"1974-1978"
"AE";"A41G";0;NA;"1974-1978"
"AE";"A41H";0;NA;"1974-1978"
"AE";"A42B";0;NA;"1974-1978"
"AE";"A42C";0;NA;"1974-1978"
"AE";"A43B";0;NA;"1974-1978"
"AE";"A43C";0;NA;"1974-1978"
"AE";"A43D";0;NA;"1974-1978"
"AE";"A44B";0;NA;"1974-1978"
"AE";"A44C";0;NA;"1974-1978"
"AE";"A45B";0;NA;"1974-1978"
"AE";"A45C";0;NA;"1974-1978"
"AE";"A45D";0;NA;"1974-1978"
"AE";"A45F";0;NA;"1974-1978"
"AE";"A46B";0;NA;"1974-1978"
"AE";"A46D";0;NA;"1974-1978"
"AE";"A47B";0;NA;"1974-1978"
"AE";"A47C";0;NA;"1974-1978"
"AE";"A47D";0;NA;"1974-1978"
"AE";"A47F";0;NA;"1974-1978"
"AE";"A47G";0;NA;"1974-1978"
"AE";"A47H";0;NA;"1974-1978"
"AE";"A47J";0;NA;"1974-1978"
"AE";"A47K";0;NA;"1974-1978"
"AE";"A47L";0;NA;"1974-1978"
"AE";"A61B";0;NA;"1974-1978"
"AE";"A61C";0;NA;"1974-1978"
"AE";"A61D";0;NA;"1974-1978"
"AE";"A61F";0;NA;"1974-1978"
"AE";"A61G";0;NA;"1974-1978"
"AE";"A61H";0;NA;"1974-1978"
"AE";"A61J";0;NA;"1974-1978"
"AE";"A61K";0;NA;"1974-1978"
"AE";"A61L";0;NA;"1974-1978"
"AE";"A61M";0;NA;"1974-1978"
"AE";"A61N";0;NA;"1974-1978"
"AE";"A61P";0;NA;"1974-1978"
"AE";"A61Q";0;NA;"1974-1978"
"AE";"A62B";0;NA;"1974-1978"
"AE";"A62C";0;NA;"1974-1978"
"AE";"A62D";0;NA;"1974-1978"
"AE";"A63B";0;NA;"1974-1978"
"AE";"A63C";0;NA;"1974-1978"
"AE";"A63D";0;NA;"1974-1978"
"AE";"A63F";0;NA;"1974-1978"
"AE";"A63G";0;NA;"1974-1978"
"AE";"A63H";0;NA;"1974-1978"
"AE";"A63J";0;NA;"1974-1978"
"AE";"A63K";0;NA;"1974-1978"
"AE";"B01B";0;NA;"1974-1978"
"AE";"B01D";0;NA;"1974-1978"
"AE";"B01F";0;NA;"1974-1978"
"AE";"B01J";0;NA;"1974-1978"
"AE";"B01L";0;NA;"1974-1978"
"AE";"B02B";0;NA;"1974-1978"
"AE";"B02C";0;NA;"1974-1978"
"AE";"B03B";0;NA;"1974-1978"
"AE";"B03C";0;NA;"1974-1978"
"AE";"B03D";0;NA;"1974-1978"
"AE";"B04B";0;NA;"1974-1978"
"AE";"B04C";0;NA;"1974-1978"
"AE";"B05B";0;NA;"1974-1978"
"AE";"B05C";0;NA;"1974-1978"
"AE";"B05D";0;NA;"1974-1978"
"AE";"B06B";0;NA;"1974-1978"
"AE";"B07B";0;NA;"1974-1978"
"AE";"B07C";0;NA;"1974-1978"
"AE";"B08B";0;NA;"1974-1978"
"AE";"B09B";0;NA;"1974-1978"
"AE";"B09C";0;NA;"1974-1978"
"AE";"B21B";0;NA;"1974-1978"
"AE";"B21C";0;NA;"1974-1978"
"AE";"B21D";0;NA;"1974-1978"
"AE";"B21F";0;NA;"1974-1978"
"AE";"B21G";0;NA;"1974-1978"
"AE";"B21H";0;NA;"1974-1978"
"AE";"B21J";0;NA;"1974-1978"
"AE";"B21K";0;NA;"1974-1978"
"AE";"B21L";0;NA;"1974-1978"
"AE";"B22C";0;NA;"1974-1978"
"AE";"B22D";0;NA;"1974-1978"
"AE";"B22F";0;NA;"1974-1978"
"AE";"B23B";0;NA;"1974-1978"
"AE";"B23C";0;NA;"1974-1978"
"AE";"B23D";0;NA;"1974-1978"
"AE";"B23F";0;NA;"1974-1978"
"AE";"B23G";0;NA;"1974-1978"
"AE";"B23H";0;NA;"1974-1978"
"AE";"B23K";0;NA;"1974-1978"
"AE";"B23P";0;NA;"1974-1978"
"AE";"B23Q";0;NA;"1974-1978"
"AE";"B24B";0;NA;"1974-1978"
"AE";"B24C";0;NA;"1974-1978"
"AE";"B24D";0;NA;"1974-1978"
"AE";"B25B";0;NA;"1974-1978"
"AE";"B25C";0;NA;"1974-1978"
"AE";"B25D";0;NA;"1974-1978"
"AE";"B25F";0;NA;"1974-1978"
"AE";"B25G";0;NA;"1974-1978"
"AE";"B25H";0;NA;"1974-1978"
"AE";"B25J";0;NA;"1974-1978"
"AE";"B26B";0;NA;"1974-1978"
"AE";"B26D";0;NA;"1974-1978"
"AE";"B26F";0;NA;"1974-1978"
"AE";"B27B";0;NA;"1974-1978"
"AE";"B27C";0;NA;"1974-1978"
"AE";"B27D";0;NA;"1974-1978"
"AE";"B27F";0;NA;"1974-1978"
"AE";"B27G";0;NA;"1974-1978"
"AE";"B27H";0;NA;"1974-1978"
"AE";"B27J";0;NA;"1974-1978"
"AE";"B27K";0;NA;"1974-1978"
"AE";"B27L";0;NA;"1974-1978"
"AE";"B27M";0;NA;"1974-1978"
"AE";"B27N";0;NA;"1974-1978"
"AE";"B28B";0;NA;"1974-1978"
"AE";"B28C";0;NA;"1974-1978"
"AE";"B28D";0;NA;"1974-1978"
"AE";"B29B";0;NA;"1974-1978"
"AE";"B29C";0;NA;"1974-1978"
"AE";"B29D";0;NA;"1974-1978"
"AE";"B29K";0;NA;"1974-1978"
"AE";"B29L";0;NA;"1974-1978"
"AE";"B30B";0;NA;"1974-1978"
"AE";"B31B";0;NA;"1974-1978"
"AE";"B31C";0;NA;"1974-1978"
"AE";"B31D";0;NA;"1974-1978"
"AE";"B31F";0;NA;"1974-1978"
"AE";"B32B";0;NA;"1974-1978"
"AE";"B41B";0;NA;"1974-1978"
"AE";"B41C";0;NA;"1974-1978"
"AE";"B41D";0;NA;"1974-1978"
"AE";"B41F";0;NA;"1974-1978"
"AE";"B41G";0;NA;"1974-1978"
"AE";"B41J";0;NA;"1974-1978"
"AE";"B41K";0;NA;"1974-1978"
"AE";"B41L";0;NA;"1974-1978"
"AE";"B41M";0;NA;"1974-1978"
"AE";"B41N";0;NA;"1974-1978"
"AE";"B42B";0;NA;"1974-1978"
"AE";"B42C";0;NA;"1974-1978"
"AE";"B42D";0;NA;"1974-1978"
"AE";"B42F";0;NA;"1974-1978"
"AE";"B43K";0;NA;"1974-1978"
"AE";"B43L";0;NA;"1974-1978"
"AE";"B43M";0;NA;"1974-1978"
"AE";"B44B";0;NA;"1974-1978"
