"ctry_code";"nace2_code";"n_tech_reg"
"AT";26,11;1,47222222222222
"AT";26,2;152,919907407407
"AT";26,3;913,429446479446
"AT";26,4;183,965740740741
"AT";26,5;788,087734025234
"AT";26,51;221,789580789581
"AT";26,52;57,8240740740741
"AT";26,6;61,3472222222222
"AT";26,7;396,749867724868
"AT";26,8;8,12037037037037
"AT";27,1;215,402380952381
"AT";27,12;78,575
"AT";27,2;65,4333333333333
"AT";27,3;53,3206349206349
"AT";27,33;438,316666666667
"AT";27,4;147,955555555556
"AT";27,5;561,367063492063
"AT";27,9;371,971398046398
"AT";28,1;901,254215229215
"AT";28,11;117,569444444444
"AT";28,14;46,0555555555556
"AT";28,21;96,504338023088
"AT";28,22;240,991666666667
"AT";28,23;336,420670533171
"AT";28,25;122,790079365079
"AT";28,29;937,954428210678
"AT";28,3;651,464285714286
"AT";28,4;1072,64471500721
"AT";28,9;1231,025
"AT";28,92;165,560912698413
"AT";28,94;182,619444444444
"AT";28,95;124,612698412698
"AT";28,99;165,805753968254
"AT";29,1;1319,20299006549
"AT";29,3;4,69823232323232
"AT";30;661,828144078144
"AT";31;346,05
"AT";32;1149,58095238095
"AT";32,5;572,97123015873
"AT";32,9;341,034259259259
"AT";42,2;28,8611111111111
"AT";42,91;50,3333333333333
"AT";43;871,280952380952
"AT";62;18,9761904761905
"AU";10;604,327380952381
"AU";10,5;46,3333333333333
"AU";11;62,2261904761905
"AU";12;63,3333333333333
"AU";13;142,703968253968
"AU";14;147,016666666667
"AU";15;130,75
"AU";16;57,0611111111111
"AU";17;135,727777777778
"AU";18,1;138,318253968254
"AU";19;217,25
"AU";20,1;2066,17208994709
"AU";20,2;296,793333333333
"AU";20,3;138,465343915344
"AU";20,4;174,855158730159
"AU";20,42;41,8218253968254
"AU";20,5;172,047486772487
"AU";20,51;143,25
"AU";20,6;16,2111111111111
"AU";21;2590,8156650539
"AU";22;643,142063492063
"AU";22,1;5,75
"AU";22,2;20,6333333333333
"AU";23;223,674814814815
"AU";23,1;129,668783068783
"AU";23,3;195,792857142857
"AU";23,42;146,333333333333
"AU";23,5;182,560714285714
"AU";24;668,617857142857
"AU";24,46;1,33333333333333
"AU";25,1;167,009523809524
"AU";25,2;124,45
"AU";25,3;9,91666666666667
"AU";25,4;119,097916666667
"AU";25,5;28,9833333333333
"AU";25,6;35,8666666666667
"AU";25,7;1052,8125
"AU";25,9;414,508333333333
"AU";25,94;122,416666666667
"AU";26,1;397,667857142857
"AU";26,11;4
"AU";26,2;652,316666666667
"AU";26,3;1448,3176497114
"AU";26,4;115,775
"AU";26,5;1313,23521825397
"AU";26,51;274,535317460317
"AU";26,52;30
"AU";26,6;110,444444444444
"AU";26,7;329,426984126984
"AU";26,8;31,4777777777778
"AU";27,1;174,534523809524
"AU";27,12;113,787301587302
"AU";27,2;84,8845238095238
"AU";27,3;74,7166666666667
"AU";27,33;592,075
"AU";27,4;157,22619047619
"AU";27,5;1521,06150793651
"AU";27,9;225,384523809524
"AU";28,1;1689,5869047619
"AU";28,11;126,316666666667
"AU";28,14;180,883333333333
"AU";28,21;66,0095238095238
"AU";28,22;374,016666666667
"AU";28,23;936,284325396825
"AU";28,25;403,028571428571
"AU";28,29;1816,70515873016
"AU";28,3;2110,44611111111
"AU";28,4;1383,60625
"AU";28,9;2970,97830687831
"AU";28,92;187,527380952381
"AU";28,94;197,085714285714
"AU";28,95;25,2416666666667
"AU";28,99;382,28619047619
"AU";29,1;2210,76349206349
"AU";29,3;1,58333333333333
"AU";30;1105,11785714286
"AU";31;842,37619047619
"AU";32;2288,29264069264
"AU";32,5;1889,89025974026
"AU";32,9;1800,8
"AU";42,2;143,183333333333
"AU";42,91;104,759523809524
"AU";43;2485,36357142857
"AU";62;59,6055555555556
"AW";24;1
"AZ";10;10,3333333333333
"AZ";11;4
"AZ";16;5
"AZ";17;1,5
"AZ";19;1
"AZ";20,1;15,4047619047619
"AZ";20,3;2,28571428571429
"AZ";20,5;1,2
"AZ";21;5,16666666666667
"AZ";22;2,33333333333333
"AZ";22,2;0,5
"AZ";23;1,16666666666667
"AZ";23,5;2,5
"AZ";24;8,58333333333333
"AZ";25,2;1,5
"AZ";25,3;2,5
"AZ";26,1;7,5
"AZ";26,2;0,5
"AZ";26,3;2
"AZ";26,4;1
"AZ";26,5;16,9833333333333
"AZ";26,51;1,5
"AZ";26,6;1
"AZ";26,7;2
"AZ";27,1;3,5
"AZ";27,33;2
"AZ";27,5;1
"AZ";27,9;5
"AZ";28,1;3,25
"AZ";28,11;2
"AZ";28,29;11,3333333333333
"AZ";28,3;11,7460317460317
"AZ";28,4;12,5
"AZ";28,9;13,8753968253968
"AZ";29,1;13,5
"AZ";30;3,5
"AZ";31;1
"AZ";32,5;2
"AZ";32,9;2,1
"AZ";42,2;0,25
"AZ";43;3,75
"BA";20,1;1,5
"BA";27,5;1
"BA";28,1;3
"BA";28,29;1
"BA";28,4;1
"BA";29,1;2
"BA";32;1
"BA";32,5;1
"BA";42,91;0,5
"BB";17;0,125
"BB";20,1;0,833333333333333
"BB";20,4;0,333333333333333
"BB";21;1,125
"BB";22;0,333333333333333
"BB";24;0,5
"BB";26,4;1
"BB";26,52;1
"BB";27,1;0,5
"BB";27,5;0,333333333333333
"BB";27,9;1
"BB";28,1;0,5
"BB";28,9;2,33333333333333
"BB";28,94;0,5
"BB";30;0,5
"BB";31;2
"BB";32,5;2
"BB";32,9;0,333333333333333
"BD";20,1;0,333333333333333
"BD";20,4;0,333333333333333
"BD";23,3;0,333333333333333
"BD";26,1;0,05
"BD";26,3;0,05
"BD";27,5;0,333333333333333
"BD";30;1
"BE";10;160,271398046398
"BE";10,5;8
"BE";11;10,9027777777778
"BE";12;5
"BE";13;73,0640873015873
"BE";14;13,25
"BE";15;13,6666666666667
"BE";16;12,3416666666667
"BE";17;29,5222222222222
"BE";18,1;117,742857142857
"BE";19;53,2492063492063
"BE";20,1;1209,68122562623
"BE";20,2;64,3956349206349
"BE";20,3;63,8184523809524
"BE";20,4;239,646275391275
"BE";20,42;11,6569536019536
"BE";20,5;104,685912698413
"BE";20,51;20,3666666666667
"BE";20,6;8,58492063492064
"BE";21;820,8275996226
"BE";22;231,881406926407
"BE";22,1;2,81746031746032
"BE";22,2;23,7652777777778
"BE";23;81,7452248677249
"BE";23,1;150,73212962963
"BE";23,3;27,9166666666667
"BE";23,42;8,5
"BE";23,5;85,5075396825397
"BE";24;357,548412698413
"BE";24,46;1
"BE";25,1;41,5819444444444
"BE";25,2;25,1666666666667
"BE";25,3;49,75
"BE";25,4;35,5333333333333
"BE";25,5;11,8
"BE";25,6;49,8214285714286
"BE";25,7;123,959259259259
"BE";25,9;37,15
"BE";25,94;9,83333333333333
"BE";26,1;247,257813852814
"BE";26,11;1,98968253968254
"BE";26,2;137,886940836941
"BE";26,3;634,910541505278
"BE";26,4;49,6960317460317
"BE";26,5;324,188394938395
"BE";26,51;60,1055555555556
"BE";26,52;9,66666666666667
"BE";26,6;46,4909090909091
"BE";26,7;103,648964646465
"BE";26,8;307,078210678211
"BE";27,1;37,6527777777778
"BE";27,12;21,5833333333333
"BE";27,2;24,0583333333333
"BE";27,3;25,4765873015873
"BE";27,33;198,769841269841
"BE";27,4;30,5666666666667
"BE";27,5;238,409166666667
"BE";27,9;59,4152777777778
"BE";28,1;266,156746031746
"BE";28,11;29,3694444444444
"BE";28,14;9,65
"BE";28,21;26,8166666666667
"BE";28,22;132,529220779221
"BE";28,23;335,659731842232
"BE";28,25;56,8083333333333
"BE";28,29;340,900171957672
"BE";28,3;185,244444444444
"BE";28,4;254,674404761905
"BE";28,9;649,021266233766
"BE";28,92;24,1833333333333
"BE";28,94;218,019444444444
"BE";28,95;8,86666666666667
"BE";28,99;43,8722222222222
"BE";29,1;275,947769360269
"BE";29,3;3,02777777777778
"BE";30;93,7111111111111
"BE";31;86,8472222222222
"BE";32;221,88
"BE";32,5;258,08020951271
"BE";32,9;446,365158730159
"BE";42,2;13,1111111111111
"BE";42,91;9,91666666666667
"BE";43;262,676785714286
"BE";62;13,6205555555556
"BF";20,4;0,5
"BF";20,42;0,5
"BF";21;0,222222222222222
"BG";10;544,248611111111
"BG";10,5;10
"BG";11;77,4333333333333
"BG";12;39,3333333333333
"BG";13;84,5
"BG";14;4
"BG";15;2,58333333333333
"BG";16;9,33333333333333
"BG";17;28
"BG";18,1;6,2
"BG";19;35,75
"BG";20,1;1325,19722222222
"BG";20,2;182,333333333333
"BG";20,3;52,7666666666667
"BG";20,4;55,6875
"BG";20,42;2,10416666666667
"BG";20,5;152,166666666667
"BG";20,51;43,9589947089947
"BG";20,6;34,3333333333333
"BG";21;918,729004329004
"BG";22;60,2916666666667
"BG";22,1;13,3333333333333
"BG";22,2;13,1111111111111
"BG";23;31,0833333333333
"BG";23,1;131,283333333333
"BG";23,3;35,0833333333333
"BG";23,42;5,5
"BG";23,5;217,116666666667
"BG";24;405,792424242424
"BG";24,46;2
"BG";25,1;24,1666666666667
"BG";25,2;22,8833333333333
"BG";25,3;11,5
"BG";25,4;45,8333333333333
"BG";25,5;30,1666666666667
"BG";25,6;78,4166666666667
"BG";25,7;33,1833333333333
"BG";25,9;19
"BG";25,94;2,5
"BG";26,1;297,477777777778
"BG";26,11;0,111111111111111
"BG";26,2;260,166666666667
"BG";26,3;383,333333333333
"BG";26,4;131,75
"BG";26,5;830,552706552707
"BG";26,51;218,416666666667
"BG";26,52;8,5
"BG";26,6;32,75
"BG";26,7;70,5833333333333
"BG";26,8;14,9333333333333
"BG";27,1;198,666666666667
"BG";27,12;33,1666666666667
"BG";27,2;66,5
"BG";27,3;24,3333333333333
"BG";27,33;106,5
"BG";27,4;2,58333333333333
"BG";27,5;103,588888888889
"BG";27,9;172,583333333333
"BG";28,1;504,7
"BG";28,11;31,5
"BG";28,21;26,3333333333333
"BG";28,22;116,5
"BG";28,23;203,094505494505
"BG";28,25;52,2
"BG";28,29;369,858333333333
"BG";28,3;363,052706552707
"BG";28,4;801,7
"BG";28,9;699,227777777778
"BG";28,92;27,5833333333333
"BG";28,94;103,833333333333
"BG";28,95;3,5
"BG";28,99;101,666666666667
"BG";29,1;271,75
"BG";30;142,878571428571
"BG";31;13,3333333333333
"BG";32;115,5
"BG";32,5;407,016666666667
"BG";32,9;88,0833333333333
"BG";42,2;13,6666666666667
"BG";42,91;40,25
"BG";43;177,583333333333
"BG";62;1
"BH";20,1;0,5
"BH";21;0,25
"BH";24;0,0833333333333333
"BH";26,2;2,08333333333333
"BH";26,3;0,5
"BH";27,4;0,0833333333333333
"BH";28,23;1,08333333333333
"BH";28,29;1,08333333333333
"BH";29,1;1
"BH";30;1
"BH";32;0,0833333333333333
"BH";32,5;1,25
"BH";32,9;0,5
"BH";42,91;1,5
"BH";62;0,5
"BJ";10;0,2
"BJ";21;1
"BM";15;1
"BM";17;2
"BM";20,1;7
"BM";21;1
"BM";22,2;0,333333333333333
"BM";26,1;1
"BM";26,2;1
"BM";26,3;1,83333333333333
"BM";26,7;1
"BM";27,3;0,166666666666667
"BM";27,33;0,166666666666667
"BM";28,23;1
"BM";28,29;1,16666666666667
"BM";28,3;1
"BM";28,4;1
"BM";28,9;0,333333333333333
"BM";28,99;0,333333333333333
"BM";30;1
"BM";32,5;0,5
"BM";32,9;1,5
"BM";43;5
"BN";32,9;0,5
"BO";10;0,5
"BO";11;0,5
"BO";20,1;0,333333333333333
