"ctry_code";"nace2_code";"n_tech_reg"
"AT";42,2;10,75
"AT";42,91;11,3333333333333
"AT";43;415,466468253968
"AT";62;0,833333333333333
"AU";10;497,945634920635
"AU";10,5;33,2
"AU";11;62,3666666666667
"AU";12;53,45
"AU";13;139,344444444444
"AU";14;94,5
"AU";15;122,166666666667
"AU";16;53,4444444444444
"AU";17;105,344444444444
"AU";18,1;92,5571428571428
"AU";19;234,683333333333
"AU";20,1;1900,37718253968
"AU";20,2;304,325
"AU";20,3;131,172023809524
"AU";20,4;120,35119047619
"AU";20,42;39,6845238095238
"AU";20,5;147,805357142857
"AU";20,51;114,2
"AU";20,6;11,8333333333333
"AU";21;1562,29325396825
"AU";22;586,108333333333
"AU";22,1;6,66666666666667
"AU";22,2;22,0833333333333
"AU";23;168,644444444444
"AU";23,1;115,592857142857
"AU";23,3;187,733333333333
"AU";23,42;124,333333333333
"AU";23,5;164,442857142857
"AU";24;631,955555555556
"AU";25,1;160,459523809524
"AU";25,2;177,483333333333
"AU";25,3;5,41666666666667
"AU";25,4;106,160416666667
"AU";25,5;27,8166666666667
"AU";25,6;42,9666666666667
"AU";25,7;845,866666666667
"AU";25,9;377,666666666667
"AU";25,94;92,4166666666667
"AU";26,1;320,475
"AU";26,2;193,25
"AU";26,3;889,48125
"AU";26,4;96,0833333333333
"AU";26,5;1157,96875
"AU";26,51;235,938888888889
"AU";26,52;29,5
"AU";26,6;115,344444444444
"AU";26,7;270,575
"AU";26,8;36,7333333333333
"AU";27,1;162,625
"AU";27,12;81,25
"AU";27,2;66,3095238095238
"AU";27,3;73,4666666666667
"AU";27,33;489,8
"AU";27,4;133,083333333333
"AU";27,5;1252,78571428571
"AU";27,9;196,45
"AU";28,1;1643,26666666667
"AU";28,11;131,783333333333
"AU";28,14;134,85
"AU";28,21;70,2150793650794
"AU";28,22;314,516666666667
"AU";28,23;637,0625
"AU";28,25;320,085714285714
"AU";28,29;1708,43849206349
"AU";28,3;1935,21666666667
"AU";28,4;1374,41458333333
"AU";28,9;2618,48928571429
"AU";28,92;120,458333333333
"AU";28,94;182,569047619048
"AU";28,95;23,3333333333333
"AU";28,99;370,966666666667
"AU";29,1;2084,89166666667
"AU";29,3;1,41666666666667
"AU";30;1005,05
"AU";31;758,783333333333
"AU";32;1885,4
"AU";32,5;1206,24285714286
"AU";32,9;1349,29166666667
"AU";42,2;67,4833333333333
"AU";42,91;98,1666666666667
"AU";43;1951,68333333333
"AU";62;10,5
"AZ";20,1;0,5
"AZ";21;0,5
"AZ";26,5;1
"BA";18,1;0,333333333333333
"BA";20,1;5,5
"BA";22;0,166666666666667
"BA";23,5;1
"BA";24;0,333333333333333
"BA";26,1;0,5
"BA";27,2;0,333333333333333
"BA";28,23;0,333333333333333
"BA";28,4;1
"BA";28,92;1
"BA";29,1;1
"BA";32,9;0,333333333333333
"BB";20,1;0,333333333333333
"BB";20,4;0,333333333333333
"BB";21;2
"BB";26,52;1
"BB";27,1;0,5
"BB";27,5;0,333333333333333
"BB";28,1;0,5
"BB";28,3;1
"BB";28,4;1
"BB";28,9;0,5
"BB";28,94;0,5
"BB";30;0,5
"BB";32;1
"BB";32,9;0,5
"BD";20,1;0,666666666666667
"BD";20,4;0,666666666666667
"BD";26,4;1
"BD";27,5;0,666666666666667
"BD";28,3;0,5
"BE";10;90,8797619047619
"BE";10,5;1,125
"BE";11;8,58333333333333
"BE";12;6
"BE";13;35,5194444444444
"BE";14;5,16666666666667
"BE";15;5,5
"BE";16;10,8333333333333
"BE";17;24,0777777777778
"BE";18,1;16,9083333333333
"BE";19;40,2230158730159
"BE";20,1;879,446825396825
"BE";20,2;68,4214285714286
"BE";20,3;32,1944444444444
"BE";20,4;141,786111111111
"BE";20,42;6,36666666666667
"BE";20,5;86,5111111111111
"BE";20,51;17
"BE";20,6;4,53333333333333
"BE";21;734,967063492064
"BE";22;148,961904761905
"BE";22,1;2,5
"BE";22,2;13,5027777777778
"BE";23;50,8291666666667
"BE";23,1;79,4829365079365
"BE";23,3;25,1875
"BE";23,42;3
"BE";23,5;64,1319444444444
"BE";24;389,358333333333
"BE";24,46;1,83333333333333
"BE";25,1;44,7444444444444
"BE";25,2;20,6166666666667
"BE";25,3;27,5916666666667
"BE";25,4;22,5833333333333
"BE";25,5;9,43333333333333
"BE";25,6;45,5547619047619
"BE";25,7;76,4944444444444
"BE";25,9;29,0555555555556
"BE";25,94;6,13333333333333
"BE";26,1;102,619444444444
"BE";26,2;34,4964285714286
"BE";26,3;244,800793650794
"BE";26,4;31,2380952380952
"BE";26,5;231,810714285714
"BE";26,51;41,3333333333333
"BE";26,52;2,25
"BE";26,6;11,5
"BE";26,7;49,3305555555556
"BE";26,8;75,825
"BE";27,1;21,25
"BE";27,12;6,66666666666667
"BE";27,2;16,8416666666667
"BE";27,3;15,9055555555556
"BE";27,33;101,058333333333
"BE";27,4;9,33333333333333
"BE";27,5;157,508333333333
"BE";27,9;36,75
"BE";28,1;164,105555555556
"BE";28,11;5,54166666666667
"BE";28,14;5,66666666666667
"BE";28,21;17,0416666666667
"BE";28,22;42,2777777777778
"BE";28,23;103,524206349206
"BE";28,25;32,6583333333333
"BE";28,29;245,013492063492
"BE";28,3;156,505555555556
"BE";28,4;223,65753968254
"BE";28,9;435,550793650794
"BE";28,92;17,4
"BE";28,94;89,4722222222222
"BE";28,95;7,03333333333333
"BE";28,99;26,275
"BE";29,1;136,238888888889
"BE";29,3;0,444444444444444
"BE";30;80,8833333333333
"BE";31;51,75
"BE";32;165,863888888889
"BE";32,5;166,183333333333
"BE";32,9;151,863888888889
"BE";42,2;8,5
"BE";42,91;11,0666666666667
"BE";43;170,809722222222
"BE";62;0,125
"BG";10;716,083333333333
"BG";10,5;11
"BG";11;57
"BG";12;55
"BG";13;108,166666666667
"BG";14;2,5
"BG";15;4
"BG";16;10,75
"BG";17;28,5
"BG";18,1;5,7
"BG";19;40
"BG";20,1;1965,05
"BG";20,2;234
"BG";20,3;76,3166666666667
"BG";20,4;58,9166666666667
"BG";20,42;0,75
"BG";20,5;225,533333333333
"BG";20,51;33,8333333333333
"BG";20,6;71,0555555555556
"BG";21;1073,42361111111
"BG";22;70,3055555555556
"BG";22,1;20,5
"BG";22,2;6,75
"BG";23;42,2333333333333
"BG";23,1;166,283333333333
"BG";23,3;47
"BG";23,42;6
"BG";23,5;318,316666666667
"BG";24;582,116666666667
"BG";24,46;3,33333333333333
"BG";25,1;34,25
"BG";25,2;12
"BG";25,3;18
"BG";25,4;14,3333333333333
"BG";25,5;41,5
"BG";25,6;131,033333333333
"BG";25,7;12
"BG";25,9;11,8333333333333
"BG";26,1;418,116666666667
"BG";26,2;374,583333333333
"BG";26,3;498,833333333333
"BG";26,4;210,833333333333
"BG";26,5;1214,09807692308
"BG";26,51;312,833333333333
"BG";26,52;12,5
