"ctry_code";"nace2_code";"n_tech_reg"
"AM";20,1;7,96309523809523
"AM";20,3;0,5
"AM";20,4;1,31666666666667
"AM";20,42;0,4
"AM";20,5;0,928571428571428
"AM";20,51;0,5
"AM";21;26,3917027417027
"AM";23;0,222222222222222
"AM";23,1;0,111111111111111
"AM";23,3;1,75
"AM";23,5;2,53333333333333
"AM";24;2,69444444444444
"AM";25,4;0,5
"AM";25,5;0,309523809523809
"AM";25,7;9
"AM";26,1;27,9744047619048
"AM";26,11;0,591269841269841
"AM";26,2;40,1440476190476
"AM";26,3;24,6194444444445
"AM";26,4;0,142857142857143
"AM";26,5;9,96747835497835
"AM";26,51;2,92222222222223
"AM";26,6;3,29166666666667
"AM";26,7;1,95039682539683
"AM";27,1;1,16666666666667
"AM";27,12;0,45
"AM";27,2;0,5
"AM";27,33;1,5
"AM";27,4;0,2
"AM";27,5;2,575
"AM";27,9;2,5
"AM";28,1;6,66666666666667
"AM";28,11;0,333333333333333
"AM";28,22;1,25
"AM";28,23;1,19166666666667
"AM";28,25;1,25
"AM";28,29;2,7468253968254
"AM";28,3;0,333333333333333
"AM";28,4;8,7
"AM";28,9;7,08333333333333
"AM";28,92;0,916666666666667
"AM";29,1;2,38888888888889
"AM";31;1
"AM";32;3,625
"AM";32,5;22,7575757575758
"AM";32,9;7,40515873015872
"AM";42,2;0,333333333333333
"AM";43;17,2539682539682
"AM";62;0,6
"AN";14;2
"AN";17;1
"AN";19;0,933333333333333
"AN";20,1;8,08333333333333
"AN";20,5;2,6
"AN";21;12,7
"AN";22;1
"AN";23;0,333333333333333
"AN";23,1;0,2
"AN";23,3;0,5
"AN";24;1,33333333333333
"AN";25,1;0,5
"AN";25,2;0,333333333333333
"AN";25,3;1
"AN";25,7;4
"AN";25,9;1
"AN";26,1;2,5
"AN";26,2;1
"AN";26,3;12
"AN";26,4;0,333333333333333
"AN";26,5;5,5
"AN";26,51;7,625
"AN";26,6;2
"AN";26,7;0,833333333333334
"AN";27,33;5,5
"AN";27,5;5,33333333333333
"AN";27,9;0,166666666666667
"AN";28,1;5,33333333333333
"AN";28,11;1,16666666666667
"AN";28,21;0,5
"AN";28,23;2,16666666666667
"AN";28,25;3
"AN";28,29;3,08333333333333
"AN";28,3;6
"AN";28,4;1
"AN";28,9;8,33333333333333
"AN";28,94;1,16666666666667
"AN";29,1;1,76785714285714
"AN";30;4
"AN";31;0,5
"AN";32;1,33333333333333
"AN";32,5;10,0333333333333
"AN";32,9;4,16666666666667
"AN";43;4,5
"AO";14;0,333333333333333
"AO";20,1;0,208333333333333
"AO";20,2;0,5
"AO";21;0,666666666666667
"AO";23;0,333333333333333
"AO";26,3;0,5
"AO";26,5;0,583333333333333
"AO";26,51;0,0833333333333333
"AO";26,7;0,166666666666667
"AO";27,1;2
"AO";27,12;1
"AO";27,33;0,166666666666667
"AO";27,9;0,166666666666667
"AO";28,1;1
"AO";28,29;0,833333333333333
"AO";28,4;0,166666666666667
"AO";28,9;1,24166666666667
"AO";28,92;0,5
"AO";29,1;0,166666666666667
"AO";31;1
"AO";62;0,666666666666667
"AP";13;1
"AP";25,4;0,2
"AP";26,2;0,0333333333333333
"AP";26,5;1
"AP";26,51;0,0333333333333333
"AP";27,33;0,0333333333333333
"AP";28,1;0,0333333333333333
"AP";28,3;0,25
"AP";28,9;0,283333333333333
"AP";29,1;0,0333333333333333
"AR";10;69,9001178451177
"AR";10,5;1
"AR";11;3,74696969696969
"AR";12;7
"AR";13;6,41785714285714
"AR";14;7
"AR";15;8,08333333333333
"AR";16;8
"AR";17;3,625
"AR";18,1;6,45
"AR";19;3,825
"AR";20,1;70,0441481137909
"AR";20,2;23,8806878306878
"AR";20,3;3,83078231292517
"AR";20,4;8,95833333333334
"AR";20,42;3,83611111111111
"AR";20,5;11,4512368583797
"AR";20,51;10
"AR";20,6;1,58333333333334
"AR";21;302,723611970041
"AR";22;43,2896825396825
"AR";22,2;1
"AR";23;13,7760317460317
"AR";23,1;2,58333333333333
"AR";23,3;6,5
"AR";23,42;9,5
"AR";23,5;5,77777777777778
"AR";24;24,8777777777778
"AR";25,1;9,66666666666667
"AR";25,2;3,5
"AR";25,3;1,75
"AR";25,4;13,5
"AR";25,5;0,56547619047619
"AR";25,6;1,49744897959184
"AR";25,7;25,9166666666667
"AR";25,9;16,7135600907029
"AR";25,94;1
"AR";26,1;15,6631313131313
"AR";26,11;1,01749639249639
"AR";26,2;101,745165945166
"AR";26,3;127,189475500345
"AR";26,4;10,25
"AR";26,5;86,079304029304
"AR";26,51;21,7916666666667
"AR";26,52;4,33333333333333
"AR";26,6;36,8833333333333
"AR";26,7;9,26666666666666
"AR";26,8;0,95
"AR";27,1;15,3666666666667
"AR";27,12;5,08333333333333
"AR";27,2;4,04166666666667
"AR";27,3;9,91666666666667
"AR";27,33;30,4444444444445
"AR";27,4;4,28333333333333
"AR";27,5;104,986111111111
"AR";27,9;14,6527777777778
"AR";28,1;106,035353535354
"AR";28,11;13,5416666666667
"AR";28,14;9,875
"AR";28,21;4,16666666666667
"AR";28,22;9,58333333333333
"AR";28,23;47,3761904761904
"AR";28,25;21,3333333333333
"AR";28,29;64,2607323232323
"AR";28,3;98,85
"AR";28,4;33,5333333333334
"AR";28,9;159,42387755102
"AR";28,92;1
"AR";28,94;15,3333333333333
"AR";28,99;7,62500000000001
"AR";29,1;117,758333333333
"AR";29,3;0,333333333333333
"AR";30;40,875
"AR";31;23,1666666666667
"AR";32;111,428004535147
"AR";32,5;271,498088023088
"AR";32,9;103,723650793651
"AR";42,2;3
"AR";42,91;7,5
"AR";43;31,5
"AR";62;37,9165945165945
"AT";10;376,785317460317
"AT";10,5;20,9166666666666
"AT";11;107,840079365079
"AT";12;72,8527777777777
"AT";13;220,641089466089
"AT";14;193,136111111111
"AT";15;315,883333333333
"AT";16;135,86626984127
"AT";17;273,056746031746
"AT";18,1;158,964285714286
"AT";19;92,6386904761905
"AT";20,1;3152,78005698006
"AT";20,2;172,660218253968
"AT";20,3;372,310052910054
"AT";20,4;91,1404461279461
"AT";20,42;27,5410052910053
"AT";20,5;294,152380952381
"AT";20,51;118,875
"AT";20,6;111,361309523809
"AT";21;3073,3058562271
"AT";22;1609,65737384348
"AT";22,1;5,25476190476191
"AT";22,2;141,42626984127
"AT";23;292,539810090703
"AT";23,1;132,342394179894
"AT";23,3;221,857936507937
"AT";23,42;40,0380952380952
"AT";23,5;607,535445011337
"AT";24;2076,97554082239
"AT";24,46;5,58333333333333
"AT";25,1;326,167803030303
"AT";25,2;233,2
"AT";25,3;48,0391156462585
"AT";25,4;360,904166666666
"AT";25,5;79,7724206349206
"AT";25,6;105,090079365079
"AT";25,7;1578,37384559885
"AT";25,9;505,048015873015
"AT";25,94;154,882936507936
"AT";26,1;2894,30172525887
"AT";26,11;58,1800396825396
"AT";26,2;1058,65700678464
"AT";26,3;3278,20283212158
"AT";26,4;659,806307118808
"AT";26,5;3211,25936630801
"AT";26,51;936,104948754949
"AT";26,52;113,887962962963
"AT";26,6;271,789285714286
"AT";26,7;952,101418951419
"AT";26,8;11,3675925925926
"AT";27,1;701,984702380952
"AT";27,12;329,195634920635
"AT";27,2;444,862163299664
"AT";27,3;144,611327561327
"AT";27,33;1174,70515873016
"AT";27,4;777,865674603174
"AT";27,5;2001,22797619048
"AT";27,9;1327,04645215895
"AT";28,1;3232,3168486606
"AT";28,11;577,211546092796
"AT";28,14;117,8125
"AT";28,21;255,794841269841
"AT";28,22;666,492252192253
"AT";28,23;1306,91035307285
"AT";28,25;353,82264739229
"AT";28,29;2711,33097041847
"AT";28,3;1630,55873015873
"AT";28,4;2968,26393647357
"AT";28,9;3532,98483830984
"AT";28,92;425,677159197012
"AT";28,94;390,159444444444
"AT";28,95;437,660773485773
"AT";28,99;398,413888888889
"AT";29,1;4452,63550407925
"AT";29,3;79,5297979797979
"AT";30;1927,96675893551
"AT";31;960,363888888889
