"";"MORc(mat_1st, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"LK";76,0711943333726;76,0711943333726;3;53;10,5598782937493
"LR";85,9542465584792;85,9542465584792;6;52,8333333333333;11,5920411921162
"LT";83,8105688166232;83,8105688166232;1;27;10,2592592592593
"LU";91,44300390274;91,44300390274;10;56,7;11,8274350246372
"LY";65,4557294943632;65,4557294943632;4;56;10,6140306122449
"MA";84,3698448745614;84,3698448745614;12;54,5833333333333;11,7732150094281
"MC";94,375913140828;94,375913140828;15;61,7333333333333;12,4545335606409
"MD";96,3314320683517;96,3314320683517;1;62;11,4516129032258
"MG";81,7175797505078;81,7175797505078;4;54,25;11,6345952585097
"ML";59,9295837518929;59,9295837518929;3;45,6666666666667;10,2529761904762
"MN";86,873320309745;86,873320309745;12;47,4166666666667;12,2110257204579
"MO";80,769134686767;80,769134686767;8;50,75;11,3243857209315
"MR";93,9845432504394;93,9845432504394;1;43;11,6279069767442
"MT";91,9451895413528;91,9451895413528;2;51,5;11,5639534883721
"MU";93,1464770854865;93,1464770854865;7;48,8571428571429;12,1072928595
"MW";92,1668090933106;92,1668090933106;2;50;12,1124422026061
"MX";94,2473036715499;94,2473036715499;16;60,625;12,4052019933555
"MY";94,6650913555394;94,6650913555394;10;64,1;12,3053629502225
"NC";81,4345486216477;81,4345486216477;2;44;11,0395081109367
"NG";92,7803919901305;92,7803919901305;12;52,6666666666667;12,2577495035705
"NL";92,3771603260219;92,3771603260219;16;55,1875;12,6962401628847
"NO";95,2081080313314;95,2081080313314;12;61,6666666666667;12,5245358389902
"NZ";95,6195057263457;95,6195057263457;15;65,0666666666667;12,4745032808849
"PA";93,795095371876;93,795095371876;9;66,3333333333333;12,1751177863726
"PC";65,6999708154075;65,6999708154075;1;17;12,0588235294118
"PE";87,0590157595012;87,0590157595012;13;55,5384615384615;11,9601282461213
"PH";93,8989615169799;93,8989615169799;12;63;12,2900036787009
"PK";82,1763311447815;82,1763311447815;11;45,6363636363636;11,8715757465269
"PL";90,2488782824002;90,2488782824002;16;53,625;12,0897513965833
"PR";79,002168343713;79,002168343713;10;51;11,5134257409257
"PT";93,1160832674086;93,1160832674086;13;62,0769230769231;12,3239641021672
"PY";85,3679194972393;85,3679194972393;7;46,1428571428571;12,0498814456426
