"";"MORc(Top4_2nd, RCA = F)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AD";46,2880931783869;46,2880931783869;4;1392114,5;1497376,07209676
"AE";30,0479816148056;30,0479816148056;33;951321,818181818;1518247,78572146
"AG";45,7800022768647;45,7800022768647;8;1021402,875;1532310,32084793
"AI";100;100;2;269495;1606436,68042821
"AL";0;0;1;1227024;1469491,01842588
"AM";39,908401038635;39,908401038635;59;1294330,37288136;1500700,31880264
"AN";12,2545047566348;12,2545047566348;22;1002440,22727273;1502502,75942788
"AO";0;0;1;1227024;1469491,01842588
"AR";42,4175652415016;42,4175652415016;134;1052082,65671642;1523292,55498985
"AT";29,5655268255429;29,5655268255429;4130;1147821,77384988;1503569,57552806
"AU";48,1510064986113;48,1510064986113;12415;1146743,96488119;1519905,72099236
"AW";39,7399451788053;39,7399451788053;4;815410,75;1546291,81351465
"AZ";4,23365646432331;4,23365646432331;144;1165269,64583333;1479383,21069735
"BA";11,0639323930745;11,0639323930745;2;897585;1511396,53059477
"BB";76,8200593749242;76,8200593749242;4;988012,75;1552565,24368179
"BD";92,5761863567739;92,5761863567739;5;1557205;1525261,12576764
"BE";46,0412646120759;46,0412646120759;3146;1258540,55435474;1508257,8150986
"BG";27,1111359697849;27,1111359697849;1643;1168583,48691418;1500435,09209061
"BH";65,6973235834222;65,6973235834222;12;715860,416666667;1564003,35940284
"BM";86,0433738611965;86,0433738611965;17;949369,117647059;1557055,22531342
"BN";22,127864786149;22,127864786149;1;568146;1553302,04276366
"BO";0;0;3;1227024;1469491,01842588
"BR";29,6073803586811;29,6073803586811;4642;990553,395088324;1518426,21096769
"BS";48,108662550666;48,108662550666;24;902901,833333333;1537686,95638837
"BY";18,2480770627869;18,2480770627869;389;1201897,76349614;1488850,56409359
"BZ";31,7919561430442;31,7919561430442;5;897733,4;1530931,6544969
"CA";54,7526474040543;54,7526474040543;27372;1178051,55268157;1520814,19618961
"CH";25,0721429729688;25,0721429729688;12709;1134355,30671178;1500068,45925735
"CL";30,5194817682463;30,5194817682463;45;1091480,33333333;1505796,69208749
"CM";51,8200593749242;51,8200593749242;4;1227395;1518328,82818121
"CN";50,0957066627677;50,0957066627677;47645;1308030,73445272;1508577,21588875
"CO";48,8141683159761;48,8141683159761;26;1038432,57692308;1531666,71085417
"CR";49,0540762766556;49,0540762766556;8;1309754,75;1507852,45013898
"CS";2,25029133418465;2,25029133418465;59;1160019,45762712;1478014,17344328
"CU";54,2604100052984;54,2604100052984;26;1392171,57692308;1504889,58128989
"CY";57,1223462652101;57,1223462652101;21;1137614,85714286;1524929,16247808
"CZ";25,2917934059029;25,2917934059029;1126;1086483,58525755;1504818,33124496
"DD";13,7149905713739;13,7149905713739;27;1275939,7037037;1477753,25655059
"DE";27,1422623863743;27,1422623863743;176526;1134077,22439187;1502800,48787807
"DK";34,0757341318236;34,0757341318236;2826;1099819,41719745;1511153,77347096
"DO";95,0507909045159;95,0507909045159;3;1127968,33333333;1552319,64398783
"DZ";33,3173804284967;33,3173804284967;9;1263875,66666667;1497393,390244
"EC";74,0540762766556;74,0540762766556;8;1070372,5;1542088,86563957
"EE";7,56168087529103;7,56168087529103;355;1149363,76901408;1483628,72178175
"EG";53,0449262656122;53,0449262656122;43;1320772,09302326;1508292,31457004
"ES";27,4061898091176;27,4061898091176;6026;1045582,58662463;1511496,33123708
"FI";46,5056884407653;46,5056884407653;9607;1178918,04361403;1514256,84079544
"FR";40,0997749479965;40,0997749479965;48461;1181950,27727451;1509863,72993808
"GA";22,127864786149;22,127864786149;1;568146;1553302,04276366
"GB";50,5491796494724;50,5491796494724;33415;1175429,78865779;1518386,32783627
"GE";11,5720232945967;11,5720232945967;16;1268296,625;1476462,2818436
"GI";0;0;1;1227024;1469491,01842588
"GR";32,155272549753;32,155272549753;687;1065403,54439592;1514048,53894618
"GT";66,6427373094118;66,6427373094118;6;1122713,33333333;1534168,85315345
"GY";0;0;1;1227024;1469491,01842588
"HK";49,9605722864614;49,9605722864614;1008;1231857,34027778;1513677,79129155
"HN";92,5761863567739;92,5761863567739;2;1557205;1525261,12576764
"HR";32,7997564990005;32,7997564990005;268;1031888,68656716;1516879,70731994
"HU";26,1845961948104;26,1845961948104;3084;1161270,58041505;1499976,98624558
"ID";34,4229117144398;34,4229117144398;23;775399,391304348;1534482,2200082
"IE";66,6324633779685;66,6324633779685;2149;1225820,52675663;1527744,96939537
"IL";64,3710051074082;64,3710051074082;11113;1319938,34302169;1518745,82600691
"IN";66,9005115919368;66,9005115919368;4263;1247833,99343186;1525489,63620962
"IO";92,5761863567739;92,5761863567739;1;1557205;1525261,12576764
"IR";65,2071944423139;65,2071944423139;36;1195087,38888889;1527257,80861633
"IS";54,3509815482672;54,3509815482672;115;1343082,4;1507965,66559881
"IT";38,5897092593727;38,5897092593727;15493;1151051,87594397;1512286,33550301
"JA";92,5761863567739;92,5761863567739;9;1557205;1525261,12576764
"JE";46,2880931783869;46,2880931783869;2;1392114,5;1497376,07209676
"JM";76,2014082379887;76,2014082379887;12;1095321,91666667;1545800,61412674
"JO";61,4560474999394;61,4560474999394;5;1035815;1535950,39863061
"JP";50,6371596255579;50,6371596255579;2213018;1183706,68877659;1517595,18747864
"KE";22,127864786149;22,127864786149;1;568146;1553302,04276366
"KG";7,16900319643268;7,16900319643268;16;1206480,4375;1478214,83915585
"KI";0;0;1;1227024;1469491,01842588
"KP";10,2862429285304;10,2862429285304;9;1263710,77777778;1475687,69701941
"KR";63,6522771988261;63,6522771988261;116022;1268126,85378635;1521580,49617356
"KW";16,3862930204176;16,3862930204176;7;1180067,28571429;1489431,18009439
"KY";41,4632263071158;41,4632263071158;20;1067108,2;1516547,04821234
