"";"Herfindahl";"Herfindahl_RCA";"Entropy";"Entropy_RCA";"Period"
"AB";1;1;0;0;"3rd"
"AD";0,0464699783202941;0,0666666666666667;4,617;3,907;"3rd"
"AE";0,0452355714107247;0,0714285714285714;4,761;3,807;"3rd"
"AF";0,12;0,111111111111111;3,122;3,17;"3rd"
"AG";0,102222222222222;0,0833333333333333;3,54;3,585;"3rd"
"AI";0,173469387755102;0,125;2,753;3;"3rd"
"AI_pat";0,331404183901343;0,142857142857143;2,597;2,807;"3rd"
"AL";0,0957763236168947;0,0714285714285714;3,672;3,807;"3rd"
"AM";0,0942818852402915;0,1;4,223;3,322;"3rd"
"AN";0,0551853394418992;0,0909090909090909;4,409;3,459;"3rd"
"AO";0,0816326530612245;0,0714285714285714;3,852;3,807;"3rd"
"AP";0,142857142857143;0,142857142857143;2,807;2,807;"3rd"
"AR";0,0471680631416397;0,0833333333333333;4,712;3,585;"3rd"
"AS";1;1;0;0;"3rd"
"AT";0,0397346561775757;0,0526315789473684;4,867;4,248;"3rd"
"AU";0,0477741772048116;0,0769230769230769;4,705;3,7;"3rd"
"AW";0,136741973840666;0,125;2,987;3;"3rd"
"AX";0,5;0,5;1;1;"3rd"
"AZ";0,2182;0,111111111111111;3,265;3,17;"3rd"
"BA";0,0632002298190175;0,0833333333333333;4,3;3,585;"3rd"
"BB";0,0811114958448753;0,0714285714285714;4,142;3,807;"3rd"
"BC";0,5;0,5;1;1;"3rd"
"BD";0,0647788506615853;0,0833333333333333;4,349;3,585;"3rd"
"BE";0,0353964203037219;0,0625;4,949;4;"3rd"
"BF";0,17;0,125;2,771;3;"3rd"
"BG";0,0567328490919954;0,0909090909090909;4,678;3,459;"3rd"
"BH";0,053076872232137;0,0666666666666667;4,428;3,907;"3rd"
"BI";0,448979591836735;0,2;1,627;2,322;"3rd"
"BJ";0,111342351716961;0,0833333333333333;3,424;3,585;"3rd"
"BL";0,555555555555556;0,5;0,918;1;"3rd"
"BM";0,0813078703703704;0,0909090909090909;3,933;3,459;"3rd"
"BN";0,0917308099710472;0,0833333333333333;3,753;3,585;"3rd"
"BO";0,0973291081937528;0,0833333333333333;3,725;3,585;"3rd"
"BQ";0,5;0,5;1;1;"3rd"
"BR";0,037882031606219;0,0555555555555556;4,888;4,17;"3rd"
"BS";0,0686102308736985;0,0833333333333333;4,254;3,585;"3rd"
"BT";0,36;0,25;1,685;2;"3rd"
"BU";0,333333333333333;0,333333333333333;1,585;1,585;"3rd"
"BW";0,14878892733564;0,111111111111111;3,052;3,17;"3rd"
"BY";0,0447530738365676;0,0666666666666667;4,729;3,907;"3rd"
"BZ";0,0742022299115725;0,1;4,075;3,322;"3rd"
"CA";0,0518823248649711;0,0714285714285714;4,711;3,807;"3rd"
"CD";0,28;0,25;1,922;2;"3rd"
"CF";1;1;0;0;"3rd"
"CG";0,0864197530864197;0,0769230769230769;3,684;3,7;"3rd"
"CH";0,0433566683419384;0,0666666666666667;4,835;3,907;"3rd"
"CI";0,0847750865051903;0,0666666666666667;3,76;3,907;"3rd"
"CK";0,5;0,5;1;1;"3rd"
"CL";0,0486372136757565;0,0625;4,67;4;"3rd"
"CM";0,118457300275482;0,111111111111111;3,664;3,17;"3rd"
"CN";0,0386623405449705;0,0555555555555556;4,884;4,17;"3rd"
"CO";0,0490695176168059;0,0714285714285714;4,703;3,807;"3rd"
"CR";0,0786690730714054;0,0909090909090909;4,293;3,459;"3rd"
"CS";0,112534626038781;0,142857142857143;3,591;2,807;"3rd"
"CT";0,28;0,25;1,922;2;"3rd"
"CU";0,166371191135734;0,125;3,66;3;"3rd"
"CV";0,1875;0,166666666666667;2,5;2,585;"3rd"
"CW";0,28;0,25;1,922;2;"3rd"
"CX";1;1;0;0;"3rd"
"CY";0,0438687997662357;0,0666666666666667;4,763;3,907;"3rd"
"CZ";0,0382040528067499;0,0588235294117647;4,887;4,087;"3rd"
"DD";0,0699588477366255;0,0833333333333333;4,129;3,585;"3rd"
"DE";0,0467304333333718;0,0769230769230769;4,757;3,7;"3rd"
"DJ";0,135802469135802;0,125;2,948;3;"3rd"
"DK";0,0425576090486848;0,0625;4,783;4;"3rd"
"DM";0,34375;0,25;1,75;2;"3rd"
"DO";0,0758114329001806;0,0714285714285714;4,086;3,807;"3rd"
"DZ";0,0569444444444444;0,0714285714285714;4,453;3,807;"3rd"
"EA";1;1;0;0;"3rd"
"EC";0,0698845631507469;0,0909090909090909;4,386;3,459;"3rd"
"EE";0,0426197558686569;0,0714285714285714;4,803;3,807;"3rd"
"EG";0,0855373372501203;0,0909090909090909;4,317;3,459;"3rd"
"EP";0,218934911242604;0,142857142857143;2,47;2,807;"3rd"
"ER";0,555555555555556;0,5;0,918;1;"3rd"
"ES";0,0371086341900781;0,0588235294117647;4,916;4,087;"3rd"
"ET";0,0891632373113855;0,0769230769230769;3,855;3,7;"3rd"
"FI";0,0547842156007462;0,111111111111111;4,656;3,17;"3rd"
"FJ";0,166666666666667;0,166666666666667;2,585;2,585;"3rd"
"FK";1;1;0;0;"3rd"
"FL";0,111111111111111;0,1;3,252;3,322;"3rd"
"FM";1;1;0;0;"3rd"
"FO";0,134814814814815;0,125;3,361;3;"3rd"
"FR";0,0411670999971746;0,0769230769230769;4,859;3,7;"3rd"
"GA";0,0504017531044558;0,0588235294117647;4,412;4,087;"3rd"
"GB";0,0448477207997516;0,0555555555555556;4,787;4,17;"3rd"
"GD";0,135802469135802;0,1;3,17;3,322;"3rd"
"GE";0,0492815939681146;0,0769230769230769;4,614;3,7;"3rd"
"GF";0,34;0,25;1,722;2;"3rd"
"GG";0,25;0,25;2;2;"3rd"
"GH";0,168921262573708;0,125;3,446;3;"3rd"
"GI";0,1486;0,142857142857143;3,18;2,807;"3rd"
"GL";0,222222222222222;0,2;2,252;2,322;"3rd"
"GM";1;1;0;0;"3rd"
"GN";0,26530612244898;0,2;2,128;2,322;"3rd"
"GP";0,24;0,166666666666667;2,322;2,585;"3rd"
"GQ";0,234567901234568;0,2;2,197;2,322;"3rd"
"GR";0,0379191544168264;0,0625;4,893;4;"3rd"
"GT";0,0602551984877127;0,0714285714285714;4,325;3,807;"3rd"
"GU";1;1;0;0;"3rd"
"GY";0,5;0,5;1;1;"3rd"
"HA";1;1;0;0;"3rd"
"HK";0,0541650006402495;0,0666666666666667;4,671;3,907;"3rd"
"HN";0,0740740740740741;0,0588235294117647;4,039;4,087;"3rd"
"HR";0,0444409567320613;0,0666666666666667;4,723;3,907;"3rd"
"HT";0,5;0,5;1;1;"3rd"
"HU";0,051751389399677;0,0833333333333333;4,659;3,585;"3rd"
"IB";0,5;0,5;1;1;"3rd"
"ID";0,0398192002459766;0,0526315789473684;4,82;4,248;"3rd"
"IE";0,0725362689819941;0,1;4,422;3,322;"3rd"
"IL";0,113766192902893;0,1;4,027;3,322;"3rd"
"IM";0,10803324099723;0,0833333333333333;3,638;3,585;"3rd"
"IN";0,100431651261767;0,111111111111111;4,109;3,17;"3rd"
"IO";1;1;0;0;"3rd"
"IQ";0,0588235294117647;0,0769230769230769;4,272;3,7;"3rd"
"IR";0,0421501879448365;0,0714285714285714;4,812;3,807;"3rd"
"IS";0,141092061457388;0,1;3,881;3,322;"3rd"
"IT";0,0366657498793795;0,0714285714285714;4,919;3,807;"3rd"
"JE";0,0693122837370242;0,0769230769230769;4,231;3,7;"3rd"
"JM";0,059265306122449;0,0666666666666667;4,532;3,907;"3rd"
"JO";0,0667305922721683;0,1;4,438;3,322;"3rd"
"JP";0,0414756491863089;0,0666666666666667;4,825;3,907;"3rd"
"KE";0,0753682266564569;0,0909090909090909;4,178;3,459;"3rd"
"KG";0,0963950205932713;0,0909090909090909;3,82;3,459;"3rd"
