"";"MORc(Surrounding_3rd, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"PK";37,5396793760087;37,5396793760087;4;85,75;2,82215776567589
"PL";47,8153592197437;47,8153592197437;4;91;2,82534935568585
"PR";13,0768662346871;13,0768662346871;2;112;2,66234583438208
"PS";43,6983471245889;43,6983471245889;1;89;2,93258426966292
"PT";28,896848868072;28,896848868072;5;95,4;2,86901324011987
"PY";34,9260397969816;34,9260397969816;2;113;2,78381038300664
"QA";16,7195725013449;16,7195725013449;3;99,6666666666667;2,77045277847694
"RE";75,3135898558683;75,3135898558683;2;66,5;3,03919816138917
"RI";43,6983471245889;43,6983471245889;1;89;2,93258426966292
"RO";48,4679550213247;48,4679550213247;2;93;2,63384477878743
"RS";63,0768662346871;63,0768662346871;2;90,5;2,80615461181155
"RU";26,1537324693743;26,1537324693743;1;137;2,63503649635036
"SA";16,7195725013449;16,7195725013449;3;99,6666666666667;2,77045277847694
"SB";85,3910887866375;85,3910887866375;2;46,5;2,80496289424861
"SC";38,3904560905554;38,3904560905554;2;113;2,86808004592799
"SD";43,6580411865992;43,6580411865992;4;73,75;2,9386795404647
"SE";16,7195725013449;16,7195725013449;3;99,6666666666667;2,77045277847694
"SG";100;100;1;44;2,97727272727273
"SI";47,8153592197437;47,8153592197437;4;91;2,82534935568585
"SJ";100;100;1;44;2,97727272727273
"SK";57,240262348932;57,240262348932;2;69;2,78261866544371
"SL";73,8031190950039;73,8031190950039;3;60,6666666666667;2,90368312800094
"SM";47,1627634181628;47,1627634181628;2;89;3,01685393258427
"SN";64,9290542026451;64,9290542026451;3;56;2,86553081838796
"SO";100;100;1;44;2,97727272727273
"SP";50,6271797117366;50,6271797117366;1;89;3,10112359550562
"SR";42,0512441564581;42,0512441564581;3;89,3333333333333;2,76732146534563
"SU";31,2856882095412;31,2856882095412;3;100,333333333333;2,85142914422665
"SV";49,1876965847953;49,1876965847953;3;91,6666666666667;2,78960438436016
"SX";26,1537324693743;26,1537324693743;1;137;2,63503649635036
"SY";23,4642661571559;23,4642661571559;4;97;2,81098565127344
