"";"MORc(mat_1st, RCA = F)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"LB";27,4748771985992;27,4748771985992;23;435256,956521739;5467969,22110276
"LI";45,2952591649353;45,2952591649353;1375;445850,189818182;6074594,66802549
"LK";37,8571078596486;37,8571078596486;4;448601,25;5834408,78067628
"LR";44,8491649806911;44,8491649806911;6;485130,166666667;6046650,2437493
"LT";77,3819285788378;77,3819285788378;2;397640;7161673,7744241
"LU";53,1129459885984;53,1129459885984;2602;501016,798616449;6328371,25716412
"LY";42,2248740268584;42,2248740268584;4;553900,5;5944300,67893025
"MA";51,0394381959741;51,0394381959741;114;516336,763157895;6255629,92152491
"MC";37,4646759088061;37,4646759088061;211;420270,350710901;5804127,00922671
"MD";32,9691586160166;32,9691586160166;3;511762;5618275,13425577
"MG";31,6881871885715;31,6881871885715;5;459947;5603050,76804362
"ML";52,3932059783821;52,3932059783821;3;613047,333333333;6336818,73961758
"MN";46,2239051647067;46,2239051647067;16;425176,125;6097022,45703537
"MO";54,6337567910671;54,6337567910671;13;491357,692307692;6396508,48390896
"MR";55,7204402458304;55,7204402458304;1;517064;6396655,27027602
"MT";43,0566637726281;43,0566637726281;2;455637;5993500,54183875
"MU";46,4615310971949;46,4615310971949;22;408750,5;6077825,30246231
"MW";44,5942698469377;44,5942698469377;2;403118;6063160,62339297
"MX";39,3197563767977;39,3197563767977;3903;444826,243402511;5863955,29172758
"MY";40,8645455329446;40,8645455329446;99;445072,707070707;5924707,94212715
"NC";66,9539063541898;66,9539063541898;5;538511,6;6790371,42350854
"NG";45,180733225603;45,180733225603;34;400072,529411765;6064503,79138196
"NL";48,086888198868;48,086888198868;22750;474117,244;6162582,41499426
"NO";38,7426716282735;38,7426716282735;14666;441960,76871676;5855614,46511655
"NZ";33,8679735687247;33,8679735687247;13647;418971,381255954;5680874,97534373
"PA";29,5016826737541;29,5016826737541;139;452885,870503597;5536221,76021534
"PC";78,9654013635942;78,9654013635942;1;206852;7210572,99731692
"PE";35,0935624773898;35,0935624773898;51;390629,176470588;5710402,48971267
"PH";36,4998684576916;36,4998684576916;114;409582,175438596;5764853,61609696
"PK";55,2824503938906;55,2824503938906;17;456273,294117647;6408346,74642414
"PL";48,0704841639058;48,0704841639058;115965;489745,691010219;6159987,48470253
"PR";36,7540100907167;36,7540100907167;20;464766,2;5804182,99653139
"PT";37,0657255023531;37,0657255023531;272;440858,345588235;5788467,24649185
"PY";49,9106435916423;49,9106435916423;23;346558,695652174;6219346,75525863
"QA";30,3928872994258;30,3928872994258;1;394210;5590345,81340149
"RH";37,7740683378851;37,7740683378851;5;445567;5843613,45581835
"RO";44,8879982203708;44,8879982203708;74211;488259,424398;6044310,06141258
"RU";50,8965591423345;50,8965591423345;6678;520246,294998503;6250110,74905733
"SA";45,1360527710996;45,1360527710996;118;411454,711864407;6061764,95086339
"SC";43,2203855506119;43,2203855506119;220;455598,7;6004008,20530162
"SD";8,61345940497004;8,61345940497004;1;560560;4806019,51936456
"SE";42,8079166353645;42,8079166353645;79371;442972,478298119;5987170,51795416
"SG";52,3909952381588;52,3909952381588;211;522978,308056872;6323562,04121453
"SI";37,1313189532739;37,1313189532739;7;464124,285714286;5784690,24287576
"SK";35,1745635640332;35,1745635640332;23;431984,391304348;5709754,27127119
"SL";42,106458887621;42,106458887621;13;508739,230769231;5944569,97351808
"SM";34,5126663865141;34,5126663865141;14;442485,428571429;5717804,92087006
"SN";53,2006434525968;53,2006434525968;11;341820,272727273;6337410,45077059
"SR";69,4432483631078;69,4432483631078;1;614820;6847029,19135357
"ST";48,5436610998966;48,5436610998966;604;492165,697019868;6168908,46580651
