"";"MORc(Top3_3rd, RCA = F)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"NL";67,524712563685;67,524712563685;7532;1569254,00584174;809352,433352349
"NO";71,42579327021;71,42579327021;1735;1674352,20172911;818479,983510208
"NP";33,2512879920886;33,2512879920886;22;963126,909090909;791600,544468605
"NY";100;100;3;2347586;866327,113471029
"NZ";46,3085896430551;46,3085896430551;1097;1272931,19143118;813890,48716956
"OM";100;100;1;2347586;866327,113471029
"ON";100;100;2;2347586;866327,113471029
"OR";0;0;1;458021;790703,994995863
"PA";80,1372420931661;80,1372420931661;28;1939999,92857143;844955,318768605
"PE";30,4803473260812;30,4803473260812;8;921034,75;791525,832012543
"PF";50;50;4;1402803,5;828515,554233446
"PH";87,1730793515274;87,1730793515274;129;1986152,66666667;833192,454267222
"PK";85,7065765545154;85,7065765545154;191;2016010,58115183;843414,584987783
"PL";36,3754267386345;36,3754267386345;5577;1052371,99964138;799909,807637332
"PO";100;100;1;2347586;866327,113471029
"PR";40,6404631014416;40,6404631014416;12;1075372,66666667;791799,77768477
"PT";68,0753929594972;68,0753929594972;1021;1637279,87365328;821110,249278148
"PY";0;0;1;458021;790703,994995863
"QA";87,3399842931585;87,3399842931585;70;1927675,21428571;821187,851348687
"RE";0;0;1;458021;790703,994995863
"RO";49,849462829391;49,849462829391;1431;1249698,37596087;798826,044218054
"RS";83,5747078631306;83,5747078631306;230;1891880,56521739;825298,872567186
"RU";22,2463843034758;22,2463843034758;51254;713814,574452726;775135,958703446
"SA";56,331698826433;56,331698826433;988;1404483,46963563;810085,503570968
"SC";66,6666666666667;66,6666666666667;3;1717731;841119,40731264
"SD";64,6142595362165;64,6142595362165;6;1377796,83333333;780291,707294482
"SE";90,6609378245862;90,6609378245862;23336;2115871,76598389;848390,486111219
"SG";65,6108430788836;65,6108430788836;2035;1342168,88206388;770326,228109
"SI";67,9576626668247;67,9576626668247;347;1565078,72334294;807247,792201441
"SK";69,2362364268691;69,2362364268691;253;1602019,63636364;810730,447509988
"SM";71,9213893043247;71,9213893043247;2;1365293,5;756179,783825
"SN";0;0;2;458021;790703,994995863
"SR";100;100;8;2347586;866327,113471029
"SU";0;0;1;458021;790703,994995863
"SV";0;0;1;458021;790703,994995863
"SY";42,8571428571429;42,8571428571429;7;1267834,57142857;823113,902913791
"SZ";82,3071297681082;82,3071297681082;12;1862691,41666667;823309,410382756
"TG";100;100;3;2347586;866327,113471029
"TH";67,3883232692389;67,3883232692389;109;1590460,90825688;813930,688807549
"TJ";0;0;2;458021;790703,994995863
"TM";100;100;1;2347586;866327,113471029
"TN";41,5380038791389;41,5380038791389;59;1120405,83050847;798004,218071174
"TO";100;100;2;2347586;866327,113471029
"TR";85,4346392222633;85,4346392222633;1712;1992150,49766355;839523,97115659
"TT";50;50;2;1402803,5;828515,554233446
"TW";70,5646443392012;70,5646443392012;20486;1464683,90930391;779762,724738035
"TZ";100;100;3;2347586;866327,113471029
"UA";72,5340072754193;72,5340072754193;451;1686368,71618625;817561,564110386
"UG";16,6666666666667;16,6666666666667;6;772948,5;803307,848075057
"UK";100;100;20;2347586;866327,11347103
"US";81,5675518106843;81,5675518106843;628940;1879749,30035456;828858,255981961
"UY";42,7282144637582;42,7282144637582;42;1071800,28571429;784910,656693489
"UZ";72,1921389304325;72,1921389304325;40;1776965,5;836406,600887635
"VA";100;100;2;2347586;866327,113471029
"VE";56,25;56,25;16;1520901,3125;833241,999138144
"VG";99,3618497569165;99,3618497569165;88;2325261,17045455;863823,765069983
"VN";74,2102009233389;74,2102009233389;249;1729650,57831325;821114,161874959
"WA";100;100;1;2347586;866327,113471029
"WF";100;100;1;2347586;866327,113471029
"WS";100;100;19;2347586;866327,113471029
"XK";100;100;1;2347586;866327,113471029
"XN";100;100;1;2347586;866327,113471029
"YE";0;0;2;458021;790703,994995863
"YS";100;100;1;2347586;866327,113471029
"YU";40;40;5;1213847;820953,242385929
"ZA";88,9599414094226;88,9599414094226;739;2087630,19485792;847871,745999005
"ZW";0;0;1;458021;790703,994995863
