"";"MORc(Surrounding_3rd, RCA = F)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"HK";72,5315086357324;72,5315086357324;8102;2623405,03529993;3360562,29541891
"HN";58,177768719437;58,177768719437;12;1478770,58333333;3305318,18249987
"HR";58,5112800961907;58,5112800961907;1058;2198198,1389414;3305975,87986855
"HU";53,1139011536953;53,1139011536953;5286;2459085,10839955;3328092,47890028
"ID";63,5812046849419;63,5812046849419;309;2011851,37864078;3267405,23891266
"IE";41,1476104014189;41,1476104014189;11989;2089865,79497873;3190233,31268235
"IL";41,5162976953345;41,5162976953345;47041;2088443,69581854;3213575,76039294
"IM";77,8977693500347;77,8977693500347;6;2518095,16666667;3407593,15723024
"IN";48,2873185278693;48,2873185278693;48539;2274975,54939327;3324220,59679133
"IQ";41,034750221071;41,034750221071;18;2200854,33333333;3259531,04434304
"IR";40,9889219741615;40,9889219741615;622;2158794,54662379;3165411,65715321
"IS";18,8451758942438;18,8451758942438;668;1821723,93113772;2993904,48240239
"IT";57,2949914333517;57,2949914333517;37966;2034805,43085919;3323962,50698696
"JE";74,9184369302558;74,9184369302558;30;2357582,13333333;3340849,50951032
"JM";67,8787574514428;67,8787574514428;40;2530490,175;3354628,34346087
"JO";40,5539854056692;40,5539854056692;175;2074570,12571429;3212501,11229416
"JP";74,3817773084201;74,3817773084201;3313233;2434218,14261206;3326650,67772754
"KE";51,3825629343238;51,3825629343238;137;2182001,75182482;3400497,84428596
"KG";49,5477195701086;49,5477195701086;15;2783081,26666667;3254006,27873986
"KH";42,6236183787603;42,6236183787603;10;2095750,8;3281119,92132323
"KN";56,3191951731704;56,3191951731704;5;1977778,8;3240704,79739185
"KP";66,4278609102649;66,4278609102649;48;2357812,25;3313631,49852423
"KR";67,3868895152974;67,3868895152974;1486526;2373391,0880664;3321450,10743952
"KW";46,4343281914114;46,4343281914114;310;1839829,6;3193198,42938331
"KY";46,1819494221047;46,1819494221047;593;2514144,7470489;3414132,7072927
"KZ";45,863288595667;45,863288595667;442;2524558,58371041;3228642,43151562
"LA";24,1503179574768;24,1503179574768;8;2048977,625;2972172,95543324
"LB";54,0990429508737;54,0990429508737;218;1977319,64678899;3265407,88769105
"LI";31,7752411806253;31,7752411806253;351;2055864,58119658;3115801,51491397
"LK";53,021379387962;53,021379387962;191;1707728,10994764;3228487,44258358
"LN";0;0;1;1755945;2848430,47980603
"LR";79,0218891095745;79,0218891095745;2;2753810,5;3356026,8540749
"LT";44,3095104215146;44,3095104215146;712;2159211,70224719;3184348,20504869
"LU";58,519335875865;58,519335875865;699;2171561,98569385;3320893,27129358
"LV";54,6708979927123;54,6708979927123;1086;2499126,64456722;3263612,24351988
"LY";78,5418227408852;78,5418227408852;3;2301001;3447933,48363017
"MA";54,3572285187491;54,3572285187491;74;2321982,68918919;3294737,75893437
"MC";51,3669113104103;51,3669113104103;115;1911358,8;3287960,51206655
"MD";63,143406505546;63,143406505546;33;2169896,06060606;3273418,30416994
"ME";53,8857721820037;53,8857721820037;19;2561388,36842105;3395111,00588728
"MG";39,5246373624052;39,5246373624052;11;2273100,45454545;3194412,38552331
"MH";39,9406928874031;39,9406928874031;9;2076399,66666667;3263063,11005204
"MK";49,6563338132349;49,6563338132349;45;1993893,6;3241366,0749928
"ML";77,5361516968836;77,5361516968836;15;2837577,06666667;3385531,67645993
"MM";37,2704306005489;37,2704306005489;8;2136995,25;3422525,94243546
"MN";53,8036299595945;53,8036299595945;49;1941075,36734694;3220903,2577659
"MO";54,2747851031868;54,2747851031868;84;2294229,08333333;3370713,91078707
"MQ";25,9567533735918;25,9567533735918;1;2347586;3438537,84123436
"MT";68,8678668354924;68,8678668354924;156;2299939,90384615;3384008,23961626
"MU";57,0107826332876;57,0107826332876;22;2273405,13636364;3319167,52235796
"MV";45,3989939664631;45,3989939664631;2;1981325;3277885,79528561
"MW";0;0;1;1755945;2848430,47980603
"MX";59,258495598132;59,258495598132;4843;2215207,21205864;3293615,33157651
"MY";73,1965173033981;73,1965173033981;3593;2440482,18786529;3297052,3670765
"MZ";0;0;1;1755945;2848430,47980603
"NC";42,603849385979;42,603849385979;9;2731100,55555556;3359496,91122092
"NE";57,9511071168053;57,9511071168053;30;2226533,96666667;3290711,10837391
"NG";50,0867502984752;50,0867502984752;46;2208427,41304348;3292088,66498449
"NI";40,3606265973104;40,3606265973104;8;2013757,375;3039373,77281595
"NJ";34,5128144590328;34,5128144590328;3;1832971;3306238,3545937
"NL";55,2108107847909;55,2108107847909;36118;2151638,76167008;3276224,29813081
"NO";60,6949642124964;60,6949642124964;6716;2233791,5567302;3326821,57655138
"NP";55,4688682455937;55,4688682455937;38;2336478,13157895;3221830,13108272
