"techn_field_nr";"x";"y";"CN_1st";"CN_2nd";"CN_3rd";"JP_1st";"JP_2nd";"JP_3rd";"US_1st";"US_2nd";"US_3rd";"KR_1st";"KR_2nd";"KR_3rd";"distance_6";"distance_cluster";"CN_d6_1st";"CN_d6_2nd";"CN_d6_3rd";"JP_d6_1st";"JP_d6_2nd";"JP_d6_3rd";"US_d6_1st";"US_d6_2nd";"US_d6_3rd";"KR_d6_1st";"KR_d6_2nd";"KR_d6_3rd";"CN_dcl_1st";"CN_dcl_2nd";"CN_dcl_3rd";"JP_dcl_1st";"JP_dcl_2nd";"JP_dcl_3rd";"US_dcl_1st";"US_dcl_2nd";"US_dcl_3rd";"KR_dcl_1st";"KR_dcl_2nd";"KR_dcl_3rd"
"18";81,663762522732;101,642058875813;0;0;0;0;0;1;1;0;0;0;0;0;8,14795939232822;4,91015340470477;0;0;0;0;0;8,14795939232822;8,14795939232822;0;0;0;0;0;0;0;0;0;0;4,91015340470477;4,91015340470477;0;0;0;0;0
"19";82,1061426927081;104,715736669245;0;0;0;0;0;1;1;0;0;0;1;1;7,10453441195426;5,04680937545745;0;0;0;0;0;7,10453441195426;7,10453441195426;0;0;0;7,10453441195426;7,10453441195426;0;0;0;0;0;5,04680937545745;5,04680937545745;0;0;0;5,04680937545745;5,04680937545745
"20";83,6327413824806;105,870629220633;1;0;0;0;0;1;1;1;1;0;0;0;8,38624785786969;6,83241506004251;8,38624785786969;0;0;0;0;8,38624785786969;8,38624785786969;8,38624785786969;8,38624785786969;0;0;0;6,83241506004251;0;0;0;0;6,83241506004251;6,83241506004251;6,83241506004251;6,83241506004251;0;0;0
"21";77,5468084292898;101,121924584695;1;1;0;0;0;0;1;1;1;1;1;1;6,03339732318732;2,54047130435762;6,03339732318732;6,03339732318732;0;0;0;0;6,03339732318732;6,03339732318732;6,03339732318732;6,03339732318732;6,03339732318732;6,03339732318732;2,54047130435762;2,54047130435762;0;0;0;0;2,54047130435762;2,54047130435762;2,54047130435762;2,54047130435762;2,54047130435762;2,54047130435762
"22";78,9220262668871;104,826598581996;1;0;0;0;0;0;1;0;0;0;0;1;4,0951720787235;2,11345783694295;4,0951720787235;0;0;0;0;0;4,0951720787235;0;0;0;0;4,0951720787235;2,11345783694295;0;0;0;0;0;2,11345783694295;0;0;0;0;2,11345783694295
"23";78,4512669789879;96,9830449343758;0;1;0;0;0;0;1;1;1;0;0;0;10,2347013320421;6,77326447181438;0;10,2347013320421;0;0;0;0;10,2347013320421;10,2347013320421;10,2347013320421;0;0;0;0;6,77326447181438;0;0;0;0;6,77326447181438;6,77326447181438;6,77326447181438;0;0;0
"24";84,1054638317418;105,002983079918;0;0;1;1;0;0;0;1;1;1;1;1;8,98123006405063;7,06280948117606;0;0;8,98123006405063;8,98123006405063;0;0;0;8,98123006405063;8,98123006405063;8,98123006405063;8,98123006405063;8,98123006405063;0;0;7,06280948117606;7,06280948117606;0;0;0;7,06280948117606;7,06280948117606;7,06280948117606;7,06280948117606;7,06280948117606
"25";84,7614473665999;103,720376695676;0;0;0;1;1;1;0;1;1;1;1;0;9,93485631616292;7,58557082552923;0;0;0;9,93485631616292;9,93485631616292;9,93485631616292;0;9,93485631616292;9,93485631616292;9,93485631616292;9,93485631616292;0;0;0;0;7,58557082552923;7,58557082552923;7,58557082552923;0;7,58557082552923;7,58557082552923;7,58557082552923;7,58557082552923;0
"26";83,8742317472389;102,1413712966;0;0;0;1;1;0;0;1;1;0;1;0;9,72819210077948;6,86244913193635;0;0;0;9,72819210077948;9,72819210077948;0;0;9,72819210077948;9,72819210077948;0;9,72819210077948;0;0;0;0;6,86244913193635;6,86244913193635;0;0;6,86244913193635;6,86244913193635;0;6,86244913193635;0
"27";84,0022956915666;100,065032979318;0;0;0;1;1;0;0;1;1;0;1;1;10,9620037108627;7,70323693591734;0;0;0;10,9620037108627;10,9620037108627;0;0;10,9620037108627;10,9620037108627;0;10,9620037108627;10,9620037108627;0;0;0;7,70323693591734;7,70323693591734;0;0;7,70323693591734;7,70323693591734;0;7,70323693591734;7,70323693591734
"28";82,0749662596762;100,056967792141;0;0;0;1;1;1;0;0;1;1;1;1;9,50799329722999;6,0663363267489;0;0;0;9,50799329722999;9,50799329722999;9,50799329722999;0;0;9,50799329722999;9,50799329722999;9,50799329722999;9,50799329722999;0;0;0;6,0663363267489;6,0663363267489;6,0663363267489;0;0;6,0663363267489;6,0663363267489;6,0663363267489;6,0663363267489
"29";82,6630429810355;103,574726350578;0;0;0;1;1;1;0;0;0;0;0;1;8,01536725211948;5,48702237340952;0;0;0;8,01536725211948;8,01536725211948;8,01536725211948;0;0;0;0;0;8,01536725211948;0;0;0;5,48702237340952;5,48702237340952;5,48702237340952;0;0;0;0;0;5,48702237340952
"30";79,1328286240233;95,3663181573514;0;0;1;1;1;0;0;1;1;0;0;0;11,9838256843109;8,4972273556615;0;0;11,9838256843109;11,9838256843109;11,9838256843109;0;0;11,9838256843109;11,9838256843109;0;0;0;0;0;8,4972273556615;8,4972273556615;8,4972273556615;0;0;8,4972273556615;8,4972273556615;0;0;0
"31";80,6985259611129;96,455374407048;1;1;0;0;0;0;1;1;1;0;0;0;11,6000804182051;7,99726040333023;11,6000804182051;11,6000804182051;0;0;0;0;11,6000804182051;11,6000804182051;11,6000804182051;0;0;0;7,99726040333023;7,99726040333023;0;0;0;0;7,99726040333023;7,99726040333023;7,99726040333023;0;0;0
"32";79,8626074577155;97,4613329184585;0;1;1;0;0;0;1;1;0;1;0;0;10,323932903391;6,73298551820388;0;10,323932903391;10,323932903391;0;0;0;10,323932903391;10,323932903391;0;10,323932903391;0;0;0;6,73298551820388;6,73298551820388;0;0;0;6,73298551820388;6,73298551820388;0;6,73298551820388;0;0
"33";80,886173060859;94,4422345529342;1;1;1;0;0;0;1;1;1;1;0;0;13,4906004387543;9,91333033132984;13,4906004387543;13,4906004387543;13,4906004387543;0;0;0;13,4906004387543;13,4906004387543;13,4906004387543;13,4906004387543;0;0;9,91333033132984;9,91333033132984;9,91333033132984;0;0;0;9,91333033132984;9,91333033132984;9,91333033132984;9,91333033132984;0;0
"34";79,2894386195373;102,276549706958;1;1;1;0;0;0;1;1;0;1;0;0;5,97655043886854;2,51220354688899;5,97655043886854;5,97655043886854;5,97655043886854;0;0;0;5,97655043886854;5,97655043886854;0;5,97655043886854;0;0;2,51220354688899;2,51220354688899;2,51220354688899;0;0;0;2,51220354688899;2,51220354688899;0;2,51220354688899;0;0
"35";78,1138370628268;100,409152108537;0;1;1;0;1;1;1;0;0;1;0;0;6,91141804321541;3,3595419168894;0;6,91141804321541;6,91141804321541;0;6,91141804321541;6,91141804321541;6,91141804321541;0;0;6,91141804321541;0;0;0;3,3595419168894;3,3595419168894;0;3,3595419168894;3,3595419168894;3,3595419168894;0;0;3,3595419168894;0;0
