"";"MORc(Top4_1st, RCA = F)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AE";8,45625750730427;8,45625750730427;2;457345,5;745453,586050141
"AR";13,300371621514;13,300371621514;34;532733,411764706;753018,639756792
"AT";13,9458283287382;13,9458283287382;1471;550064,175390891;754098,344894389
"AU";19,6579079337869;19,6579079337869;4671;513208,541853993;762543,085285351
"AZ";0;0;1;655336;733549,075387282
"BA";16,9125150146085;16,9125150146085;1;259355;757358,096713
"BB";0;0;1;655336;733549,075387282
"BE";19,7282597186536;19,7282597186536;789;529758,618504436;762661,69676724
"BG";25,9895270093289;25,9895270093289;6818;531721,173511294;772051,416966121
"BO";5,63750500486951;5,63750500486951;3;523342,333333333;741485,415829188
"BR";24,2249795079946;24,2249795079946;3042;458317,961867193;769167,661679305
"BU";50;50;2;554559,5;808163,074825927
"CA";25,2308519505938;25,2308519505938;10604;524924,477649943;770961,23522773
"CH";12,3289383422651;12,3289383422651;7251;548243,113363674;751647,386904802
"CI";0;0;1;655336;733549,075387282
"CL";46,7650060058434;46,7650060058434;5;416322,4;802763,883468485
"CM";0;0;1;655336;733549,075387282
"CN";20,3528223302672;20,3528223302672;3125;558148,43296;763699,375138
"CO";22,3861211208501;22,3861211208501;9;368953,888888889;766002,645035237
"CR";10,6284104558735;10,6284104558735;11;601014,727272727;749279,713587556
"CS";1,83388717025876;1,83388717025876;83;612398,301204819;736130,77649489
"CU";16,9125150146085;16,9125150146085;1;259355;757358,096713
"CY";50;50;2;554559,5;808163,074825927
"CZ";0,939584167478252;0,939584167478252;36;633337,055555556;734871,798794266
"DD";15,9798191352317;15,9798191352317;340;551813,923529412;757113,805918301
"DE";17,1501645518316;17,1501645518316;80007;539353,446098466;758846,325778267
"DK";14,6725530244429;14,6725530244429;1598;514052,056946183;755020,398043309
"EG";40;40;5;574714,8;793240,274938198
"ES";23,693941341335;23,693941341335;417;434475,474820144;768331,598819681
"ET";100;100;2;453783;882777,074264571
"FI";11,303042870757;11,303042870757;2202;563677,504087193;750148,468282708
"FR";25,728430610841;25,728430610841;13312;528947,049579327;771711,769049292
"GB";22,6601115677122;22,6601115677122;12991;514377,206681549;767051,878617048
"GR";46,1255046104956;46,1255046104956;63;492903,650793651;802250,085636316
"GT";4,22812875365213;4,22812875365213;4;556340,75;739501,330718711
"HK";22,0525488983301;22,0525488983301;113;498797,575221239;766014,984458686
"HU";24,7068795333658;24,7068795333658;10785;530858,753546593;770137,950213543
"ID";0;0;7;655336;733549,075387282
"IE";27,1282395335365;27,1282395335365;85;498476,576470588;773628,469392997
"IL";27,138557883646;27,138557883646;707;519524,234794908;773790,86079702
"IN";21,4269232730732;21,4269232730732;1439;526894,469770674;765187,356101401
"IR";0;0;7;655336;733549,075387282
"IS";10;10;10;635180,7;748471,875275011
"IT";21,6851182531117;21,6851182531117;4943;511350,938701194;765546,172249955
"JA";0;0;2;655336;733549,075387282
"JM";58,4562575073043;58,4562575073043;2;356569;820067,585488786
"JP";41,8300004496581;41,8300004496581;1031916;500115,278746526;795831,346219688
"KE";0;0;1;655336;733549,075387282
"KP";100;100;5;453783;882777,074264572
"KR";46,3702931547607;46,3702931547607;2115;476150,199054373;802407,991074391
"KW";66,6666666666667;66,6666666666667;3;520967,333333333;833034,407972142
"KY";0;0;5;655336;733549,075387282
"LB";0;0;3;655336;733549,075387282
"LI";15,0266067989922;15,0266067989922;78;522976,948717949;755569,876158873
"LK";100;100;1;453783;882777,074264571
"LU";3,09670296120028;3,09670296120028;142;613178,429577465;738091,904376073
"MA";29,2281287536521;29,2281287536521;4;505952,5;776808,330438034
"MC";2,11406437682607;2,11406437682607;8;605838,375;736525,203052997
"MG";100;100;1;453783;882777,074264571
"MN";16,9125150146085;16,9125150146085;1;259355;757358,096713
"MU";0;0;5;655336;733549,075387282
"MX";16,4635692525939;16,4635692525939;159;485378,496855346;757633,909863216
"MY";4,22812875365213;4,22812875365213;4;556340,75;739501,330718711
"NG";0;0;3;655336;733549,075387282
"NL";34,5422303653813;34,5422303653813;1569;517834,407265774;784908,16434673
"NO";12,9527985836687;12,9527985836687;796;548303,353015075;752558,685580774
"NZ";22,9992071320185;22,9992071320185;546;501236,501831502;767543,95059846
"PA";0;0;2;655336;733549,075387282
"PE";0;0;1;655336;733549,075387282
"PH";0;0;2;655336;733549,075387282
"PK";25,1229241739709;25,1229241739709;6;423753,333333333;770324,919196356
"PL";13,8669834553033;13,8669834553033;15026;537720,179089578;753888,387031314
"PR";0;0;1;655336;733549,075387282
"PT";27,7941676676406;27,7941676676406;15;575189,8;774930,476509607
"PY";16,9125150146085;16,9125150146085;1;259355;757358,096713
"RO";9,8641136812236;9,8641136812236;6766;580965,075820278;748064,570290414
"RU";19,5310460598835;19,5310460598835;413;571588,757869249;762672,472302795
"SA";23,8446450020869;23,8446450020869;14;555577,357142857;768927,792478947
"SC";34,3548669501255;34,3548669501255;18;445356,444444444;784260,36114653
"SE";15,4379565124064;15,4379565124064;5822;526381,745276537;756267,064709827
"SG";19,7318033595948;19,7318033595948;12;552452,416666667;763496,863762261
"SK";0;0;3;655336;733549,075387282
"SN";58,4562575073043;58,4562575073043;4;356569;820067,585488786
"ST";1,24375015972988;1,24375015972988;94;648979,255319149;735389,894751144
"SU";14,4454205926588;14,4454205926588;2963;575655,909551131;754905,996894848
"SV";0;0;4;655336;733549,075387282
"SY";100;100;1;453783;882777,074264571
"TH";8,45625750730427;8,45625750730427;2;457345,5;745453,586050141
"TN";0;0;2;655336;733549,075387282
"TR";20;20;15;615025,4;763394,67516274
"TW";28,0648734344414;28,0648734344414;417;470328,652278177;774922,483188042
"TZ";16,9125150146085;16,9125150146085;1;259355;757358,096713
"US";32,4439720337456;32,4439720337456;149028;517482,220985318;781769,671075883
"VE";20,5253601457788;20,5253601457788;35;541587,857142857;763892,822317104
"VN";33,3333333333333;33,3333333333333;3;588151,666666667;783291,741679712
"WS";58,4562575073043;58,4562575073043;2;356569;820067,585488786
"YU";10,7657101330746;10,7657101330746;39;513006,282051282;749138,133720331
"ZA";22,209126777402;22,209126777402;1657;467260,123717562;766136,228399546
"ZR";16,9125150146085;16,9125150146085;1;259355;757358,096713
"ZW";0;0;1;655336;733549,075387282
