"";"MORc(Surrounding_2nd, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"NL";60,8142500894389;60,8142500894389;3;87;3,04402479065882
"NO";43,0347321355469;43,0347321355469;3;105,666666666667;2,96352592444567
"NP";70,6579154805002;70,6579154805002;2;87,5;3,03696741854637
"NR";44,6946161098112;44,6946161098112;2;109,5;2,93508480503585
"NZ";43,0347321355469;43,0347321355469;3;105,666666666667;2,96352592444567
"OM";24,9685045580596;24,9685045580596;2;80,5;2,87528344671202
"PA";43,9886385496622;43,9886385496622;2;115,5;2,91621911922664
"PE";43,9886385496622;43,9886385496622;2;115,5;2,91621911922664
"PF";48,262312912306;48,262312912306;1;133;2,81203007518797
"PG";29,2421789207033;29,2421789207033;2;98;2,77109440267335
"PH";24,5498305071063;24,5498305071063;4;79,75;2,810649242153
"PK";44,431542891067;44,431542891067;5;76,8;2,96649650704835
"PL";34,8315603339354;34,8315603339354;4;95;2,90518412587393
"PR";43,9886385496622;43,9886385496622;2;115,5;2,91621911922664
"PT";55,5394286138338;55,5394286138338;4;89,75;3,03812063381044
"PW";39,7149641870185;39,7149641870185;1;98;3,02040816326531
"PY";55,1110224645503;55,1110224645503;2;47,5;2,99007936507937
"QA";43,0347321355469;43,0347321355469;3;105,666666666667;2,96352592444567
"RE";93,0535180486944;93,0535180486944;1;42;3,26190476190476
"RO";34,8315603339354;34,8315603339354;4;95;2,90518412587393
"RS";10,2220449291007;10,2220449291007;1;63;2,73015873015873
"RU";48,262312912306;48,262312912306;1;133;2,81203007518797
"SA";44,6946161098112;44,6946161098112;2;109,5;2,93508480503585
"SC";44,6946161098112;44,6946161098112;2;109,5;2,93508480503585
"SE";70,6106875670792;70,6106875670792;4;73,25;3,09551859299411
"SG";46,5267590243472;46,5267590243472;2;33,5;2,97095238095238
"SH";29,7964107398741;29,7964107398741;3;81,3333333333333;2,85005653669056
"SI";34,8315603339354;34,8315603339354;4;95;2,90518412587393
"SK";34,8315603339354;34,8315603339354;4;95;2,90518412587393
"SL";25,6744821182085;25,6744821182085;2;74,5;2,89414913252123
"SM";43,0347321355469;43,0347321355469;3;105,666666666667;2,96352592444567
"SN";0;0;1;25;2,68
"SR";25,6744821182085;25,6744821182085;2;74,5;2,89414913252123
"ST";44,6946161098112;44,6946161098112;2;109,5;2,93508480503585
"SU";34,8315603339354;34,8315603339354;4;95;2,90518412587393
"SV";55,5394286138338;55,5394286138338;4;89,75;3,03812063381044
"SY";32,7331073428084;32,7331073428084;3;98;2,85419898953733
"SZ";10,2220449291007;10,2220449291007;1;63;2,73015873015873
"TC";0;0;1;25;2,68
"TG";25,6744821182085;25,6744821182085;2;74,5;2,89414913252123
"TH";43,0347321355469;43,0347321355469;3;105,666666666667;2,96352592444567
"TJ";48,262312912306;48,262312912306;1;133;2,81203007518797
"TK";0;0;1;25;2,68
"TM";33,2037590495743;33,2037590495743;3;94;2,86677611341014
"TN";70,2576987870047;70,2576987870047;4;76,25;3,08608575008951
"TO";20,5634596536582;20,5634596536582;2;55,5;2,86906976744186
"TR";43,0347321355469;43,0347321355469;3;105,666666666667;2,96352592444567
"TT";29,2421789207033;29,2421789207033;2;98;2,77109440267335
"TV";39,7149641870185;39,7149641870185;1;98;3,02040816326531
"TW";24,9685045580596;24,9685045580596;2;80,5;2,87528344671202
"U ";48,262312912306;48,262312912306;1;133;2,81203007518797
"UA";32,7331073428084;32,7331073428084;3;98;2,85419898953733
"UG";25,6744821182085;25,6744821182085;2;74,5;2,89414913252123
"US";80,4386103203334;80,4386103203334;3;69;3,10797827903091
"UY";44,6946161098112;44,6946161098112;2;109,5;2,93508480503585
"UZ";74,131156456153;74,131156456153;2;82,5;3,03101503759398
"VA";29,2421789207033;29,2421789207033;2;98;2,77109440267335
"VC";43,9886385496622;43,9886385496622;2;115,5;2,91621911922664
"VE";70,6579154805002;70,6579154805002;2;87,5;3,03696741854637
"VG";29,3257590331082;29,3257590331082;3;85,3333333333333;2,83747941281776
"VI";39,7149641870185;39,7149641870185;1;98;3,02040816326531
"VN";68,4738503857573;68,4738503857573;4;64,5;3,14761311501345
"VU";80,4386103203334;80,4386103203334;3;69;3,10797827903091
"WO";0;0;1;25;2,68
"WS";100;100;1;32;3,25
"YD";48,262312912306;48,262312912306;1;133;2,81203007518797
"YE";24,9685045580596;24,9685045580596;2;80,5;2,87528344671202
"YU";32,7331073428084;32,7331073428084;3;98;2,85419898953733
"ZA";43,0347321355469;43,0347321355469;3;105,666666666667;2,96352592444567
"ZW";43,0347321355469;43,0347321355469;3;105,666666666667;2,96352592444567
