"";"MORc(Top4_3rd, RCA = F)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AD";26,1450675930986;26,1450675930986;14;2552750;2909779,57458174
"AE";33,4251515747386;33,4251515747386;807;3142969,82651797;2958377,96392351
"AF";33,1234698301668;33,1234698301668;2;2910817,5;2939774,11169569
"AG";11,8065695524749;11,8065695524749;9;3571005;2831942,16241927
"AI";100;100;3;3566083;3375093,23582906
"AL";0,521593831022855;0,521593831022855;2;2755963,5;2766174,3258371
"AM";9,60657313899096;9,60657313899096;198;4135808,23737374;2813670,73120853
"AN";85,0873222849805;85,0873222849805;7;2652486,57142857;3264750,13164906
"AO";33,3333333333333;33,3333333333333;3;1938461;2971982,02595983
"AP";33,1234698301668;33,1234698301668;2;2910817,5;2939774,11169569
"AR";31,0629176340992;31,0629176340992;785;3330906,78343949;2946369,08837317
"AT";60,7921235232511;60,7921235232511;12851;3235800,27709906;3123676,23075341
"AU";28,0023553276389;28,0023553276389;42999;3024235,44319635;2925534,59236424
"AW";37,5573404738918;37,5573404738918;7;2233805,14285714;2966396,40761325
"AZ";50,7858897520566;50,7858897520566;42;2049281,23809524;3043665,923879
"BA";38,876889257947;38,876889257947;18;2579472,05555556;2994366,20033998
"BB";15,0685614242732;15,0685614242732;46;3562606,54347826;2847466,32633871
"BC";1,04318766204571;1,04318766204571;1;4387277;2761922,23064899
"BD";32,7283482538036;32,7283482538036;160;3482364,7;2957883,68954315
"BE";35,70497259369;35,70497259369;7676;3427575,91844711;2974284,74224698
"BF";0,521593831022855;0,521593831022855;4;2755963,5;2766174,3258371
"BG";26,4444301034889;26,4444301034889;1607;3762333,4486621;2916963,09535347
"BH";37,2352816010566;37,2352816010566;26;2708005,84615385;2984347,06171221
"BJ";30,5205783050278;30,5205783050278;12;2032702,83333333;2949817,73983792
"BM";12,6454174475864;12,6454174475864;43;2564093,37209302;2835560,38036935
"BN";43,9758608612046;43,9758608612046;34;2620570,14705882;3020390,06678049
"BO";25,5215938310229;25,5215938310229;4;3366321,75;2917341,02953806
"BR";48,5935885895559;48,5935885895559;15543;3023141,8731905;3049718,13531262
"BS";23,3764403543499;23,3764403543499;57;2619181,98245614;2891762,03453656
"BW";21,7345839994293;21,7345839994293;3;1227886;2886159,6115976
"BY";72,558747012804;72,558747012804;553;3459005,30922242;3202760,78320096
"BZ";9,9109289494958;9,9109289494958;14;3033252,28571429;2815166,82248411
"CA";24,2517891245397;24,2517891245397;82725;3511843,97253551;2903109,90065587
"CD";0;0;1;1124650;2770426,42102521
"CG";0;0;1;1124650;2770426,42102521
"CH";60,9177539837378;60,9177539837378;32157;3454702,93177224;3129533,64673103
"CI";73,0407503996576;73,0407503996576;5;2651451,4;3202666,42425096
"CL";51,5268945697741;51,5268945697741;841;3193155,56956005;3069157,53238342
"CM";0,521593831022855;0,521593831022855;8;2755963,5;2766174,3258371
"CN";51,6949013963616;51,6949013963616;4965200;3322891,00788528;3071076,64206261
"CO";49,0937670797108;49,0937670797108;221;3113469,4841629;3054562,80210219
"CR";22,4450549551306;22,4450549551306;230;3360310,07391304;2891978,06077529
"CS";18,1566953430269;18,1566953430269;26;3090317,73076923;2858996,96511663
"CT";65,2037519982878;65,2037519982878;2;1434358;3117625,9927424
"CU";66,4572746907145;66,4572746907145;13;3099673,92307692;3154371,54445315
"CV";1,04318766204571;1,04318766204571;2;4387277;2761922,23064899
"CW";0;0;1;1124650;2770426,42102521
"CY";31,8536139635029;31,8536139635029;98;3186311,35714286;2947437,32934027
"CZ";56,6270223253303;56,6270223253303;6971;3297481,97174007;3100087,90773638
"DD";50,5215938310229;50,5215938310229;4;3976680;3068507,73323902
"DE";60,780430350624;60,780430350624;281160;3298331,77227202;3125468,56058446
"DJ";100;100;1;3566083;3375093,23582906
"DK";45,5983478199586;45,5983478199586;5654;3374082,1137248;3032707,22050788
"DM";0,834550129636568;0,834550129636568;5;3734751,6;2763623,06872423
"DO";35,2780657436682;35,2780657436682;21;3405330,19047619;2972205,37952498
"DZ";41,7287464093183;41,7287464093183;17;3857219,05882353;3014904,65574527
"EC";33,5897407668346;33,5897407668346;13;3241532,84615385;2959455,22453202
"EE";38,0971037580464;38,0971037580464;770;3193347,24285714;2988084,17424739
"EG";25,2721628805682;25,2721628805682;728;3720617,0989011;2909603,10232231
"EP";22,0823132201112;22,0823132201112;3;2315428,33333333;2883324,8814722
"ES";52,6787281455259;52,6787281455259;20035;3229853,47756426;3074546,21272357
"ET";29,1675358068833;29,1675358068833;14;3686560,57142857;2938328,83075418
"FI";30,5040481327683;30,5040481327683;22158;3582133,89805037;2941679,14639747
"FJ";50,5215938310229;50,5215938310229;2;3976680;3068507,73323902
"FL";50,5215938310229;50,5215938310229;2;3976680;3068507,73323902
"FO";50,5215938310229;50,5215938310229;2;3976680;3068507,73323902
"FR";46,3457038159055;46,3457038159055;95730;3445931,78475922;3038022,48466068
"GA";27,8816878870632;27,8816878870632;6;2670715,83333333;2926236,08865331
"GB";31,4343385504548;31,4343385504548;73427;3492252,45382489;2947065,32146149
"GD";93,0407503996576;93,0407503996576;5;3139738;3323599,78721173
"GE";23,7359944159061;23,7359944159061;43;3421478,74418605;2902399,27368923
"GF";0,521593831022855;0,521593831022855;2;2755963,5;2766174,3258371
"GH";21,2306424529739;21,2306424529739;11;2292716,36363636;2886204,00167153
"GI";25,0903820579631;25,0903820579631;50;2221127,14;2899811,00116487
"GL";1,04318766204571;1,04318766204571;2;4387277;2761922,23064899
"GM";1,04318766204571;1,04318766204571;1;4387277;2761922,23064899
"GN";1,04318766204571;1,04318766204571;1;4387277;2761922,23064899
"GQ";29,0185089980196;29,0185089980196;7;3220471;2939543,71509364
"GR";41,7224172421173;41,7224172421173;2051;2959963,57337884;3004208,85613694
"GT";15,2081933929436;15,2081933929436;11;1967958,63636364;2855413,51245872
"HA";1,04318766204571;1,04318766204571;1;4387277;2761922,23064899
"HK";40,7735682729163;40,7735682729163;3181;3383799,86262182;3002818,43220549
"HN";0,782390746534283;0,782390746534283;4;3571620,25;2764048,27824304
"HR";47,7627638885174;47,7627638885174;517;2932841,23404255;3041960,20717754
"HT";100;100;1;3566083;3375093,23582906
"HU";43,7162100618225;43,7162100618225;2848;3350774,70716292;3021320,86867708
"ID";17,9359945856965;17,9359945856965;166;3244443,04819277;2867357,24420142
"IE";20,6179873288566;20,6179873288566;10014;3473933,57769123;2882009,37658974
"IL";16,7596211511799;16,7596211511799;52790;3844128,77287365;2858142,99032769
"IM";15,7772048449685;15,7772048449685;11;3747573,36363636;2850774,8631626
"IN";14,3677062373024;14,3677062373024;73883;3601196,81458522;2843492,75882851
"IO";1,04318766204571;1,04318766204571;1;4387277;2761922,23064899
"IQ";45,3626729146553;45,3626729146553;8;2400339,875;3017483,51114023
"IR";48,5052848456719;48,5052848456719;466;3293147,46137339;3050812,49647202
"IS";27,4355158277413;27,4355158277413;238;3447235,74789916;2922307,66861317
"IT";43,331023746779;43,331023746779;18483;3364884,03841368;3018599,34708241
"JE";21,6574010419926;21,6574010419926;22;3627427,40909091;2882725,01469944
"JM";16,3193847133363;16,3193847133363;27;2964159,2962963;2852708,12502975
"JO";31,5078303717434;31,5078303717434;89;3568453,62921348;2947334,16607287
"JP";42,6671203483172;42,6671203483172;1702238;3339900,40221461;3014767,94361479
"KE";29,1374938145987;29,1374938145987;249;2570066,06827309;2929009,53073739
"KG";92,4932299136251;92,4932299136251;31;3550297,93548387;3327228,42120174
"KH";61,396844783868;61,396844783868;14;2676190,64285714;3114965,82746143
"KI";1,04318766204571;1,04318766204571;1;4387277;2761922,23064899
"KN";55,4156465534445;55,4156465534445;3;3129239,33333333;3084880,48640681
"KP";26,4218016637419;26,4218016637419;45;3598042,4;2917119,45391289
"KR";32,8421677345161;32,8421677345161;805840;3233206,87559813;2957488,32497915
"KW";50,5398859340267;50,5398859340267;213;2857924,33333333;3057337,69167584
"KY";5,74191039796845;5,74191039796845;786;3760125,55470738;2792516,15078347
"KZ";57,5829833966097;57,5829833966097;133;3534907,72180451;3107249,98902058
"LA";100;100;1;3566083;3375093,23582906
"LB";27,699688316701;27,699688316701;117;3218820,94017094;2926000,47021179
"LI";84,4806990963628;84,4806990963628;110;3341600,64545455;3274772,16843586
"LK";20,5119111263812;20,5119111263812;101;3062325,79207921;2883687,7839731
"LR";1,04318766204571;1,04318766204571;1;4387277;2761922,23064899
"LT";68,9033802686109;68,9033802686109;444;3046588,42792793;3177501,01339721
"LU";48,7324883522147;48,7324883522147;469;3161120,59275053;3053433,88837351
"LV";66,5756830884437;66,5756830884437;691;3331634,99276411;3163585,30492917
"LY";50,5215938310229;50,5215938310229;2;3976680;3068507,73323902
"MA";28,0349341864575;28,0349341864575;53;3178217,47169811;2929684,90207211
"MC";31,5871830806667;31,5871830806667;105;2853371,6952381;2949480,47123784
"MD";33,3142847869118;33,3142847869118;46;3082719,32608696;2947066,93406335
"ME";46,086085716776;46,086085716776;19;3886094,31578947;3038820,74662446
"MG";91,3009379995719;91,3009379995719;4;3033151,75;3310726,42505739
"MH";7,25060656326078;7,25060656326078;10;3439459,7;2799193,44493357
"MI";33,1234698301668;33,1234698301668;2;2910817,5;2939774,11169569
"MK";28,2294171077451;28,2294171077451;18;3758258,16666667;2923401,3585279
"ML";65,9797422364567;65,9797422364567;7;2465267,85714286;3140373,23903953
"MM";1,04318766204571;1,04318766204571;2;4387277;2761922,23064899
"MN";35,6118812374385;35,6118812374385;32;3108842,34375;2972388,23046664
"MO";39,6908373149894;39,6908373149894;106;3227211,21698113;2990256,15450413
"MQ";21,7345839994293;21,7345839994293;3;1227886;2886159,6115976
"MT";40,9769259823013;40,9769259823013;84;2990427,29761905;3005418,64773476
"MU";12,8911953732671;12,8911953732671;8;2653314,25;2842820,70148461
"MW";0;0;1;1124650;2770426,42102521
"MX";46,4363173728316;46,4363173728316;3207;3079851,36950421;3035486,20423962
"MY";35,2253975093294;35,2253975093294;2765;3867555,53526221;2971533,67679459
"MZ";0;0;1;1124650;2770426,42102521
"NC";37,8911953732671;37,8911953732671;8;3263672,5;2993987,40518557
"NE";15,1828597463203;15,1828597463203;16;3762923,3125;2845239,90063293
"NG";33,1282531550303;33,1282531550303;49;2227756,3877551;2954271,72314573
