"";"MORc(Surrounding_3rd, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"MX";70,8817583310997;70,8817583310997;3;105;2,88958145383963
"MY";74,9649031778557;74,9649031778557;3;56;2,86997526283241
"MZ";57,6590075405979;57,6590075405979;1;137;2,63503649635036
"NC";52,5530025135326;52,5530025135326;3;91;2,64861682570503
"NE";41,6315698445224;41,6315698445224;3;68,6666666666667;2,88514454893765
"NG";45,6170324415689;45,6170324415689;3;104,333333333333;2,8047736704654
"NI";42,7103268370546;42,7103268370546;2;106;2,81751824817518
"NJ";44,4843950697301;44,4843950697301;3;104,333333333333;2,7485938951845
"NL";66,7265926045952;66,7265926045952;2;113;2,78381038300664
"NO";66,7265926045952;66,7265926045952;2;113;2,78381038300664
"NP";42,7103268370546;42,7103268370546;2;106;2,81751824817518
"NY";57,6465621523116;57,6465621523116;4;89,25;2,80576360320656
"NZ";70,8817583310997;70,8817583310997;3;105;2,88958145383963
"OA";100;100;1;49;2,63265306122449
"OH";70,8817583310997;70,8817583310997;3;105;2,88958145383963
"OM";77,8177284030635;77,8177284030635;3;91,6666666666667;2,73342460907926
"ON";0;0;1;87;2,67816091954023
"OR";57,6590075405979;57,6590075405979;1;137;2,63503649635036
"PA";70,8817583310997;70,8817583310997;3;105;2,88958145383963
"PE";70,8817583310997;70,8817583310997;3;105;2,88958145383963
"PF";0;0;1;87;2,67816091954023
"PH";90,9757470228828;90,9757470228828;3;60,6666666666667;2,84750335272005
"PK";45,6384292685413;45,6384292685413;4;85,75;2,82261753579083
"PL";78,1613187483248;78,1613187483248;4;91;2,82534935568585
"PO";0;0;1;87;2,67816091954023
"PR";28,829503770299;28,829503770299;2;112;2,6565987079453
"PS";75,7941776685925;75,7941776685925;1;89;2,93258426966292
"PT";48,0813842253621;48,0813842253621;5;95,4;2,86938105621183
"PY";66,7265926045952;66,7265926045952;2;113;2,78381038300664
"QA";28,473551224703;28,473551224703;3;99,6666666666667;2,77106580529686
"RE";88,1625765920824;88,1625765920824;2;66,5;3,03919816138917
"RI";75,7941776685925;75,7941776685925;1;89;2,93258426966292
"RO";78,829503770299;78,829503770299;2;93;2,63384477878743
"RS";77,396035470327;77,396035470327;2;90,5;2,80615461181155
"RU";57,6590075405979;57,6590075405979;1;137;2,63503649635036
"SA";28,473551224703;28,473551224703;3;99,6666666666667;2,77106580529686
"SB";98,566531700028;98,566531700028;2;46,5;2,80496289424861
"SC";68,4255486623534;68,4255486623534;2;113;2,86808004592799
"SD";51,021699829419;51,021699829419;4;73,75;2,93913931057964
"SE";28,473551224703;28,473551224703;3;99,6666666666667;2,77106580529686
"SG";97,133063400056;97,133063400056;1;44;2,97727272727273
"SI";78,1613187483248;78,1613187483248;4;91;2,82534935568585
"SJ";97,133063400056;97,133063400056;1;44;2,97727272727273
"SK";87,8970888342963;87,8970888342963;2;69;2,78261866544371
"SL";92,1083843947216;92,1083843947216;3;60,6666666666667;2,90368312800094
"SM";77,4931337263507;77,4931337263507;2;89;3,01685393258427
"SN";74,9649031778557;74,9649031778557;3;56;2,86997526283241
"SO";97,133063400056;97,133063400056;1;44;2,97727272727273
"SP";79,1920897841089;79,1920897841089;1;89;3,10112359550562
"SR";51,597356980218;51,597356980218;3;89,3333333333333;2,76349004772111
"SU";53,7382771142339;53,7382771142339;3;100,333333333333;2,8558735886711
"SV";78,9503657749023;78,9503657749023;3;91,6666666666667;2,78960438436016
"SX";57,6590075405979;57,6590075405979;1;137;2,63503649635036
"SY";40,3037078356754;40,3037078356754;4;97;2,81144542138838
"SZ";52,3491613716548;52,3491613716548;5;86,4;2,87831874773379
"TC";51,7779119010518;51,7779119010518;2;82;2,96629213483146
"TF";75,7941776685925;75,7941776685925;1;89;2,93258426966292
"TG";41,6315698445224;41,6315698445224;3;68,6666666666667;2,88514454893765
"TH";77,4445845983388;77,4445845983388;4;89,75;2,91150427219791
"TJ";57,6590075405979;57,6590075405979;1;137;2,63503649635036
"TK";57,6590075405979;57,6590075405979;1;137;2,63503649635036
"TM";70,8817583310997;70,8817583310997;3;105;2,88958145383963
"TN";13,8808230667556;13,8808230667556;2;81;2,83908045977011
"TO";0;0;1;87;2,67816091954023
"TR";68,4255486623534;68,4255486623534;2;113;2,86808004592799
