"";"MORc(mat_3rd, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"GG";74,2469889901805;74,2469889901805;4;90,25;12,3888989181109
"GH";57,050695599727;57,050695599727;8;88,625;11,9451299409451
"GI";55,0131273089204;55,0131273089204;7;94,2857142857143;11,6930654526098
"GL";33,5321958520343;33,5321958520343;5;79;10,7581068653434
"GM";5,53441227379609;5,53441227379609;1;104;9,18269230769231
"GN";61,6954332016763;61,6954332016763;5;92;11,7898517371201
"GP";64,7500250281378;64,7500250281378;6;101,333333333333;11,8789579908037
"GQ";34,432802514344;34,432802514344;5;79,2;11,0563735070808
"GR";72,8167397442294;72,8167397442294;16;84,625;12,4977235280205
"GT";65,5571717684038;65,5571717684038;14;81,6428571428571;12,2255655936791
"GU";70,5992872802489;70,5992872802489;1;138;11,7608695652174
"GY";80,1560477517673;80,1560477517673;2;89,5;11,8943053817272
"HA";5,53441227379609;5,53441227379609;1;104;9,18269230769231
"HK";50,3258145334857;50,3258145334857;15;76,7333333333333;11,985554169853
"HN";65,6901197560624;65,6901197560624;17;78;12,2290875103681
"HR";75,1214669013854;75,1214669013854;15;88,6;12,4232168107912
"HT";68,7556987879881;68,7556987879881;2;65,5;11,370716112532
"HU";71,633400256053;71,633400256053;12;88;12,3024591866979
"IB";88,3978616632365;88,3978616632365;2;80,5;12,3738488409019
"ID";56,7002481212659;56,7002481212659;19;74,9473684210526;12,0847782141835
"IE";39,811210455606;39,811210455606;10;86,2;11,5869199443221
"IL";41,0598298146307;41,0598298146307;10;93,7;11,5128059154235
"IM";61,8701508460488;61,8701508460488;12;85,0833333333333;11,951286821243
"IN";44,5191069804252;44,5191069804252;9;93,1111111111111;11,4662363958252
"IO";5,53441227379609;5,53441227379609;1;104;9,18269230769231
"IQ";69,5068890317648;69,5068890317648;13;83,3846153846154;12,3559696366115
"IR";76,2399628835397;76,2399628835397;14;79,5;12,6592503905548
"IS";59,7413559831738;59,7413559831738;10;96,8;12,0311273326117
"IT";73,2593647365235;73,2593647365235;14;85,1428571428571;12,5255651205687
"JE";54,8691419507936;54,8691419507936;13;61,0769230769231;12,1280815216858
"JM";56,3899996605649;56,3899996605649;15;81,6666666666667;11,9564242386327
"JO";62,865219402212;62,865219402212;10;93,8;11,9830438134894
"JP";57,95457591338;57,95457591338;15;59,9333333333333;12,1646393685919
"KE";54,1217550764312;54,1217550764312;11;91,8181818181818;11,6009720013109
"KG";76,6824577345258;76,6824577345258;11;73,0909090909091;12,3925371027341
"KH";66,6652471753894;66,6652471753894;9;86,5555555555556;12,3803874689425
"KI";10,7618852012964;10,7618852012964;2;69,5;10,2627747252747
"KM";68,4166389078088;68,4166389078088;2;111,5;12,3603391232424
"KN";81,2103959625608;81,2103959625608;3;73,6666666666667;12,5062394641867
"KP";48,6770891428679;48,6770891428679;13;68,9230769230769;11,6685978229638
"KR";44,5012110210794;44,5012110210794;11;65,6363636363636;11,7128364985554
"KS";84,0608726076557;84,0608726076557;3;46;12,8003611748948
"KW";71,2198258466839;71,2198258466839;14;92,8571428571428;12,270091923295
"KY";20,6989103853031;20,6989103853031;6;75,1666666666667;10,9664748374231
"KZ";76,7498476192336;76,7498476192336;12;80,9166666666667;12,435036090235
"LA";70,0484675666704;70,0484675666704;12;80,3333333333333;12,1994725305016
"LB";49,6995614208437;49,6995614208437;14;90,7857142857143;11,8199712468546
"LC";84,8872515511591;84,8872515511591;2;76;11,9383669885865
"LI";81,5606937956247;81,5606937956247;11;75,4545454545455;12,5383774766433
"LK";71,8420446143847;71,8420446143847;13;76;12,5318865251385
"LN";68,2486532324086;68,2486532324086;2;115,5;12,1707573632539
