"";"MORc(Surrounding_2nd, RCA = F)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"KN";61,3371860644708;61,3371860644708;5;776495,8;2654272,98578824
"KP";74,9376472560235;74,9376472560235;32;1212257,5;3031269,66403613
"KR";75,6722702304485;75,6722702304485;316146;1170592,28312868;2986323,31221323
"KW";54,4079630045017;54,4079630045017;35;1083853,94285714;2724359,43593463
"KY";69,4235248664357;69,4235248664357;37;922540,918918919;2888709,99297358
"KZ";51,6518406007853;51,6518406007853;126;1070923,5;2692124,2789449
"LA";77,044876965313;77,044876965313;1;828836;3042383,65059433
"LB";54,8238871203777;54,8238871203777;33;993940,454545455;2697296,86046871
"LC";0;0;1;751183;2020722,16476012
"LI";37,502713879513;37,502713879513;396;957713,633838384;2512064,35182792
"LK";55,857288530257;55,857288530257;22;823374,272727273;2641500,20773961
"LR";80,1167724670919;80,1167724670919;4;1383398,75;3058061,12699522
"LT";52,1152313177607;52,1152313177607;498;1020282,08433735;2695468,58713076
"LU";70,5867853691889;70,5867853691889;491;1058034,06720978;2940705,03783936
"LV";56,7454849124431;56,7454849124431;832;1185307,41105769;2765766,05852929
"LY";43,8631878964829;43,8631878964829;4;1212383;2610587,71606868
"MA";63,2401080529427;63,2401080529427;51;1099999,96078431;2872078,91254362
"MC";50,9523502982304;50,9523502982304;132;856920,25;2657719,76824586
"MD";65,2006439189238;65,2006439189238;62;922431,14516129;2820783,96546477
"MG";77,044876965313;77,044876965313;6;828836;3042383,65059433
"MK";32,2327194911289;32,2327194911289;4;629289,5;2345387,2846757
"ML";67,1827454070264;67,1827454070264;6;1216417;2874311,06698675
"MN";79,1848662258386;79,1848662258386;16;1106254,5625;3091957,38478156
"MO";39,4060983147749;39,4060983147749;19;798012,631578947;2473761,30594019
"MQ";0;0;1;751183;2020722,16476012
"MR";76,2483915231583;76,2483915231583;2;924005;2998057,84051586
"MT";79,1499180516784;79,1499180516784;41;1322081,19512195;3044782,96454074
"MU";60,0557897098206;60,0557897098206;4;1068194;2804322,77829227
"MW";87,7263757929657;87,7263757929657;2;1673583;3200453,26737724
"MX";60,7795322251414;60,7795322251414;1591;982552,795097423;2794283,39644847
"MY";77,9165022536292;77,9165022536292;674;1284023,16617211;3061030,26217484
"NE";43,8631878964829;43,8631878964829;6;1212383;2610587,71606868
"NG";43,7374894928239;43,7374894928239;12;943623;2552474,34761679
"NI";77,044876965313;77,044876965313;1;828836;3042383,65059433
"NL";67,2728197552008;67,2728197552008;21988;1106801,1149718;2895686,71021804
"NO";64,1229214804884;64,1229214804884;7014;1012916,91488452;2836326,37146964
"NP";15,0047794274788;15,0047794274788;3;699806;2135615,91857031
"NR";25,6816256551043;25,6816256551043;3;777067,333333333;2361275,99337152
"NZ";58,7438881165796;58,7438881165796;5494;946654,219694212;2760246,26403143
"OM";76,0959073876117;76,0959073876117;2;1090489,5;2935252,83598426
"PA";60,5160059579052;60,5160059579052;45;989334,444444444;2776839,60834454
"PE";60,9883166925614;60,9883166925614;17;888102,529411765;2754068,19461593
"PF";0;0;1;751183;2020722,16476012
"PG";43,8631878964829;43,8631878964829;2;1212383;2610587,71606868
"PH";72,5055041584167;72,5055041584167;155;1271859,99354839;2992660,0857084
"PK";63,7759699697521;63,7759699697521;40;982687,175;2805507,60263762
"PL";68,8912629055099;68,8912629055099;17325;1134200,36606061;2917129,96424665
"PR";39,7032193215231;39,7032193215231;51;936427,156862745;2509553,63246983
"PT";59,3986070826033;59,3986070826033;353;949133,45325779;2756750,16732578
"PW";64,4654389822578;64,4654389822578;1;507396;2670052,40459129
"PY";85,016342081306;85,016342081306;13;1507924,15384615;3150336,95271088
"QA";54,6387982282209;54,6387982282209;4;729062,75;2693885,46763502
"RE";45,0143382824363;45,0143382824363;1;597052;2365403,42619068
"RO";70,9678633109636;70,9678633109636;6133;1243069,88260232;2949245,81918748
"RS";87,7263757929657;87,7263757929657;2;1673583;3200453,26737724
"RU";39,0457211896149;39,0457211896149;106063;984889,160866655;2525045,50261624
"SA";58,5516525661965;58,5516525661965;112;967756,741071429;2775818,35970268
"SC";30,6586536976943;30,6586536976943;10;801278;2420521,59707811
"SE";56,6295694771759;56,6295694771759;39848;964412,219007227;2710989,9112386
"SG";81,1901111295458;81,1901111295458;3698;1301483,34775554;3111302,59407434
"SH";44,2612192413283;44,2612192413283;4;980144,75;2637440,63178757
"SI";70,1016013207238;70,1016013207238;1138;1186470,91476274;2923877,54209476
"SK";65,5588148707747;65,5588148707747;659;1096802,56752656;2871682,63646021
"SL";85,807256746158;85,807256746158;27;1455386,59259259;3175854,14225426
"SM";66,7658124789394;66,7658124789394;25;960522,76;2898437,67410359
"SN";100;100;3;1589377;3465934,54703572
"SR";82,3856263791394;82,3856263791394;2;1251209,5;3121418,45898578
"ST";61,7302512412376;61,7302512412376;13;1005857,69230769;2843093,2192748
"SU";52,682306867181;52,682306867181;5136;1112538,60416667;2710195,59228781
"SV";60,1997983796289;60,1997983796289;35;997500,771428571;2773397,34214764
"SY";38,0479536938059;38,0479536938059;8;920836,25;2477987,50037219
"SZ";87,7263757929657;87,7263757929657;1;1673583;3200453,26737724
"TC";100;100;2;1589377;3465934,54703573
"TG";82,3856263791394;82,3856263791394;2;1251209,5;3121418,45898578
"TH";67,3950119966631;67,3950119966631;224;1061182,59821429;2883635,36923202
"TJ";36,0173299043795;36,0173299043795;179;974137,011173184;2494349,2147617
"TK";100;100;1;1589377;3465934,54703573
"TM";61,002624034763;61,002624034763;698;1176193,54727794;2822864,5912049
"TN";55,5151012237655;55,5151012237655;20;985457,75;2695897,05237969
"TO";88,5224384826565;88,5224384826565;2;1209106,5;3254159,09881503
"TR";62,0476610155952;62,0476610155952;641;941559,374414977;2779261,76634583
"TT";21,9315939482414;21,9315939482414;4;981783;2315654,9404144
"TV";64,4654389822578;64,4654389822578;23;507396;2670052,40459129
"TW";75,5818500839327;75,5818500839327;34218;1218693,63180198;3002686,71624625
"U ";0;0;1;751183;2020722,16476012
"UA";53,0734537193617;53,0734537193617;2068;1094982,70357834;2710981,01906446
"UG";85,9085011033115;85,9085011033115;5;1318843;3190321,67659577
"US";60,0818922013482;60,0818922013482;1090620;1041387,46059306;2776262,86040235
"UY";36,1761376831244;36,1761376831244;27;868269,074074074;2476074,91180565
"UZ";57,1238896460533;57,1238896460533;133;1107574,45112782;2780752,84962849
"VA";75,1940363939706;75,1940363939706;7;1541811,57142857;3031920,25271765
"VC";32,2327194911289;32,2327194911289;2;629289,5;2345387,2846757
"VE";56,7861425190158;56,7861425190158;156;1024593,07692308;2718019,46317532
"VG";61,0605614468123;61,0605614468123;82;1011122,74390244;2802235,0563602
"VI";64,4654389822578;64,4654389822578;4;507396;2670052,40459129
"VN";70,5067911077492;70,5067911077492;19;1085976,26315789;2924515,84339231
"VU";41,370145661469;41,370145661469;4;741115,25;2426315,26189472
"WO";100;100;2;1589377;3465934,54703573
"WS";75,4519060810036;75,4519060810036;1;1019174;2953732,03043739
"YD";0;0;1;751183;2020722,16476012
"YE";76,0959073876117;76,0959073876117;2;1090489,5;2935252,83598426
"YU";47,7800372362865;47,7800372362865;90;1022748,08888889;2616216,34124731
"ZA";61,60809754377;61,60809754377;10388;971410,890835579;2804537,39846263
"ZW";61,1951509859657;61,1951509859657;5;836837,6;2773829,03431455
