"";"MORc(Top4_3rd, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"US";12,9840796312776;12,9840796312776;2;122,5;1,92005465209278
"UT";53,0902887406461;53,0902887406461;1;96;2,15625
"UX";0;0;1;124;1,78225806451613
"UY";12,9840796312776;12,9840796312776;2;122,5;1,92005465209278
"UZ";12,9840796312776;12,9840796312776;2;122,5;1,92005465209278
"VA";39,5292240016007;39,5292240016007;2;108,5;2,10705061983471
"VE";59,6861493344005;59,6861493344005;3;92;2,05441792734743
"VG";12,9840796312776;12,9840796312776;2;122,5;1,92005465209278
"VN";12,9840796312776;12,9840796312776;2;122,5;1,92005465209278
"VZ";25,9681592625553;25,9681592625553;1;121;2,05785123966942
"WA";12,9840796312776;12,9840796312776;2;122,5;1,92005465209278
"WF";12,9840796312776;12,9840796312776;2;122,5;1,92005465209278
"WS";62,9840796312776;62,9840796312776;2;90;2,00350189102115
"YE";50;50;2;91,5;1,86570530344451
"YS";39,5292240016007;39,5292240016007;2;108,5;2,10705061983471
"YU";0;0;1;124;1,78225806451613
"ZA";26,3528160010671;26,3528160010671;3;113,666666666667;1,99878643472852
"ZJ";53,0902887406461;53,0902887406461;1;96;2,15625
"ZW";25,9681592625553;25,9681592625553;1;121;2,05785123966942
