"ctry_code";"techn_field_nr";"RCA_Gen";"RCA_AI";"Period"
"AM";"1";14,004933445034;NA;"1987"
"AR";"1";0,274606538137921;NA;"1987"
"AT";"1";1,05114290757429;NA;"1987"
"AU";"1";0,486988514901831;NA;"1987"
"BE";"1";0,527190620680493;NA;"1987"
"BG";"1";0,90756239605684;NA;"1987"
"BM";"1";3,50123336125849;NA;"1987"
"BO";"1";7,00246672251699;NA;"1987"
"BR";"1";0,834731132485469;NA;"1987"
"BU";"1";0;NA;"1987"
"CA";"1";0,760362860945177;NA;"1987"
"CH";"1";0,629752040816964;NA;"1987"
"CN";"1";0,836294597146315;NA;"1987"
"CS";"1";1,21782029956817;NA;"1987"
"CY";"1";0;NA;"1987"
"DD";"1";0,600211433358599;NA;"1987"
"DE";"1";0,84370450875738;NA;"1987"
"DK";"1";0,643528873253119;NA;"1987"
"ES";"1";0,608910149784086;NA;"1987"
"FI";"1";0,434159514970523;NA;"1987"
"FR";"1";0,997814823590157;NA;"1987"
"GB";"1";0,627972720917062;NA;"1987"
"GR";"1";0,424391922576787;NA;"1987"
"HK";"1";6,12715838220236;NA;"1987"
"HU";"1";0,552583958813265;NA;"1987"
"IE";"1";0,337468275783951;NA;"1987"
"IL";"1";0,234196211455418;NA;"1987"
"IN";"1";0,782190431770515;NA;"1987"
"IT";"1";0,558175599409796;NA;"1987"
"JP";"1";1,10223395384481;NA;"1987"
"KR";"1";1,01034481013009;NA;"1987"
"LI";"1";0,466831114834466;NA;"1987"
"LU";"1";0,636587883865181;NA;"1987"
"MX";"1";0,475895796675912;NA;"1987"
"MY";"1";0;NA;"1987"
"NL";"1";0,81980098214833;NA;"1987"
"NO";"1";0,591757751198619;NA;"1987"
"NZ";"1";0,541491275554916;NA;"1987"
"PA";"1";0;NA;"1987"
"PH";"1";0;NA;"1987"
"PL";"1";0,927771616232535;NA;"1987"
"RO";"1";0,973315837878809;NA;"1987"
"SE";"1";0,611124368510574;NA;"1987"
"SG";"1";2,15460514538984;NA;"1987"
"ST";"1";0,48292873948393;NA;"1987"
"SU";"1";0,489492819438081;NA;"1987"
"TD";"1";14,004933445034;NA;"1987"
"TN";"1";14,004933445034;NA;"1987"
"TW";"1";1,19852045329926;NA;"1987"
"UG";"1";14,004933445034;NA;"1987"
"US";"1";0,799964577894146;NA;"1987"
"VE";"1";0,778051858057443;NA;"1987"
"YU";"1";2,43564059913634;NA;"1987"
"ZA";"1";0,615252963844337;NA;"1987"
"MC";"1";0;NA;"1987"
"PT";"1";0;NA;"1987"
"TH";"1";0;NA;"1987"
"KP";"1";0;NA;"1987"
"SV";"1";0;NA;"1987"
"MA";"1";0;NA;"1987"
"PY";"1";0;NA;"1987"
"BB";"1";0;NA;"1987"
"CM";"1";0;NA;"1987"
"IS";"1";0;NA;"1987"
"SA";"1";0;NA;"1987"
"TR";"1";0;NA;"1987"
"CL";"1";0;NA;"1987"
"DO";"1";0;NA;"1987"
"DZ";"1";0;NA;"1987"
"EC";"1";0;NA;"1987"
"EG";"1";0;NA;"1987"
"KW";"1";0;NA;"1987"
"LR";"1";0;NA;"1987"
"RU";"1";0;NA;"1987"
"UY";"1";0;NA;"1987"
"BS";"1";0;NA;"1987"
"CO";"1";0;NA;"1987"
"CZ";"1";0;NA;"1987"
"SY";"1";0;NA;"1987"
"AL";"1";0;NA;"1987"
"GY";"1";0;NA;"1987"
"HR";"1";0;NA;"1987"
"KI";"1";0;NA;"1987"
"IR";"1";0;NA;"1987"
"GT";"1";0;NA;"1987"
"IQ";"1";0;NA;"1987"
"TT";"1";0;NA;"1987"
"ZW";"1";0;NA;"1987"
"BI";"1";0;NA;"1987"
"ID";"1";0;NA;"1987"
"SI";"1";0;NA;"1987"
"PE";"1";0;NA;"1987"
"JO";"1";0;NA;"1987"
"NG";"1";0;NA;"1987"
"PK";"1";0;NA;"1987"
"MU";"1";0;NA;"1987"
"SM";"1";0;NA;"1987"
"AE";"1";0;NA;"1987"
"LB";"1";0;NA;"1987"
"CR";"1";0;NA;"1987"
"SK";"1";0;NA;"1987"
"HN";"1";0;NA;"1987"
"AD";"1";0;NA;"1987"
"PR";"1";0;NA;"1987"
"CU";"1";0;NA;"1987"
"GA";"1";0;NA;"1987"
"AM";"2";0;NA;"1987"
"AR";"2";0,283118813744308;NA;"1987"
"AT";"2";0,207182972971828;0;"1987"
"AU";"2";0,231731180374592;NA;"1987"
"BE";"2";0,189054788883269;NA;"1987"
"BG";"2";0,238510512722333;NA;"1987"
"BM";"2";0;NA;"1987"
"BO";"2";0;NA;"1987"
"BR";"2";0,286868731807146;NA;"1987"
"BU";"2";0;NA;"1987"
"CA";"2";0,289075164763021;0;"1987"
"CH";"2";0,300409962771645;NA;"1987"
"CN";"2";0,156766931724705;NA;"1987"
"CS";"2";0;NA;"1987"
"CY";"2";0;NA;"1987"
"DD";"2";0;NA;"1987"
"DE";"2";0,41219018818774;0;"1987"
"DK";"2";0,224907468862301;NA;"1987"
"ES";"2";0,296454120188786;NA;"1987"
