"ctry_code";"techn_field_nr";"n_tech_reg"
"DE";1;11072,1230158733
"FR";9;390,658333333333
"FR";29;1242,575
"US";18;1892,6784090909
"FR";31;1202,41666666667
"FR";35;1317,95833333333
"FR";23;765,217857142856
"FR";18;244,622222222223
"FR";33;558,372222222222
"FR";25;1097,825
"JP";1;90930,6970237787
"FR";10;857,902777777777
"FR";11;67,6000000000002
"US";21;4035,49484126985
"US";25;8601,68194444445
"US";29;10737,5057900435
"FR";13;487,933333333334
"DE";32;11047,1039682542
"MC";13;8,5
"FR";2;468,099999999999
"JP";13;11761,6650793659
"JP";19;22348,9666666641
"JP";34;16009,3285714297
"FR";34;534,522222222222
"JP";31;26194,3662698399
"DE";27;7498,82539682526
"SE";29;947,164880952381
"US";14;10968,4009740262
"US";19;8568,35458152981
"GB";20;501,899999999999
"GB";21;368,644444444445
"DE";20;4020,20912698415
"DE";30;5738,91874098126
"GB";2;690,698888888889
"GB";9;532,259999999999
"GB";19;736,241666666669
"DE";10;8081,10634920626
"US";9;6218,20214285714
"US";17;6932,02384559891
"DE";28;5344,08816738817
"GB";8;175,05
"DE";26;7982,24444444442
"GB";16;329,209325396826
"GB";17;296,158333333332
"FR";3;442,774999999999
"BE";19;133,02380952381
"DE";25;7756,70661976908
"DE";13;4165,80582611835
"DE";17;4077,96161616162
"DE";19;5885,08540903553
"DE";34;4226,50086580087
"DE";31;8988,17777777782
"DE";35;10996,1976190478
"JP";33;11356,4833333337
"IT";31;1207,45833333333
"FR";14;931,19841269841
"FR";16;416,253373015875
"IT";35;1669,29166666666
"US";10;11146,4623412701
"US";20;5230,16233766238
"US";23;7801,58989899016
"FR";17;315,789682539682
"FR";19;476,906746031746
"AT";28;123,85
"FR";26;704,375
"DE";6;1496,69642857143
"DE";23;5903,19411976926
"DE";16;1863,55752164499
"US";16;3303,93172799421
"FR";1;1160,32777777778
"JP";27;44504,6261904719
"NL";35;229,888888888889
"NL";29;239,038888888889
"DE";29;8239,15714285712
"DK";20;78,8416666666667
"DK";29;437,683333333333
"DK";26;154,783333333333
"DK";35;400,9
"US";35;10060,2023809525
"US";3;3636,18067460319
"US";6;4623,99813492066
"US";13;8393,46011904755
"IT";18;356,533333333334
"IT";25;1743,875
"DK";32;171,761904761905
"CA";29;1545,55
"US";2;6124,45349206353
"CA";35;1968,40277777777
"IT";1;869,408333333334
"US";1;13036,625634921
"DK";10;165,716666666667
"US";5;3318,951984127
"US";12;3538,23623015874
"US";33;7208,96507936501
"IT";30;924,066666666668
"US";15;1941,75788239538
"JP";32;28425,6567460301
"JP";35;28217,3845238074
"US";31;8508,53650793653
"US";27;6817,20436507936
"DK";18;109,125
"DE";33;5010,39999999998
"CH";33;613,477777777778
"CO";24;6
"DK";21;35,25
"DK";34;110,083333333333
"JP";30;31590,2083333303
"DK";13;160,05
"NL";32;107,177777777778
"NL";10;110,333333333333
"NL";25;173,775
"NL";33;68,2
"AT";33;344,416666666666
"US";26;8123,5046392496
"CH";29;608,4875
"CH";31;629,833333333334
"DE";14;6773,3693542571
"JP";9;56298,5291666481
"JP";26;44019,5051587243
"DE";3;3227,56944444447
"JP";25;32062,7845238074
"DE";24;2684,93122294374
"DE";18;992,749476911982
"IT";34;1053,43333333333
"DK";14;55,290331890332
"DK";23;161,75
"CA";30;841,561111111111
"TR";1;2
"US";30;5016,58809523811
"JP";10;52265,1357142763
"CA";26;1259,6880952381
"CH";30;407,352777777778
"CH";10;849,590238095238
"US";32;8101,70793650789
"IT";10;642,358333333334
"US";28;4876,06928210678
"US";11;1204,63968253968
"US";8;3097,69746031748
"GR";29;2,28333333333333
"GB";26;881,727777777778
"GB";29;1277,54305555555
"GB";31;1379,23611111111
"JP";14;16888,9748557019
"JP";18;10764,3968253974
"CH";23;520,634722222222
"US";24;2845,80218253969
"AT";23;133,583333333333
"AT";26;287,902777777777
"IT";32;1737,38333333333
"DE";12;2658,48809523809
"CO";1;7,5
"DE";9;4031,86944444449
"SE";17;59,875
"NL";14;142,722619047619
"NL";17;98,0124999999999
"NL";19;125,306944444444
"JP";23;23055,6101190459
"CH";32;436,1
"NL";16;53,7934523809524
"MC";34;4,5
"CH";25;847,73888888889
"CH";14;774,442460317459
"JP";15;4933,56612554117
"DE";21;2252,48439754689
"IT";19;435,344444444445
"JP";12;19727,3301587299
"DE";2;3564,36785714288
"JP";2;62533,7642856976
"JP";21;24386,0130952354
"FR";20;616,900000000001
"FR";21;284,397222222223
"CH";34;488,352777777777
"IE";20;0,375
"IE";21;4,8125
"IE";23;3,6875
"IE";26;8,225
"NL";28;72,6
"SE";35;1663,15238095238
"US";34;5793,64844877349
"AU";1;479,702380952381
"AU";12;192,935714285715
"AU";19;394,819047619046
"AU";28;163,819047619047
"AU";29;1084,66488095238
"AU";33;740,035714285714
"AU";35;1416,23571428571
"CH";35;1098,42916666667
"DE";4;705,629761904761
"JP";8;45610,7805555469
"JP";20;37352,506944435
"SE";3;197,992857142857
"DE";5;1989,16944444444
"JP";28;36013,4214285659
"JP";24;13693,2170634934
"JP";17;19693,4440476194
"TW";1;58,8833333333333
"TW";26;45,1666666666667
"TW";31;30,8333333333333
"HU";20;249,066666666666
"FI";15;37
"FI";16;32,0833333333333
"SE";14;124,961111111111
"SE";16;126,938888888889
"US";4;917,605555555554
"JP";16;6725,99866522439
"FR";15;168,763293650793
"AT";27;187,066666666667
"AT";29;239,838888888889
"AT";31;182,791666666667
"AT";35;421,963888888888
"AT";20;224,35
"AT";30;195,638888888889
"AT";32;240,933333333333
