"ctry_code";"techn_field_nr";"n_tech_reg"
"SE";24;74,375
"SE";30;53,9035714285714
"SE";35;196,063888888889
"SE";25;76,0642857142857
"SE";32;308,059920634921
"SE";3;172,563888888889
"SE";6;238,655095598846
"IT";3;50,3621031746032
"DE";6;1699,00829397211
"DE";12;991,360149572647
"DE";25;1563,80489417988
"DE";2;781,286904761904
"DE";21;711,379497354496
"DE";31;3661,15694444445
"DE";33;874,359523809526
"DE";26;1905,36278998778
"DE";29;1611,81431878306
"AT";35;150,315476190476
"DE";1;4581,570770202
"DE";32;6024,25869804486
"DE";13;1695,55063038812
"DE";19;694,238409738408
"GB";6;1197,72001581752
"SG";19;19,0876984126984
"IT";10;73,7097222222223
"IT";27;117,180621693122
"CH";1;265,601911976912
"CH";3;47,1237301587301
"GB";27;275,103466386555
"DE";27;3223,50433784624
"DE";30;911,759424603176
"DE";7;298,623033910534
"US";13;10713,892626304
"FI";4;464,685653235651
"US";11;837,84217851593
"US";9;2232,83848429348
"US";3;3958,97239308195
"DE";16;314,278873777151
"DE";8;1154,65583929959
"NO";11;8,03333333333333
"NL";32;191,219859307359
"KR";4;4621,67052068298
"IT";13;98,9226551226551
"CH";34;150,226465201465
"JP";1;23517,5361111104
"JP";2;10934,1506035639
"CH";13;252,541837976838
"CA";4;764,632789895289
"CA";6;1108,67135364636
"JP";8;11773,7007936519
"NL";23;82,3039479039479
"FR";35;848,539715007216
"AT";18;15,75
"AT";25;85,1944444444444
"GB";32;573,086904761904
"DE";15;351,747395659896
"AU";14;218,775
"AU";16;693,461011904758
"AU";13;695,916666666672
"CN";4;27040,6035975129
"LU";1;16,8333333333333
"LU";25;4,58333333333333
"LU";34;1,75
"DE";9;759,834446248199
"CN";3;9729,66803030366
"CN";34;14841,6882936517
"DE";35;1703,60757936507
"NL";33;87,3154761904762
"GB";2;281,985714285714
"ES";3;63,9563492063493
"GB";3;221,80415945166
"IT";11;13,9353174603175
"IT";15;21,0115079365079
"US";15;2532,35097795721
"US";25;2676,72665704665
"GB";25;237,070815295815
"US";21;1363,39048202614
"US";23;2052,02127534502
"US";28;906,406322150073
"CA";3;295,281228956229
"TW";6;1273,10872127872
"US";1;6415,30689893445
"SE";12;106,497222222222
"DK";1;73,0281746031747
"AT";1;262,805104617604
"DE";23;903,670220057722
"ES";16;137,520670995671
"AU";6;491,289879148628
"AU";19;192,60955988456
"AU";1;221,019047619047
"AU";35;544,266666666666
"HU";4;44,3333333333333
"SE";4;587,389682539683
"DE";10;2916,80222971471
"DE";5;318,399007936508
"CA";2;265,633169330669
"US";14;1745,60661898506
"US";19;1854,42066040438
"AU";7;376,212597402596
"FR";1;1137,16991341992
"BE";1;45,2918650793651
"DE";4;968,682257094762
"AU";30;74,714880952381
"CH";35;183,583333333333
"TR";19;10,2770833333333
"TR";20;12,2833333333333
"TR";23;13,0555555555556
"NL";12;51,917261904762
"NL";25;171,327777777778
"BE";4;78,8202380952381
"CH";25;188,276190476191
"CH";27;122,526235569986
"NL";28;23,0958333333333
"ES";2;33,7611111111111
"BE";32;69,9876984126985
"FR";32;2151,35948412697
"HR";4;3
"CH";12;73,707671957672
"CH";33;121,140079365079
"IL";9;61,2777777777777
"BY";34;1
"DK";12;19,0535714285714
"NL";24;68,2107142857143
"TR";1;35,2458333333333
"DE";34;988,637902837906
"NL";10;153,065277777778
"SE";27;146,373809523809
"CN";1;41762,403173199
"DE";11;168,37218013468
"FR";26;358,27867965368
"CH";26;145,411002886003
"AU";25;209,072619047619
"AU";32;228,55
"AT";13;76,0809523809524
"LI";13;9,48531746031746
"AT";30;60,0666666666667
"LI";30;3,29166666666667
"PL";4;59,9992063492064
"AT";11;13,9597222222222
"AT";15;26,9505952380953
"FR";11;104,321759259259
"AU";11;90,2928932178935
"NL";13;185,4682997558
"VE";13;1,33333333333333
"NL";31;112,18253968254
"VE";31;2
"KR";6;10470,7805786811
"KR";13;3596,66040348535
"US";6;23026,566485662
"US";10;5468,96340503107
"DE";17;358,656183261181
"FR";9;239,925357142857
"AT";26;86,9718253968255
"GB";1;528,630158730157
"GB";16;106,810317058672
"AT";16;40,1630494505495
"DE";18;136,619227994228
"NL";14;51,6654100529101
