"ctry_code";"techn_field_nr";"n_tech_reg"
"FR";35;563,261111111111
"FR";13;229,747222222222
"FR";28;179,7
"FR";34;238,866666666667
"US";18;459,913029100529
"DE";1;2330,18055555554
"US";29;2226,04722222222
"NL";10;40,3333333333333
"FR";1;611,597619047618
"FR";20;255,039206349206
"FR";23;297,662817460318
"FR";10;441,553968253968
"FR";32;513,477777777777
"US";11;359,787698412697
"US";14;2161,26607142857
"US";15;705,185251322751
"US";16;1016,73101851851
"JP";10;14038,0839285726
"JP";15;1592,55238095237
"JP";23;5339,11785714304
"DE";10;1726,41666666666
"DE";29;1920,91277777777
"BE";14;54,693253968254
"BE";15;18,5099206349206
"BE";16;21,5988095238095
"FR";17;146,623134920635
"IT";25;386,666666666667
"FR";11;41,6888888888889
"FR";14;336,447023809524
"DE";31;2075,60555555555
"FR";33;207
"CA";35;392,108333333334
"JP";27;11123,6797619053
"FI";29;163,25
"US";13;2157,94107142857
"IT";1;209,2
"AR";15;0,1
"AR";16;1,1
"DE";32;2384,61666666667
"US";23;1598,98835978836
"US";8;862,210256410258
"CA";26;207,7
"CA";29;305,775
"US";34;1199,75476190476
"DE";25;1828,04841269841
"US";19;1687,82976190475
"IT";34;283,35
"DK";18;18
"US";10;2228,5609126984
"DK";29;104,25
"DK";34;34,2916666666667
"DK";35;95,25
"DE";16;511,464682539681
"JP";20;10247,4738095246
"DE";13;1093,28452380953
"DE";14;1285,89153439153
"DE";17;869,802857142861
"JP";2;23391,169047618
"JP";9;18860,1841269856
"JP";24;2938,44206349206
"FI";1;66,1666666666667
"FI";30;107
"US";21;856,640873015872
"GB";21;82,613492063492
"US";28;902,545238095239
"GB";28;102,731349206349
"US";32;1697,38055555555
"GB";32;368,852777777778
"US";33;1562,41666666666
"GB";33;290,241666666667
"DE";35;2397,24166666667
"US";25;1645,50079365079
"DK";2;20,8333333333333
"IT";33;216,583333333333
"IL";25;8,5
"JP";17;5659,37658730164
"JP";19;4872,54841269854
"JP";35;6864,70476190472
"US";20;1084,3878968254
"US";26;1678,73154761904
"US";31;1631,54404761905
"US";17;1564,52023809523
"US";9;1297,37738095238
"US";35;1938,89484126983
"JP";32;9267,47142857157
"JP";31;6600,91428571433
"DE";23;1313,67785714285
"DE";26;1854,85972222222
"GB";19;174,766666666667
"AT";31;48,4583333333333
"ES";27;7,75
"FR";25;440,4
"FR";31;455,475
"FR";15;132,897222222222
"FR";16;176,251984126984
"LU";32;5,33333333333333
"CH";26;219
"IT";20;110,083333333333
"LU";25;4,08333333333333
"LU";29;5,33333333333333
"DE";20;866,111388888889
"DE";27;1504,90317460317
"DE";19;1091,51369047619
"DK";13;68,6071428571429
"GB";14;205,743055555556
"DE";28;1124,59563492063
"US";1;2664,68571428571
"US";5;659,124999999999
"DE";18;218,066931216931
"DE";33;1048,59285714286
"US";27;1187,83333333333
"JP";34;4166,56666666668
"MC";23;1
"DE";9;665,695634920635
"DE";24;805,720634920635
"FR";21;138,427301587302
"DE";15;267,057804232803
"CH";15;32,056746031746
"CH";18;38,9666666666667
"DE";30;989,855357142858
"CH";1;149,983333333333
"DE";12;513,559523809524
"DE";3;570,249999999999
"DE";4;137,166666666667
"JP";26;11369,357142858
"JP";1;21727,6650793642
"CH";11;10,931746031746
"BE";11;6,52380952380952
"CH";14;148,861507936508
"CH";16;69,9630952380953
