"ctry_code";"techn_field_nr";"RCA_Gen";"RCA_AI";"Period"
"AR";"1";0;NA;"1980"
"AT";"1";0,553275342763692;NA;"1980"
"AU";"1";0,463288461827115;NA;"1980"
"BE";"1";0,627937166097551;NA;"1980"
"BG";"1";0,812926193044631;NA;"1980"
"BI";"1";11,9831342530283;NA;"1980"
"BR";"1";0,673375468689447;NA;"1980"
"BS";"1";0;NA;"1980"
"CA";"1";0,736834317551757;NA;"1980"
"CH";"1";0,646637055918129;NA;"1980"
"CN";"1";1,71187632186118;NA;"1980"
"CO";"1";1,99718904217138;NA;"1980"
"DD";"1";1,18143577142532;NA;"1980"
"DE";"1";0,844209261434238;NA;"1980"
"DK";"1";0,681828407000186;NA;"1980"
"ES";"1";0,196444823820136;NA;"1980"
"FI";"1";0,4349849670303;NA;"1980"
"FR";"1";0,647422652945882;NA;"1980"
"GB";"1";0,493995540724463;NA;"1980"
"GR";"1";0;NA;"1980"
"HK";"1";1,08937584118439;NA;"1980"
"HU";"1";0,586647321242564;NA;"1980"
"IE";"1";0;NA;"1980"
"IL";"1";1,17481708363022;NA;"1980"
"IN";"1";0,695267175090377;NA;"1980"
"IS";"1";0;NA;"1980"
"IT";"1";0,485096777940733;NA;"1980"
"JP";"1";1,16984877065147;NA;"1980"
"KR";"1";0,744134675241584;NA;"1980"
"LI";"1";0,332864840361896;NA;"1980"
"LU";"1";0,122276880132941;NA;"1980"
"MA";"1";0;NA;"1980"
"ML";"1";5,99156712651413;NA;"1980"
"MX";"1";0,794063113152475;NA;"1980"
"NL";"1";0,788652345720324;NA;"1980"
"NO";"1";0,64451120484415;NA;"1980"
"NZ";"1";0,488340894324036;NA;"1980"
"PL";"1";0,887260111416081;NA;"1980"
"PT";"1";0;NA;"1980"
"RO";"1";0,720202855178382;NA;"1980"
"SE";"1";0,708768600935647;NA;"1980"
"ST";"1";0;NA;"1980"
"SU";"1";1,01087951519395;NA;"1980"
"TW";"1";0,991086291603841;NA;"1980"
"US";"1";0,785153019909589;NA;"1980"
"YU";"1";0,798875616868551;NA;"1980"
"ZA";"1";0,562315361388058;NA;"1980"
"VE";"1";0;NA;"1980"
"TH";"1";0;NA;"1980"
"CL";"1";0;NA;"1980"
"EG";"1";0;NA;"1980"
"MY";"1";0;NA;"1980"
"SA";"1";0;NA;"1980"
"CS";"1";0;NA;"1980"
"EC";"1";0;NA;"1980"
"SG";"1";0;NA;"1980"
"CR";"1";0;NA;"1980"
"CZ";"1";0;NA;"1980"
"LB";"1";0;NA;"1980"
"TN";"1";0;NA;"1980"
"PK";"1";0;NA;"1980"
"KE";"1";0;NA;"1980"
"MC";"1";0;NA;"1980"
"PE";"1";0;NA;"1980"
"DZ";"1";0;NA;"1980"
"PA";"1";0;NA;"1980"
"PH";"1";0;NA;"1980"
"TZ";"1";0;NA;"1980"
"NG";"1";0;NA;"1980"
"KW";"1";0;NA;"1980"
"CI";"1";0;NA;"1980"
"LK";"1";0;NA;"1980"
"RU";"1";0;NA;"1980"
"BO";"1";0;NA;"1980"
"SL";"1";0;NA;"1980"
"KY";"1";0;NA;"1980"
"BB";"1";0;NA;"1980"
"CY";"1";0;NA;"1980"
"PY";"1";0;NA;"1980"
"TR";"1";0;NA;"1980"
"AD";"1";0;NA;"1980"
"CU";"1";0;NA;"1980"
"SV";"1";0;NA;"1980"
"ID";"1";0;NA;"1980"
"MT";"1";0;NA;"1980"
"SZ";"1";0;NA;"1980"
"HT";"1";0;NA;"1980"
"KP";"1";0;NA;"1980"
"IR";"1";0;NA;"1980"
"AR";"2";0;NA;"1980"
"AT";"2";0,4376456111893;NA;"1980"
"AU";"2";0,305940408889122;NA;"1980"
"BE";"2";0,199655434233804;NA;"1980"
"BG";"2";0,459508486829558;NA;"1980"
"BI";"2";0;NA;"1980"
"BR";"2";0,450084604819108;NA;"1980"
"BS";"2";0;NA;"1980"
"CA";"2";0,455663408291778;NA;"1980"
"CH";"2";0,388197971656481;NA;"1980"
"CN";"2";0;NA;"1980"
