"ctry_code";"techn_field_nr";"n_tech_reg"
"DE";1;2340,65972222222
"JP";1;18638,8011904771
"US";21;863,44722222222
"US";25;1801,73333333333
"US";29;2148,01785714286
"MC";13;3,5
"JP";31;5291,02619047622
"DE";27;1575,10873015873
"DE";20;806,035714285715
"FR";3;97,375
"JP";13;2406,42182539683
"FR";13;81,9583333333333
"FR";31;254,566666666667
"DE";35;2188,30119047619
"FR";26;128,2
"US";14;2137,00768398268
"US";16;644,104112554112
"US";19;1828,95018037518
"IT";31;263,833333333333
"JP";27;9048,34999999991
"NL";35;49,5
"NL";29;54,35
"DK";10;29,7
"DK";20;17,7
"DK";29;75,1
"IT";30;220,816666666667
"US";1;2644,23333333334
"US";15;362,392406204907
"JP";32;5684,48333333339
"JP";35;5790,30952380947
"DE";26;1639,92063492063
"DE";31;1749,96666666667
"US";27;1383,66388888889
"JP";30;6840,99166666664
"US";3;708,598611111111
"US";10;2227,20416666666
"JP";25;6323,20833333334
"FR";29;229,957142857143
"US";20;1034,63888888889
"US";23;1600,21962481964
"JP";26;8835,47063492053
"DE";33;1048,06666666667
"DE";32;2207,70277777778
"US";2;1235,85555555555
"US";31;1703,975
"US";33;1349,03888888889
"US";30;1042,37222222222
"CH";23;115,116666666667
"US";35;2003,14722222222
"DE";16;372,160894660895
"DE";19;1238,80357142857
"NL";14;32,3333333333333
"NL";17;30,65
"NL";19;23,7333333333333
"MC";34;3
"FR";25;196,45
"GB";2;110,811111111111
"GB";9;84,325
"GB";19;127,144444444444
"DE";13;755,975036075036
"US";32;1516,32023809524
"DE";30;1212,4170995671
"US";18;379,463888888888
"US";26;1590,50833333333
"IE";20;0,125
"IE";21;1,1875
"IE";23;1,125
"IE";26;0,125
"DE";28;1097,05995670996
"DE";34;795,7670995671
"DE";29;1638,94801587301
"SE";29;192
"SE";35;317,5
"CH";10;168,133333333333
"JP";8;9109,95833333356
"JP";20;7727,91666666657
"DE";5;425,474999999999
"JP";17;3983,68730158731
"JP";19;4644,6900793651
"US";6;943,344444444447
"FI";15;8,66666666666667
"FI";16;4,66666666666667
"SE";14;25,3666666666667
"SE";16;19,5333333333333
"US";4;172,166666666667
"US";12;737,474999999999
"JP";14;3262,9629509379
"JP";16;1349,40263347763
"GB";29;204,470833333333
"AT";29;50,1166666666667
"AT";31;42,75
"AT";35;80,3527777777778
"AT";28;20,8277777777778
"AT";3;10,5
"AT";26;66,0833333333334
"AT";20;41,1944444444444
"AT";33;80,4166666666667
"AT";32;53,8805555555556
"AT";17;13,0416666666667
"AT";19;38,0583333333333
"AT";1;65,7083333333334
"AT";30;54,9166666666667
"AT";23;26,3666666666667
"AT";2;19,25
"DD";25;7,66666666666667
"DD";32;2,5
"AT";25;27,9166666666667
"IT";14;213,705555555555
"IT";16;73,2472222222222
"AT";16;7,74285714285714
"AT";27;29,4833333333333
"SU";26;110,833333333333
"AT";5;9,25
"ST";31;1
"HU";14;134,866666666666
"HU";19;57,7416666666667
"AT";24;14,5
"HU";20;45,8333333333334
"AT";18;6,16666666666667
"SU";35;28,5
"AT";13;17,3333333333333
"ST";35;4
"ST";17;1
"AT";6;5,83333333333333
"AT";9;7,875
"AT";12;10,1583333333333
"FI";14;22,1166666666667
"FI";19;21,8333333333333
"AT";34;17
"AT";4;1,5
"AT";21;13,0666666666667
"ST";12;1
"SU";23;47,5833333333333
"AT";14;15,0845238095238
"FR";27;195,907936507937
"PA";14;7,20833333333333
"SU";20;70,8333333333333
"ST";30;1
"AT";10;27,0833333333333
"SU";14;12,3333333333333
"SU";17;18,9166666666667
"CH";33;122,016666666667
"YU";29;3,33333333333333
"HU";21;16,3333333333333
"ST";20;1,66666666666667
"CH";16;57,0472222222223
"CH";17;24,0333333333333
"CH";29;109,958333333333
"SU";10;64,6666666666668
"HU";16;51,0000000000002
"ST";19;2
"AT";15;3,94444444444444
"ST";27;1,5
"DE";14;1400,57633477633
"HU";26;58,3333333333334
"HU";29;98,2833333333334
"LI";31;6,63333333333333
"LI";32;3,13333333333333
"ST";10;3
"FR";14;180,066666666666
"FR";19;97,7500000000001
"FR";28;89,2083333333334
"AT";8;4,08333333333333
"GB";14;148,069444444445
"GB";16;54,75
"CH";26;166,95
"CH";34;93,1416666666667
"US";8;637,263888888888
"FR";30;192,5
"JP";29;6606,91230158746
"HU";18;51,0000000000001
"ST";1;1,08333333333333
"US";17;1401,11507936508
"CH";15;21,4222222222222
"ST";26;0,75
"IT";17;49,4166666666667
"IT";20;173,45
"IT";23;147,45
"DD";28;8,33333333333333
"HU";17;31,8666666666667
"DE";15;193,425
"AU";35;279,033333333333
"AU";17;39,5833333333333
"AU";32;161,666666666667
"AU";2;41,8666666666667
"AU";25;149,333333333333
"AU";29;200,345833333333
"AU";14;104,666666666667
"AU";19;84,0833333333333
"AU";30;95,6666666666666
"AU";12;38,0833333333334
"AU";31;136,166666666667
"AU";24;45,5333333333333
"AU";26;121,45
"TW";29;9,5
"AU";33;139,416666666667
"AU";20;89,8333333333333
"AU";16;43,4166666666666
"FR";16;97,4583333333333
"AU";3;17
"AU";23;114,7
"AU";1;108,083333333333
"NL";32;23,4833333333333
"ZA";32;102,783333333333
"DK";21;5,16666666666667
"DK";35;79
"AU";27;63,8333333333334
"AU";21;43,8166666666667
"CS";23;9,33333333333333
"AU";18;44,8666666666667
"FI";26;61,5
"AU";10;101,5125
"AU";13;76,9166666666666
"AU";6;15,3333333333333
"JP";34;3333,59285714286
"AU";9;28,6166666666667
"US";9;1241,62202380953
"AU";34;71,25
"CA";26;284,433333333333
"AU";15;12,95
"AU";4;1,75
"GB";3;80,4
"GB";4;19,3333333333333
"IL";29;12,1666666666667
"AU";5;9,5
"SE";28;115,6
"US";24;574,494444444445
"GR";31;0,5
"GR";35;1,83333333333333
"TW";34;21,6666666666667
"AU";11;8,25
"CA";1;344,559523809524
