"ctry_code";"techn_field_nr";"n_tech_reg"
"IL";16;114,601587301587
"FI";25;1171,63333333333
"SE";17;120,709523809524
"FI";23;718,419047619048
"LU";35;77,9722222222222
"CH";19;876,546666666668
"NL";14;335,840277777778
"NL";17;261,408928571428
"NL";19;321,49623015873
"NL";13;215,530555555555
"AT";31;406,575
"ES";27;89,5
"CH";32;892,611111111112
"NL";16;132,79503968254
"CH";26;1803,37
"MC";34;7,75
"IT";28;2764,85277777778
"ES";13;82,5833333333333
"FR";15;873,785515873018
"FR";8;724,234523809525
"LU";32;59,102380952381
"IE";13;28,25
"CH";12;524,004761904763
"ES";20;87,3
"IT";20;1144,07916666667
"CH";14;1423,05599206349
"FR";24;770,229437229435
"LU";25;63,2
"LU";29;42,7833333333334
"IT";19;968,033928571432
"GB";11;240,994444444444
"GB";14;1969,25023448773
"GB";15;461,197619047617
"CH";21;513,619444444442
"AT";25;332,094444444445
"AT";18;66,5444444444445
"AT";24;205,575
"AT";30;317,447222222223
"IE";20;0,875
"IE";21;7,47916666666667
"IE";23;17,0041666666667
"IE";26;24,9916666666667
"NL";28;156,544444444444
"BE";30;141,611111111111
"SE";35;3169,14682539684
"AU";1;896,527380952383
"AU";12;444,502380952381
"AU";19;717,173015873017
"AU";28;339,697619047619
"AU";29;2141,39107142856
"AU";33;1749,11904761905
"AU";35;2919,05238095239
"GR";24;14
"GR";32;29,75
"MC";23;7
"FI";13;494,752380952381
"SE";13;1440,07162698412
"AU";31;1328,98333333333
"CH";15;262,675396825396
"CH";18;362,608333333333
"CH";20;715,098611111113
"HU";31;676,066666666666
"ES";19;72,0861111111111
"ES";21;33,9662698412698
"GB";35;4690,3582010582
"ZA";35;2144,52222222222
"CN";14;395,202777777777
"CN";19;968,135531135536
"CN";20;1576,51648351648
"DE";4;1419,30476190476
"DE";5;3891,80833333335
"IE";3;9,20833333333334
"IE";4;1,91666666666667
"NO";29;751,05
"JP";4;21048,2095238094
"SE";3;356,442857142857
"JP";5;49628,1734126917
"AU";26;1055,24285714286
"IT";14;2302,2349206349
"IT";16;921,629761904772
"CA";6;557,634523809523
"CA";12;686,36388888889
"CA";31;1824,65119047619
"FR";4;386,416666666667
"GB";18;512,722817460317
"GB";3;1174,86122100122
"CA";3;1030,69126984127
"GB";5;713,199603174603
"GB";6;873,413210678211
"AT";14;292,729731842232
"GB";25;3057,05277777779
"NL";9;134,422222222222
"NL";20;163,275
"CH";11;95,5908730158731
"BE";11;55,745634920635
"AT";1;535,570833333334
"TW";1;255,466666666667
"TW";26;236,666666666667
"TW";31;128,666666666667
"GB";4;292,313095238095
"GB";12;1451,66634920634
"HU";20;663,800000000002
"CA";13;1460,37341269841
"FI";15;90,3940476190478
"FI";16;76,5678571428572
"SE";14;322,454365079366
"SE";16;418,192063492063
"IT";11;84,3944444444446
"HU";14;1428,15700280107
"HU";16;632,056349206348
"GB";1;2865,89365079366
"GB";13;1702,55952380952
"IL";3;37,7918192918193
"US";7;298,111309523809
"BR";15;121,259523809524
"DE";8;2370,36972222221
"ES";29;218,05
"ES";34;86,1190476190476
"ES";31;143,875
"AT";27;400,716666666667
"AT";29;575,833055555556
"AT";35;854,797222222224
"AT";20;437,254166666666
"AT";32;518,291666666667
"AT";21;130,934444444444
"AT";19;267,176441798942
"AT";34;162,280555555556
"AT";17;161,068981481481
"MX";14;69,8523809523809
"MX";15;14,4547619047619
"BE";18;71,1535714285714
"MX";18;16,9714285714286
"MX";19;78,3214285714286
"DD";10;62,3333333333334
"AT";13;237,725
"CA";18;561,092857142856
"AU";15;243,926785714286
"AU";16;423,473412698412
"AT";2;177,316666666667
"AT";12;99,6464285714286
"AT";3;120,443528693529
"ST";10;39,2083333333333
"SU";25;114,383333333333
"HU";19;1056,99033613445
"ES";33;190,583333333333
"SU";23;388,097619047616
"SU";24;131,816666666667
"SU";26;665,016666666664
"HU";35;1918,97803030302
"AT";9;121,155092592593
"DD";25;34
"DD";32;23,5
"AT";6;54,4777777777778
"HU";15;274,184920634918
"SE";1;1437,51091269841
"NL";23;320,537301587301
"AT";8;24,6594444444444
"DD";19;43,9150560224091
"AT";5;84,4444444444445
"ST";31;9,29166666666667
"ST";19;19
"NO";1;287,470833333333
"HU";32;426,699999999999
"ST";11;3,33333333333333
"ST";1;13,8333333333333
"ST";35;21
"NL";2;289,841071428571
"NL";31;277,470833333333
"DD";28;80,5833333333334
"IT";17;858,682142857148
"SU";35;260,583333333333
"DK";15;303,721031746032
"IT";15;349,428174603174
"ST";17;13,4166666666667
"ST";29;11,3333333333333
"SE";27;1004,00396825397
"SE";31;1874,52361111111
"HU";29;1347,93333333332
"FI";14;185,709523809524
"DK";19;230,238888888889
"ST";23;15,9166666666667
"ST";24;6,58333333333333
"AT";4;15,0833333333333
"HU";28;168,416666666667
"ST";12;1
"SU";20;539,811111111105
"ST";28;4,25
"SU";10;411,524358974356
"SU";11;18,4444444444444
"SU";28;157,833333333333
"ST";27;15,0416666666667
"ST";14;0,916666666666667
"ST";16;2,25
"SU";17;108,630519480519
"SU";8;29,6666666666667
"SU";21;184,723809523809
"PA";14;14,25
"RU";34;1
"SU";2;68,8333333333334
"SU";9;65,2166666666668
"DD";35;25
"RU";9;1
"SU";1;400,199999999996
"NL";5;89,9952380952381
"ST";26;16,1666666666667
"TR";20;0,5
"ST";20;7,16666666666666
"SU";31;151,583333333333
"ST";33;1,5
"ST";30;6,25
"HU";13;434,899999999997
"SU";14;159,5
"LI";28;6,5
"LI";1;15,875
"SU";27;250,299999999999
"HU";27;455,899999999999
"DD";16;21,125
"ST";25;0,875
"YU";29;11,5
"HU";21;288,166666666666
"ST";21;3,25
"HU";34;243,116666666667
"LI";13;18,3333333333333
"FI";26;1043,00555555556
"HU";18;926,999999999998
"BG";1;874,000000000005
"SU";29;238,188247863248
"YU";19;4,33333333333333
"BE";23;201,869523809524
"DD";18;12,75
"SE";26;1917,55119047619
"ES";26;123,033333333333
"HU";1;948,716666666677
"NL";18;144,803968253968
"NL";34;120,369444444444
"ST";18;1,75
"CH";9;527,534325396825
"NL";6;89,0119047619048
"NL";12;69,2202380952381
"ST";2;2,16666666666667
"SE";19;489,767857142856
"HU";26;545,900000000002
"ST";34;5,5
"DD";8;7,99166666666666
"DD";26;59,5666666666668
"LI";35;31,6944444444444
"ST";13;5
"SE";34;674,391666666667
"LI";31;87,7666666666667
"LI";32;10,9333333333333
"BR";20;619,534523809524
"DD";23;38,8611111111111
"AU";30;747,458333333336
"AU";13;842,291666666667
"AU";23;1051,99444444444
"AU";27;785,059523809525
"AU";14;641,584523809526
"AU";18;336,528968253968
"AU";25;1658,04761904761
"AU";32;1802,88333333333
"AU";24;355,630555555556
