"ctry_code";"techn_field_nr";"n_tech_reg"
"JP";1;26409,2637896795
"JP";8;17175,4360660187
"JP";19;6474,76782384337
"FR";2;380,830158730158
"FR";3;426,543956043957
"FR";34;539,92619047619
"DE";25;1843,46825396825
"BE";3;36,0103070175439
"BE";4;27,0394736842105
"BE";10;31,6736111111111
"CH";17;42,8373214285715
"CH";19;92,0534920634922
"CH";20;65,067702020202
"CH";23;98,0873015873017
"CH";28;159,249563492063
"BE";9;121,943253968254
"BE";28;98,4974206349207
"BE";12;8,81666666666667
"US";6;9306,37282238292
"US";10;3983,5534432235
"US";23;1830,61301887925
"US";8;3501,89057539683
"CA";3;287,917658730159
"CA";4;304,456944444445
"US";15;2071,84053460428
"JP";26;10999,9101731609
"DE";9;766,666428571429
"BE";26;14,1583333333333
"BE";27;19,1166666666667
"JP";9;24386,1594841248
"JP";10;15074,510317462
"DE";10;2454,60211640213
"DE";14;1231,25197450697
"US";14;2054,75733881857
"DE";23;1469,47859161794
"BE";13;25,7292063492063
"BE";29;57,8688888888889
"GB";19;147,644275631776
"GB";23;134,524927849928
"GB";28;95,9561507936509
"BE";8;28,9172619047619
"DE";29;1974,87224927848
"DE";35;2591,8253968254
"BE";25;49,8496031746032
"FR";35;839,748214285715
"BE";23;30,4992063492064
"FR";4;294,686904761904
"FR";5;114,375
"CH";10;215,118452380952
"CH";26;128,995
"CH";31;109,098015873016
"US";26;2099,28096320345
"US";3;3828,37444878217
"NZ";1;18,775
"NZ";2;13,3583333333333
"NZ";27;8,7
"NZ";33;38,5666666666667
"NZ";34;17,9833333333333
"US";7;803,586660561665
"US";12;1590,75716242907
"GB";6;394,406848013096
"GB";10;310,575763125763
"DE";26;1967,50626984126
"JP";27;9419,89642857185
"JP";30;8028,56468253966
"JP";32;13465,6579761914
"GB";29;266,80291005291
"GB";31;264,71746031746
"GB";32;491,58611111111
"US";4;3434,18650034176
"US";16;2533,83459535832
"DE";6;862,234523809523
"DE";7;55,1444444444444
"DE";12;947,425396825396
"DE";13;1546,89383572568
"DE";17;823,116878306882
"DE";19;1124,41538179413
"FR";9;241,389285714285
"CH";9;59,245753968254
"FR";14;613,936114117364
"CH";14;92,4656150793652
"FR";19;248,267956349205
"US";21;1212,80899771524
"US";32;3575,37813492065
"NL";10;88,2634920634922
"GB";26;158,080158730159
"CH";30;74,7515873015873
"DE";28;1280,6530952381
"JP";3;12780,940381564
"JP";6;20020,1847344314
"JP";2;25304,5898901071
"IT";6;144,209523809524
"IT";8;132,123611111111
"US";13;5773,2631174843
"US";9;2861,23011904761
"US";11;676,574477513225
"US";17;1188,16050925926
"US";29;2967,71976430977
"DE";15;503,046903559401
"DE";16;731,33863275613
"JP";13;6405,04027777781
"JP";24;6666,71091269866
"JP";14;3857,20388084137
"JP";16;1751,82767857142
"JP";17;6840,67817460357
"US";1;4111,71908369412
"US";5;1641,33849206348
"JP";4;5786,60853174615
"CA";26;189,914682539683
"KR";3;3515,75000000002
"CN";3;205,9
"CN";4;64,0666666666667
"CN";5;59,9277777777779
"JP";21;7433,29375000058
"JP";20;7965,2528769845
"JP";29;12537,4350198424
"AT";21;25,7875
"JP";5;3901,03095238099
"JP";35;17896,4714285726
"JP";25;14052,9548809535
"US";25;2420,88080327079
"CH";25;160,036111111111
"CA";29;391,377579365079
"JP";28;11506,712222223
"JP";31;11217,0297619054
"IT";24;131,266468253968
"IT";25;658,574603174604
"IT";26;391,5
"US";27;1673,56706349206
"DE";1;3136,72336691087
"CA";9;118,930158730159
"CA";25;247,394444444444
"AT";33;72,5277777777778
"BR";18;60,6
"NL";18;87,3948412698413
