"ctry_code";"techn_field_nr";"n_tech_reg"
"US";15;260,980555555556
"US";18;351,422222222223
"US";19;1726,3248015873
"US";24;606,20119047619
"FR";29;86,1011904761904
"FR";32;55,125
"DE";32;2057,93333333333
"DE";35;2056,24999999999
"JP";10;8367,47222222219
"JP";12;2757,15555555556
"JP";29;5952,33333333338
"AT";25;33,7
"AT";27;31,1666666666667
"AT";31;32,1666666666667
"AT";1;46,0833333333333
"AT";10;27,25
"AT";20;57,6944444444445
"AT";30;26,6666666666667
"AT";35;95,2500000000001
"SU";35;24,0833333333333
"AT";19;21,6666666666667
"AT";17;17,9166666666667
"AT";33;69,1666666666667
"AT";26;51,8333333333333
"JP";14;2984,29999999995
"JP";16;1011,09444444445
"AT";3;15,5
"SU";1;84,0833333333335
"HU";14;142,166666666666
"HU";16;24,3333333333334
"AT";32;39,8333333333333
"AT";23;27,7777777777778
"SU";23;48,3333333333334
"AT";12;2,5
"DE";23;1059,59464285714
"DE";26;1436,03333333333
"DE";29;1606,37777777777
"PA";14;5
"DE";14;1125,53571428572
"AT";2;28,2
"HU";31;34,3333333333334
"AT";9;29,8333333333333
"BE";29;15
"ST";25;0,5
"SU";26;95,8333333333333
"DE";20;717,311507936505
"AT";14;34,535119047619
"US";30;1147,46904761905
"ST";32;1
"AT";34;15,0833333333333
"AT";11;1,33333333333333
"US";14;2075,42638888888
"IT";17;61,0833333333334
"IT";20;49,2555555555556
"IT";23;45,6388888888889
"AT";24;15,0277777777778
"AT";29;40,2833333333333
"NL";2;14,9880952380952
"NL";6;8,32142857142857
"NL";34;9
"AT";5;8,03333333333333
"ST";29;3
"CH";33;109,833333333333
"IT";14;178,166666666667
"IT";19;54,4166666666668
"US";23;1529,78670634921
"AT";13;15,5833333333333
"AT";15;2,83333333333333
"AT";16;20,9934523809524
"CH";28;149,441666666667
"CH";31;119,4
"DE";10;1449,00833333333
"DE";13;728,451190476191
"HU";19;30
"AT";28;29,5
"GB";12;22,0333333333333
"GB";33;26,6666666666667
"US";25;1854,10833333333
"US";28;978,383333333335
"FI";28;63,3333333333333
"FI";34;19,1666666666667
"US";13;1363,45813492063
"AT";21;8,75
"PA";16;3
"DE";31;1622,24166666666
"DE";30;976,625
"DD";15;2
"DD";16;1,58333333333333
"DE";33;1032,11666666667
"DD";14;2,58333333333333
"US";20;1036,99722222222
"CH";32;80,1666666666667
"US";16;489,06507936508
"DE";34;818,416666666667
"SU";8;14,0333333333333
"SU";6;12,5
"AT";18;2,75
"FR";25;79,8166666666666
"FR";14;104,616666666667
"DE";1;2266,43333333334
"DE";9;809,341666666671
"DE";17;643,742857142857
"SU";20;84,2500000000003
"CH";14;204,533333333333
"CH";19;114,730555555556
"AT";6;3,2
"BE";20;52,25
"BE";26;22,9666666666667
"DE";3;682,575000000002
"DE";6;211,083333333333
"FR";34;38,8666666666667
"ST";20;0,5
"FR";20;50,5
"FR";30;37,9166666666667
"DE";19;898,645634920638
"GB";11;9,75
"US";35;2094,11666666667
"JP";19;3327,83571428567
"SU";5;12,6428571428571
"SE";14;18,9166666666667
"AU";20;74,1666666666667
"AU";23;104,958333333333
"AU";29;208,447916666667
"DE";21;397,373412698412
"AU";25;172,333333333333
"AU";3;31,6666666666667
"AU";14;98,0277777777777
"AU";16;46,4166666666667
"AU";32;162,5
"AU";19;83,0000000000002
"AU";33;138,166666666667
"AU";35;263,083333333333
"AU";1;91,8333333333334
"AU";13;60,8333333333334
"AU";2;35,1979166666667
"AU";12;46,5
"AU";9;42,9166666666667
"AU";31;156,583333333333
"SU";25;20,9666666666667
"AU";26;114,364583333333
"AU";28;57,5833333333334
"AU";34;91,6944444444444
"AU";27;76,25
"AU";30;92,25
"ST";3;0,5
"AU";21;35,5833333333333
"AU";10;85,53125
"AU";24;29,2916666666667
"AU";17;38,5833333333333
"US";34;1227,43571428571
"AU";11;7,08333333333333
"AU";15;10,5333333333333
"AU";18;36,0277777777778
"DE";24;480,205555555555
"SE";15;10,8333333333333
"AU";5;14,1666666666667
"BE";14;32,2
"BE";16;7,5
"US";1;2684,61388888889
"US";27;1328,38333333333
"US";10;2206,5361111111
"US";2;955,549999999999
"US";5;611,76746031746
"US";9;1196,70555555556
"US";29;2282,92757936507
"AU";6;20
"US";26;1649,46666666666
"US";17;1224,89583333333
"AU";4;3,66666666666667
"US";33;1714,425
