"ctry_code";"techn_field_nr";"n_tech_reg"
"KR";8;120091,503713892
"KR";2;86018,1745394939
"KR";18;35773,9484772184
"KR";33;49913,5119859254
"KR";26;38977,2887855149
"KR";28;18399,6893981497
"KR";6;110465,359770283
"KR";15;19334,8962489329
"KR";19;26046,6655704806
"KR";35;88715,3387239304
"KR";1;129932,243222296
"KR";10;54094,0838369629
"KR";3;66334,6688965337
"KR";23;34882,9634980622
"KR";21;21551,9921667964
"IN";21;280,690937208215
"KR";9;64670,079905333
"KR";29;52163,7730116882
"KR";34;51733,6927188463
"KR";30;38977,9433409659
"KR";32;89143,4073785415
"JP";32;184481,962201798
"KR";25;36408,3676968798
"KR";16;22268,0091456766
"KR";17;15107,7353600145
"KR";5;9044,61075757606
"KR";4;68587,5033720104
"KR";13;43839,9757853143
"KR";24;32217,3906796562
"KR";20;31845,0645744495
"KR";31;35541,231109162
"KR";12;25649,2539483618
"KR";22;4197,25136363637
"US";8;57297,8786230581
"KR";14;20487,6481491046
"KR";27;32082,1268037496
"KR";7;56986,9744524362
"IN";1;1573,41149290523
"KR";11;6091,60293891348
"IN";22;58,8810140091391
"UA";2;65,9793650793651
"RU";2;2348,09260461759
"CN";6;467973,04592327
"JP";19;57223,9215329237
"CN";29;334557,007517487
"CA";26;1989,4861001182
"CA";9;1834,94601250199
"DE";32;81215,6484738256
"US";34;41273,3817401483
"US";28;14105,383991451
"US";29;48270,7553530711
"US";35;53169,3700889788
"US";26;32360,3887382281
"US";10;70989,1105205174
"US";21;26279,6623074615
"US";33;63552,5517339941
"US";2;65904,7433788199
"CA";35;6945,56634107641
"US";23;28987,0594501193
"TW";35;2905,17182539683
"TW";23;1557,64278499277
"US";1;79586,3408057267
"US";25;39650,631955664
"US";30;15412,7500361611
"JP";21;70982,1888191313
"US";31;36047,8894194727
"TW";8;20239,1996988694
"TW";21;2308,3930218855
"US";12;43093,6721210512
"CA";27;2496,10070391754
"US";24;16577,650556899
"TW";33;6096,74467893216
"TW";32;3796,54642857144
"FR";10;10730,215301726
"US";20;11382,7849923254
"CA";31;2374,02248556997
"JP";26;81263,3475151477
"JP";31;114293,437824678
"DK";25;638,734920634918
"US";32;61031,7820929904
"CA";1;4222,89762820513
"CA";2;3512,44544057392
"AU";12;2020,29739057238
"DE";6;23586,2666559467
"JP";24;50586,6630262853
"JP";23;51436,296635123
"JP";9;260718,353223537
"TW";26;5577,70085631956
"TW";31;3915,20853174605
"US";13;128224,066741532
"US";6;284435,892014179
"TW";25;2383,44325396825
"JP";1;326615,489935719
"JP";8;194776,705206981
"CH";17;476,898314787064
"CH";19;788,949990718351
"US";14;26223,0238575573
"US";19;22416,7969367003
"CA";19;1559,37577074371
"FR";31;10495,7686815964
"FR";32;27571,4691051984
"US";27;38551,8927080426
"GB";32;6148,84840782578
"US";7;66425,7419519593
"GB";31;3782,09332538773
"US";9;33735,7954138769
"JP";2;223442,22699311
"CA";3;4892,86636125895
"AU";28;1882,13434981686
"AU";34;2367,96994810745
"JP";10;163457,706102305
"GB";2;3536,02011212473
"GB";9;1659,97139018387
"TW";2;9443,29954485361
"CA";10;3519,67726047819
"CA";13;3828,1945725176
"US";3;62758,1757534436
"US";4;107300,535730301
"US";5;22666,7191013591
"DE";2;11615,8782944381
"JP";6;231079,384693853
"SE";9;432,43365079365
"GB";23;1956,27871757871
"GB";27;4065,38279885149
"CA";30;1429,95304834055
"DE";25;22343,6556647976
"SG";8;2238,73306970805
"SE";21;458,818335137084
"SE";32;3969,8873136123
"TW";10;3519,53692834939
"JP";12;72374,8701209617
"IN";3;1629,42717407591
"IN";4;5930,17914047696
"NL";3;902,428607503613
"NL";4;1438,42619047618
"SE";6;3075,30533797901
"JP";3;118414,178165127
"US";16;44447,5847210721
"TW";34;3109,10119949495
"US";17;11898,2375243348
"JP";25;123553,497065889
"CN";1;462218,567963637
"TW";1;14655,9314291739
"IN";19;858,497278994159
"CH";1;3266,9301087801
"CH";8;729,508971531756
"CN";12;176862,929770706
"CH";5;426,142412217411
"CN";2;147697,957377545
"TW";6;14197,1871604801
"CA";4;8494,16510202119
"FR";4;8424,64410427533
"CN";3;126641,944442321
"CN";4;317149,871965474
"JP";13;100009,615864819
"TW";12;2103,21688866687
"DE";5;4281,87830687831
"IL";3;2000,38683261182
"IL";4;4037,48402277539
"GB";6;12867,4858799593
"US";22;2398,03589974042
"TW";20;551,841340788839
"IL";16;1135,26812390825
"US";18;12773,9233294847
"HK";21;116,02003968254
"HK";29;188,642063492064
"JP";5;32894,7799530973
"NL";9;2022,12022468272
"TW";3;4035,35761423761
"TW";4;3662,13299963923
"JP";14;36071,4441293224
"JP";15;20863,9545718354
"JP";16;20554,5236619045
"JP";18;29031,945559481
"US";11;10162,5443826127
"US";15;32671,7030547269
"TW";22;292,538412698413
"ES";2;577,617976190474
"ES";3;731,99821567322
"ES";4;1204,32451437452
"ES";6;1670,55362222247
"ES";7;434,294083694082
"GR";16;385,436904761905
"SE";17;215,536075036074
"DE";21;9269,76933773646
"FR";35;11774,5593796023
"CA";34;2739,64523869649
"FR";9;3412,1052368927
"FR";17;1864,98831647925
"FR";29;8140,94767736912
"AU";2;1718,32181776556
"AU";3;1311,73883597883
"AU";6;5375,98258038026
"CN";9;96975,4520165102
"NL";1;2376,71673340548
"CL";6;83,7678571428571
"CN";33;155231,761987018
"SE";3;2819,16114972257
"TW";9;5678,17805763676
"IN";2;1250,93428009856
"FR";3;4965,04081751312
"FR";5;1697,88653337403
"FR";13;8326,3181048498
"FR";34;6516,66572751323
"FR";27;10699,2894906877
"FR";19;2960,20396859134
"IT";19;672,301622704637
"IT";35;3089,87103811222
"SE";19;300,019889832389
"JP";30;73491,6134758454
"RU";1;11836,2633674672
"GB";24;1497,53496734746
"SE";20;505,781547619045
"CH";20;623,005263347761
"AU";20;669,958233618235
"CA";32;4364,90842869437
"BE";23;452,342338448587
"CA";16;2145,79668951181
"CR";18;5,025
"FR";1;13314,1311265134
"FR";8;4451,41622622601
"IL";11;185,345782697695
"IL";23;284,816095478595
"DE";8;14552,4936843636
"CA";8;823,623713508717
"DE";30;12942,4666844277
"RU";14;5173,21646131651
"RU";16;12625,0328447106
"SE";16;741,536574212723
"IT";14;862,057146224882
"IT";16;1702,4914509085
"IT";13;2770,56465859916
"DE";13;24271,6899729379
"DK";10;671,774913697413
"DK";27;1638,38927242348
"CH";3;562,157514800013
"CH";4;1078,5665494228
"CH";25;2588,00907976283
"SE";2;1433,96568154069
"CA";6;14499,8153924631
"JP";17;58168,3499115662
"JP";33;191179,863753864
"FR";7;1982,96751248422
"FR";6;12491,9511031875
"FI";6;3796,21142487144
"JP";4;71139,1949110298
"TW";28;1048,87841810967
"DE";3;9082,48314187825
"DE";10;40186,7485118607
"DE";4;13462,068531832
"DE";14;9969,16340683493
"DE";16;6433,20360551125
"IT";6;2341,99206892644
"JP";7;49826,1610678016
"BE";34;347,017935305435
"CH";10;5947,14514756351
"SE";4;6874,96633389002
"SE";14;401,206726550635
"SE";15;390,978633199159
"AU";16;4357,3911928078
"AU";29;2572,50409964432
"GB";8;1466,87815729522
"DE";26;25761,9845077591
"DE";27;40764,1329496654
"DE";31;48849,759140278
"GB";4;7147,67357867475
"IT";18;723,804831626705
"SI";14;116,041931216931
