"ctry_code";"Rel_density";"Period"
"KZ";38;"2004-2008"
"LB";32;"2004-2008"
"LI";43;"2004-2008"
"LK";41;"2004-2008"
"LT";50;"2004-2008"
"LU";28;"2004-2008"
"LV";55;"2004-2008"
"LY";2;"2004-2008"
"MA";30;"2004-2008"
"MC";29;"2004-2008"
"MD";41;"2004-2008"
"ME";22;"2004-2008"
"MK";41;"2004-2008"
"ML";24;"2004-2008"
"MN";23;"2004-2008"
"MO";29;"2004-2008"
"MT";37;"2004-2008"
"MU";26;"2004-2008"
"MX";62;"2004-2008"
"MY";31;"2004-2008"
"NG";20;"2004-2008"
"NL";41;"2004-2008"
"NO";34;"2004-2008"
"NZ";38;"2004-2008"
"PA";56;"2004-2008"
"PE";41;"2004-2008"
"PH";39;"2004-2008"
"PK";41;"2004-2008"
"PL";58;"2004-2008"
"PT";62;"2004-2008"
"RO";61;"2004-2008"
"RS";50;"2004-2008"
"RU";45;"2004-2008"
"SA";42;"2004-2008"
"SC";9;"2004-2008"
"SE";40;"2004-2008"
"SG";30;"2004-2008"
"SI";52;"2004-2008"
"SK";52;"2004-2008"
"SL";19;"2004-2008"
"SM";19;"2004-2008"
"SY";20;"2004-2008"
"TH";53;"2004-2008"
"TN";26;"2004-2008"
"TR";61;"2004-2008"
"TW";26;"2004-2008"
"UA";47;"2004-2008"
"US";43;"2004-2008"
"UY";28;"2004-2008"
"UZ";34;"2004-2008"
"VE";35;"2004-2008"
"VG";16;"2004-2008"
"VN";44;"2004-2008"
"WS";40;"2004-2008"
"YU";20;"2004-2008"
"ZA";59;"2004-2008"
"BZ";12;"2004-2008"
"CS";16;"2004-2008"
"DZ";21;"2004-2008"
"GT";19;"2004-2008"
"KE";31;"2004-2008"
"NE";0;"2004-2008"
"NP";11;"2004-2008"
"SN";0;"2004-2008"
"SZ";2;"2004-2008"
"UK";0;"2004-2008"
"BA";17;"2004-2008"
"BJ";4;"2004-2008"
"GH";6;"2004-2008"
"GP";0;"2004-2008"
"JE";NA;"2004-2008"
"MH";NA;"2004-2008"
"MM";NA;"2004-2008"
"MV";NA;"2004-2008"
"SV";2;"2004-2008"
"TG";NA;"2004-2008"
"VI";0;"2004-2008"
"DM";NA;"2004-2008"
"PF";8;"2004-2008"
"PR";14;"2004-2008"
"QA";9;"2004-2008"
"EP";NA;"2004-2008"
"GF";NA;"2004-2008"
"GI";3;"2004-2008"
"GL";0;"2004-2008"
"IQ";9;"2004-2008"
"NY";0;"2004-2008"
"OA";NA;"2004-2008"
"OR";NA;"2004-2008"
"TD";NA;"2004-2008"
"TK";NA;"2004-2008"
"TT";21;"2004-2008"
"YE";NA;"2004-2008"
"AG";1;"2004-2008"
"AL";2;"2004-2008"
"BH";4;"2004-2008"
"CG";0;"2004-2008"
"PY";29;"2004-2008"
"TC";0;"2004-2008"
"ZW";1;"2004-2008"
"RW";NA;"2004-2008"
"SU";NA;"2004-2008"
"LA";0;"2004-2008"
"DJ";NA;"2004-2008"
"KN";0;"2004-2008"
"NI";NA;"2004-2008"
"OM";3;"2004-2008"
"UG";NA;"2004-2008"
"UM";NA;"2004-2008"
"SD";0;"2004-2008"
"CI";5;"2004-2008"
"GD";0;"2004-2008"
"KH";NA;"2004-2008"
"AF";0;"2004-2008"
"AI";0;"2004-2008"
"HN";8;"2004-2008"
"MG";10;"2004-2008"
"AO";NA;"2004-2008"
"KM";NA;"2004-2008"
"PG";NA;"2004-2008"
"TZ";0;"2004-2008"
"VA";NA;"2004-2008"
"MZ";NA;"2004-2008"
"TJ";0;"2004-2008"
"ZM";NA;"2004-2008"
"BU";0;"2004-2008"
"BW";NA;"2004-2008"
"GN";0;"2004-2008"
"RE";2;"2004-2008"
"FJ";11;"2004-2008"
"FO";0;"2004-2008"
"TO";0;"2004-2008"
"BI";0;"2004-2008"
"NH";NA;"2004-2008"
"OH";NA;"2004-2008"
"AW";1;"2004-2008"
"XP";NA;"2004-2008"
"CV";7;"2004-2008"
"TM";5;"2004-2008"
"AP";0;"2004-2008"
"IB";NA;"2004-2008"
"WO";NA;"2004-2008"
"BF";0;"2004-2008"
"TV";0;"2004-2008"
"ST";NA;"2004-2008"
"AE";52;"2009-2013"
"AG";14;"2009-2013"
"AI";10;"2009-2013"
"AM";34;"2009-2013"
"AO";3;"2009-2013"
"AP";NA;"2009-2013"
"AR";45;"2009-2013"
"AT";52;"2009-2013"
"AU";33;"2009-2013"
"AZ";29;"2009-2013"
"BA";18;"2009-2013"
"BD";52;"2009-2013"
"BE";54;"2009-2013"
"BG";36;"2009-2013"
"BM";31;"2009-2013"
"BN";8;"2009-2013"
"BO";7;"2009-2013"
"BR";63;"2009-2013"
"BS";33;"2009-2013"
"BY";50;"2009-2013"
"BZ";3;"2009-2013"
"CA";31;"2009-2013"
"CG";0;"2009-2013"
"CH";32;"2009-2013"
"CL";43;"2009-2013"
"CN";50;"2009-2013"
"CO";32;"2009-2013"
"CR";26;"2009-2013"
"CS";7;"2009-2013"
"CU";14;"2009-2013"
"CY";39;"2009-2013"
"CZ";58;"2009-2013"
"DD";18;"2009-2013"
"DE";41;"2009-2013"
"DK";36;"2009-2013"
"DO";25;"2009-2013"
"DZ";31;"2009-2013"
"EC";37;"2009-2013"
"EE";43;"2009-2013"
"EG";38;"2009-2013"
"ES";60;"2009-2013"
"FI";35;"2009-2013"
"FR";39;"2009-2013"
"GB";41;"2009-2013"
"GE";35;"2009-2013"
"GI";12;"2009-2013"
"GR";47;"2009-2013"
"GT";11;"2009-2013"
"HK";48;"2009-2013"
"HN";0;"2009-2013"
"HR";47;"2009-2013"
"HU";62;"2009-2013"
"ID";31;"2009-2013"
"IE";35;"2009-2013"
"IL";27;"2009-2013"
"IN";25;"2009-2013"
"IQ";25;"2009-2013"
"IR";49;"2009-2013"
"IS";31;"2009-2013"
"IT";49;"2009-2013"
"JE";23;"2009-2013"
"JM";34;"2009-2013"
"JO";34;"2009-2013"
"JP";40;"2009-2013"
"KE";29;"2009-2013"
"KG";14;"2009-2013"
"KP";32;"2009-2013"
"KR";46;"2009-2013"
"KW";44;"2009-2013"
"KY";8;"2009-2013"
"KZ";34;"2009-2013"
"LB";28;"2009-2013"
"LI";34;"2009-2013"
"LK";26;"2009-2013"
"LR";NA;"2009-2013"
"LT";39;"2009-2013"
"LU";29;"2009-2013"
"LV";54;"2009-2013"
"MA";42;"2009-2013"
"MC";31;"2009-2013"
"MD";49;"2009-2013"
"ME";8;"2009-2013"
"ML";0;"2009-2013"
"MN";38;"2009-2013"
"MT";43;"2009-2013"
"MU";11;"2009-2013"
"MX";64;"2009-2013"
"MY";32;"2009-2013"
"NC";5;"2009-2013"
"NG";24;"2009-2013"
"NI";2;"2009-2013"
"NL";46;"2009-2013"
"NO";28;"2009-2013"
"NP";33;"2009-2013"
"NZ";42;"2009-2013"
"OM";19;"2009-2013"
"PA";30;"2009-2013"
"PE";36;"2009-2013"
"PH";29;"2009-2013"
"PK";42;"2009-2013"
"PL";54;"2009-2013"
"PT";61;"2009-2013"
"QA";15;"2009-2013"
"RO";47;"2009-2013"
"RS";54;"2009-2013"
"RU";44;"2009-2013"
"SA";50;"2009-2013"
"SB";0;"2009-2013"
"SE";46;"2009-2013"
"SG";31;"2009-2013"
"SI";48;"2009-2013"
"SK";47;"2009-2013"
"SL";11;"2009-2013"
"SN";9;"2009-2013"
"SY";24;"2009-2013"
"TH";33;"2009-2013"
"TN";46;"2009-2013"
"TR";48;"2009-2013"
"TW";34;"2009-2013"
"UA";43;"2009-2013"
"UK";8;"2009-2013"
"US";37;"2009-2013"
"UY";44;"2009-2013"
"UZ";42;"2009-2013"
"VE";23;"2009-2013"
"VG";8;"2009-2013"
"VN";42;"2009-2013"
"WS";2;"2009-2013"
"ZA";47;"2009-2013"
"ZM";NA;"2009-2013"
"AD";20;"2009-2013"
"CM";6;"2009-2013"
"NE";0;"2009-2013"
"PY";5;"2009-2013"
"SD";6;"2009-2013"
"SZ";14;"2009-2013"
"TT";26;"2009-2013"
"TV";NA;"2009-2013"
"WF";NA;"2009-2013"
"YU";0;"2009-2013"
"AL";1;"2009-2013"
"AN";16;"2009-2013"
"BH";31;"2009-2013"
"ER";0;"2009-2013"
"ET";0;"2009-2013"
"GH";3;"2009-2013"
"GL";0;"2009-2013"
"GQ";NA;"2009-2013"
"KN";11;"2009-2013"
"LY";4;"2009-2013"
"MO";23;"2009-2013"
"TC";0;"2009-2013"
"XN";NA;"2009-2013"
"BB";21;"2009-2013"
"BT";0;"2009-2013"
"FO";15;"2009-2013"
"GA";0;"2009-2013"
"KH";4;"2009-2013"
"MH";0;"2009-2013"
"MK";13;"2009-2013"
"MM";4;"2009-2013"
"NJ";NA;"2009-2013"
"SR";4;"2009-2013"
"TZ";0;"2009-2013"
"AF";0;"2009-2013"
"AW";1;"2009-2013"
"CV";NA;"2009-2013"
"DM";NA;"2009-2013"
"GM";NA;"2009-2013"
"GN";12;"2009-2013"
"IM";0;"2009-2013"
"IO";0;"2009-2013"
"NY";0;"2009-2013"
"OA";NA;"2009-2013"
"OH";NA;"2009-2013"
"ON";0;"2009-2013"
"PM";NA;"2009-2013"
"PR";16;"2009-2013"
"PS";NA;"2009-2013"
"RE";4;"2009-2013"
"RW";NA;"2009-2013"
"SC";3;"2009-2013"
"SM";12;"2009-2013"
"TD";NA;"2009-2013"
"TG";NA;"2009-2013"
"TJ";NA;"2009-2013"
"UG";NA;"2009-2013"
"UX";NA;"2009-2013"
"BJ";0;"2009-2013"
"BW";1;"2009-2013"
"CD";NA;"2009-2013"
"SU";0;"2009-2013"
"VA";0;"2009-2013"
"WA";NA;"2009-2013"
"YS";NA;"2009-2013"
"CI";0;"2009-2013"
"CW";NA;"2009-2013"
"KI";NA;"2009-2013"
"ZW";5;"2009-2013"
"HT";0;"2009-2013"
"SH";NA;"2009-2013"
"SV";0;"2009-2013"
"YE";13;"2009-2013"
"CF";NA;"2009-2013"
"GF";NA;"2009-2013"
"MG";13;"2009-2013"
"PF";NA;"2009-2013"
"EP";NA;"2009-2013"
"FK";NA;"2009-2013"
"GP";NA;"2009-2013"
"GU";0;"2009-2013"
"MW";0;"2009-2013"
"MZ";NA;"2009-2013"
"TK";NA;"2009-2013"
"TM";0;"2009-2013"
"UR";0;"2009-2013"
"LA";1;"2009-2013"
"BF";NA;"2009-2013"
"WO";NA;"2009-2013"
"GD";NA;"2009-2013"
"VU";0;"2009-2013"
"MQ";NA;"2009-2013"
"MR";NA;"2009-2013"
"UC";NA;"2009-2013"
"TO";0;"2009-2013"
"DJ";NA;"2009-2013"
"MI";NA;"2009-2013"
"BQ";0;"2009-2013"
"CK";NA;"2009-2013"
"RI";0;"2009-2013"
"AS";NA;"2009-2013"
"VC";0;"2009-2013"
"GY";NA;"2009-2013"
"TX";NA;"2009-2013"
"EA";NA;"2009-2013"
"FL";0;"2009-2013"
"AD";39;"2014-2018"
"AE";35;"2014-2018"
"AF";NA;"2014-2018"
"AM";27;"2014-2018"
"AO";2;"2014-2018"
"AR";39;"2014-2018"
"AT";41;"2014-2018"
"AU";43;"2014-2018"
"AX";NA;"2014-2018"
"AZ";13;"2014-2018"
"BA";20;"2014-2018"
"BD";34;"2014-2018"
"BE";55;"2014-2018"
"BG";11;"2014-2018"
"BJ";0;"2014-2018"
"BN";32;"2014-2018"
"BQ";0;"2014-2018"
"BR";54;"2014-2018"
"BS";29;"2014-2018"
"BW";0;"2014-2018"
"BY";40;"2014-2018"
"CA";51;"2014-2018"
"CH";40;"2014-2018"
"CL";54;"2014-2018"
"CM";2;"2014-2018"
"CN";54;"2014-2018"
"CO";46;"2014-2018"
"CR";26;"2014-2018"
"CY";36;"2014-2018"
"CZ";40;"2014-2018"
"DD";NA;"2014-2018"
"DE";25;"2014-2018"
"DK";29;"2014-2018"
"DO";11;"2014-2018"
"DZ";12;"2014-2018"
"EC";33;"2014-2018"
"EE";38;"2014-2018"
"EG";41;"2014-2018"
"ES";50;"2014-2018"
"ET";10;"2014-2018"
"FI";31;"2014-2018"
"FL";0;"2014-2018"
"FO";24;"2014-2018"
"FR";40;"2014-2018"
"GB";43;"2014-2018"
"GD";0;"2014-2018"
"GE";28;"2014-2018"
"GH";7;"2014-2018"
"GL";0;"2014-2018"
"GR";44;"2014-2018"
"HK";53;"2014-2018"
"HR";48;"2014-2018"
"HU";32;"2014-2018"
"ID";45;"2014-2018"
"IE";31;"2014-2018"
"IL";34;"2014-2018"
"IM";0;"2014-2018"
"IN";25;"2014-2018"
"IQ";29;"2014-2018"
"IR";44;"2014-2018"
"IS";25;"2014-2018"
"IT";39;"2014-2018"
"JE";24;"2014-2018"
"JM";26;"2014-2018"
"JO";30;"2014-2018"
"JP";40;"2014-2018"
"KE";30;"2014-2018"
"KH";4;"2014-2018"
"KP";28;"2014-2018"
"KR";46;"2014-2018"
"KW";36;"2014-2018"
"KY";12;"2014-2018"
"KZ";26;"2014-2018"
"LA";NA;"2014-2018"
"LB";38;"2014-2018"
"LI";13;"2014-2018"
"LK";37;"2014-2018"
"LT";48;"2014-2018"
"LU";41;"2014-2018"
"LV";52;"2014-2018"
"MA";47;"2014-2018"
"MC";32;"2014-2018"
"MD";40;"2014-2018"
"MG";6;"2014-2018"
"MK";28;"2014-2018"
"MN";45;"2014-2018"
"MO";34;"2014-2018"
"MT";39;"2014-2018"
"MU";9;"2014-2018"
"MX";56;"2014-2018"
"MY";30;"2014-2018"
"NC";16;"2014-2018"
"NE";16;"2014-2018"
"NG";33;"2014-2018"
"NL";38;"2014-2018"
"NO";19;"2014-2018"
"NP";44;"2014-2018"
"NY";31;"2014-2018"
"NZ";28;"2014-2018"
"OA";NA;"2014-2018"
"OM";35;"2014-2018"
"PA";47;"2014-2018"
"PE";30;"2014-2018"
"PH";38;"2014-2018"
"PK";49;"2014-2018"
"PL";55;"2014-2018"
"PR";33;"2014-2018"
"PT";52;"2014-2018"
"QA";31;"2014-2018"
"RO";45;"2014-2018"
"RS";36;"2014-2018"
"RU";40;"2014-2018"
"SA";50;"2014-2018"
"SC";12;"2014-2018"
"SE";26;"2014-2018"
"SG";59;"2014-2018"
"SI";46;"2014-2018"
"SK";29;"2014-2018"
"SN";15;"2014-2018"
"SR";NA;"2014-2018"
"SV";0;"2014-2018"
"TC";11;"2014-2018"
"TH";33;"2014-2018"
"TJ";13;"2014-2018"
"TN";54;"2014-2018"
"TR";37;"2014-2018"
"TT";10;"2014-2018"
"TW";36;"2014-2018"
"TX";NA;"2014-2018"
"TZ";0;"2014-2018"
"UA";31;"2014-2018"
"UK";16;"2014-2018"
"US";54;"2014-2018"
"UY";32;"2014-2018"
"UZ";43;"2014-2018"
"VE";26;"2014-2018"
"VG";32;"2014-2018"
"VN";51;"2014-2018"
"WS";6;"2014-2018"
"YE";4;"2014-2018"
"YU";0;"2014-2018"
"ZA";44;"2014-2018"
"ZM";0;"2014-2018"
"ZW";9;"2014-2018"
"ZZ";NA;"2014-2018"
"BB";3;"2014-2018"
"GA";NA;"2014-2018"
"GT";21;"2014-2018"
"KN";NA;"2014-2018"
"MH";0;"2014-2018"
"NI";0;"2014-2018"
"RE";13;"2014-2018"
"SD";10;"2014-2018"
"SJ";NA;"2014-2018"
"SL";0;"2014-2018"
"SO";0;"2014-2018"
"TG";0;"2014-2018"
"VA";NA;"2014-2018"
"ZJ";NA;"2014-2018"
"AG";0;"2014-2018"
"BH";23;"2014-2018"
"CU";8;"2014-2018"
"ME";1;"2014-2018"
"SU";NA;"2014-2018"
"BM";17;"2014-2018"
"BZ";8;"2014-2018"
"CV";0;"2014-2018"
"CW";0;"2014-2018"
"FJ";NA;"2014-2018"
"GI";12;"2014-2018"
"MM";14;"2014-2018"
"MQ";NA;"2014-2018"
"ON";0;"2014-2018"
"PF";0;"2014-2018"
"PO";NA;"2014-2018"
"SM";32;"2014-2018"
"SY";18;"2014-2018"
"SZ";10;"2014-2018"
"TM";5;"2014-2018"
"TO";0;"2014-2018"
"UG";6;"2014-2018"
"WA";NA;"2014-2018"
"WF";NA;"2014-2018"
"XK";NA;"2014-2018"
"YS";0;"2014-2018"
"CG";0;"2014-2018"
"BC";NA;"2014-2018"
"BF";NA;"2014-2018"
"BO";NA;"2014-2018"
"DM";NA;"2014-2018"
"GQ";NA;"2014-2018"
"HA";NA;"2014-2018"
"HN";2;"2014-2018"
"KG";9;"2014-2018"
"KI";NA;"2014-2018"
"MI";NA;"2014-2018"
"PI";NA;"2014-2018"
"CI";0;"2014-2018"
"MW";0;"2014-2018"
"MZ";0;"2014-2018"
"RW";0;"2014-2018"
"SP";NA;"2014-2018"
"VZ";NA;"2014-2018"
"ML";NA;"2014-2018"
"OR";NA;"2014-2018"
"AI";0;"2014-2018"
"LY";NA;"2014-2018"
"PY";0;"2014-2018"
"NF";NA;"2014-2018"
"AW";0;"2014-2018"
"CT";NA;"2014-2018"
"OH";0;"2014-2018"
"UT";0;"2014-2018"
"BL";0;"2014-2018"
"ER";0;"2014-2018"
"FM";0;"2014-2018"
"GG";1;"2014-2018"
"LN";NA;"2014-2018"
"NJ";NA;"2014-2018"
"SX";0;"2014-2018"
"UD";NA;"2014-2018"
"PS";9;"2014-2018"
"AL";30;"2014-2018"
"DJ";NA;"2014-2018"
"GN";0;"2014-2018"
"OT";NA;"2014-2018"
"KS";NA;"2014-2018"
"UE";NA;"2014-2018"
"BI";0;"2014-2018"
"AN";0;"2014-2018"
"LS";NA;"2014-2018"
"MS";0;"2014-2018"
"BU";NA;"2014-2018"
"TF";NA;"2014-2018"
"CD";22;"2014-2018"
"GP";0;"2014-2018"
"TK";0;"2014-2018"
"CS";NA;"2014-2018"
"LC";NA;"2014-2018"
"AB";NA;"2014-2018"
"CX";NA;"2014-2018"
"LR";0;"2014-2018"
"CK";NA;"2014-2018"
"SB";0;"2014-2018"
