"ctry_code";"techn_field_nr";"RCA_Gen";"RCA_AI";"Period";"Label";"Round_general";"Round_AI";"Total_RCA"
"KR";17;1,49489688824758;0;"1974-1988";"Macromolecular chemistry, polymers";1;0;1
"KR";18;3,80434687233011;0;"1974-1988";"Food chemistry";1;0;1
"KR";19;1,57474755609958;0;"1974-1988";"Basic materials chemistry ";1;0;1
"KR";2;1,58173657700963;0;"1974-1988";"Audio-visual technology";1;0;1
"KR";20;1,34028395458497;0;"1974-1988";"Materials, metallurgy";1;0;1
"KR";21;0,917947509205567;0;"1974-1988";"Surface technology, coating";0;0;0
"KR";22;0;0;"1974-1988";"Micro-structural and nano-technology";0;0;0
"KR";23;0,80862741972777;0;"1974-1988";"Chemical engineering";0;0;0
"KR";24;0,616605679277456;0;"1974-1988";"Environmental technology";0;0;0
"KR";25;0,439623874845902;0;"1974-1988";"Handling";0;0;0
"KR";26;0,733584788705539;0;"1974-1988";"Machine tools";0;0;0
"KR";27;0,498408436294469;0;"1974-1988";"Engines, pumps, turbines";0;0;0
"KR";28;2,01043947822894;0;"1974-1988";"Textile and paper machines";1;0;1
"KR";29;0,77501192754145;0;"1974-1988";"Other special machines";0;0;0
"KR";3;1,40047520647904;0;"1974-1988";"Telecommunications";1;0;1
"KR";30;0,598306782464236;0;"1974-1988";"Thermal processes and apparatus";0;0;0
"KR";31;0,426074118928856;0;"1974-1988";"Mechanical elements";0;0;0
"KR";32;0,575782659489411;0;"1974-1988";"Transport";0;0;0
"KR";33;0,549481731916672;0;"1974-1988";"Furniture, games";0;0;0
"KR";34;1,67078885555981;0;"1974-1988";"Other consumer goods";1;0;1
"KR";35;0,473651324348105;0;"1974-1988";"Civil engineering";0;0;0
"KR";4;1,30434472270759;0;"1974-1988";"Digital communication";1;0;1
"KR";5;1,07857025021714;0;"1974-1988";"Basic communication processes";1;0;1
"KR";6;0,946693574054904;0;"1974-1988";"Computer technology";0;0;0
"KR";7;0;0;"1974-1988";"IT methods for management";0;0;0
"KR";8;1,01723889338574;0;"1974-1988";"Semiconductors";1;0;1
"KR";9;0,365702080315072;0;"1974-1988";"Optics";0;0;0
"US";1;0,806130295464133;0;"1974-1988";"Electrical machinery, apparatus, energy";0;0;0
"US";10;1,03172318778157;0,599167822468793;"1974-1988";"Measurement";1;0;1
"US";11;2,04018346299796;4,19417475728155;"1974-1988";"Analysis of biological materials";1;1;2
"US";12;0,886739264231116;0,655339805825243;"1974-1988";"Control";0;0;0
"US";13;2,15151075244588;2,09708737864078;"1974-1988";"Medical technology";1;1;2
"US";14;1,84624177792577;0;"1974-1988";"Organic fine chemistry";1;0;1
"US";15;1,56235589796273;0;"1974-1988";"Biotechnology";1;0;1
"US";16;1,77882987459276;0;"1974-1988";"Pharmaceuticals";1;0;1
"US";17;1,46564065827323;0;"1974-1988";"Macromolecular chemistry, polymers";1;0;1
"US";18;0,865091906748876;0;"1974-1988";"Food chemistry";0;0;0
"US";19;1,4868861035302;0;"1974-1988";"Basic materials chemistry ";1;0;1
"US";2;0,52903509458199;0;"1974-1988";"Audio-visual technology";0;0;0
"US";20;0,713782396722563;0;"1974-1988";"Materials, metallurgy";0;0;0
"US";21;0,83763355537025;0;"1974-1988";"Surface technology, coating";0;0;0
"US";22;1,75845458877497;0;"1974-1988";"Micro-structural and nano-technology";1;0;1
"US";23;1,29588110635548;0;"1974-1988";"Chemical engineering";1;0;1
"US";24;0,959762232332329;0;"1974-1988";"Environmental technology";0;0;0
"US";25;1,11181959493136;2,09708737864078;"1974-1988";"Handling";1;1;2
"US";26;0,875881768344168;0;"1974-1988";"Machine tools";0;0;0
"US";27;0,832486297644725;2,09708737864078;"1974-1988";"Engines, pumps, turbines";0;1;1
"US";28;0,688224833555297;0;"1974-1988";"Textile and paper machines";0;0;0
"US";29;1,21608212113116;0;"1974-1988";"Other special machines";1;0;1
"US";3;0,657727334104245;1,04854368932039;"1974-1988";"Telecommunications";0;1;1
