"";"Relatedness_Association";"Relatedness_Jaccard";"Relatedness_Prob";"Relatedness_Cosine";"Period"
"PN";0;0;0;0;"2nd"
"PR";34;35;34;34;"2nd"
"PT";55;53;55;54;"2nd"
"PW";NA;NA;NA;NA;"2nd"
"PY";25;25;25;25;"2nd"
"QA";20;18;20;18;"2nd"
"RE";1;1;1;1;"2nd"
"RO";51;56;51;56;"2nd"
"RS";0;0;0;0;"2nd"
"RU";40;39;40;40;"2nd"
"RW";0;0;0;0;"2nd"
"SA";41;43;41;43;"2nd"
"SB";0;0;0;0;"2nd"
"SC";14;11;14;12;"2nd"
"SD";4;4;4;4;"2nd"
"SE";54;53;54;52;"2nd"
"SF";NA;NA;NA;NA;"2nd"
"SG";31;28;31;27;"2nd"
"SH";3;2;3;2;"2nd"
"SI";51;49;51;50;"2nd"
"SK";52;53;52;54;"2nd"
"SL";23;25;23;26;"2nd"
"SM";19;17;20;17;"2nd"
"SN";3;3;3;3;"2nd"
"SO";NA;NA;NA;NA;"2nd"
"SR";1;1;1;1;"2nd"
"ST";40;42;40;43;"2nd"
"SU";45;45;45;46;"2nd"
"SV";48;46;48;46;"2nd"
"SY";34;35;34;35;"2nd"
"SZ";10;11;10;11;"2nd"
"TC";33;33;33;34;"2nd"
"TD";NA;NA;NA;NA;"2nd"
"TG";0;0;0;0;"2nd"
"TH";53;50;53;50;"2nd"
"TJ";39;38;39;40;"2nd"
"TK";NA;NA;NA;NA;"2nd"
"TM";53;57;53;57;"2nd"
"TN";38;38;38;38;"2nd"
"TO";1;1;1;1;"2nd"
"TR";41;40;41;40;"2nd"
"TT";23;24;23;24;"2nd"
"TV";6;5;6;5;"2nd"
"TW";21;20;21;20;"2nd"
"TZ";14;10;14;12;"2nd"
"U ";NA;NA;NA;NA;"2nd"
"UA";40;38;40;39;"2nd"
"UG";13;12;13;12;"2nd"
"UK";0;0;0;0;"2nd"
"UN";NA;NA;NA;NA;"2nd"
"US";49;49;49;49;"2nd"
"UY";34;30;34;31;"2nd"
"UZ";42;42;42;42;"2nd"
"VA";10;14;10;14;"2nd"
"VC";NA;NA;NA;NA;"2nd"
"VE";29;29;29;30;"2nd"
"VG";27;24;28;24;"2nd"
"VI";7;7;7;6;"2nd"
"VN";34;31;34;31;"2nd"
"VU";1;1;1;1;"2nd"
"WO";1;1;1;1;"2nd"
"WS";0;0;0;0;"2nd"
"WV";0;0;0;0;"2nd"
"YD";NA;NA;NA;NA;"2nd"
"YE";9;8;9;8;"2nd"
"YU";42;42;42;42;"2nd"
"ZA";41;37;41;38;"2nd"
"ZM";NA;NA;NA;NA;"2nd"
"ZR";0;0;0;0;"2nd"
"ZW";17;16;17;16;"2nd"
