"";"Relatedness_Association";"Relatedness_Jaccard";"Relatedness_Prob";"Relatedness_Cosine";"Period"
"AT1";52;51;52;51;"2nd"
"AU1";38;34;38;34;"2nd"
"AW";5;4;5;4;"2nd"
"AZ1";47;48;47;48;"2nd"
"BA1";24;24;24;24;"2nd"
"BB1";18;15;19;15;"2nd"
"BD1";3;3;3;3;"2nd"
"BE1";41;40;40;41;"2nd"
"BF";2;3;2;3;"2nd"
"BG1";50;52;50;52;"2nd"
"BH1";35;34;36;33;"2nd"
"BI1";NA;NA;NA;NA;"2nd"
"BJ1";6;8;6;6;"2nd"
"BM1";24;24;24;24;"2nd"
"BN1";0;0;0;0;"2nd"
"BO1";32;30;32;31;"2nd"
"BR1";44;41;44;41;"2nd"
"BS1";18;16;18;16;"2nd"
"BT";0;0;0;0;"2nd"
"BU1";6;4;6;4;"2nd"
"BW";1;1;1;1;"2nd"
"BY1";58;62;58;62;"2nd"
"BZ1";5;5;5;5;"2nd"
"CA1";42;39;42;39;"2nd"
"CC1";0;0;0;0;"2nd"
"CF";0;0;0;0;"2nd"
"CG";0;0;0;0;"2nd"
"CH1";54;53;54;54;"2nd"
"CI1";22;23;22;23;"2nd"
"CK";NA;NA;NA;NA;"2nd"
"CL1";42;41;42;41;"2nd"
"CM1";10;12;10;12;"2nd"
"CN1";45;46;44;47;"2nd"
"CO1";33;32;33;33;"2nd"
"CR1";28;24;28;25;"2nd"
"CS1";45;46;44;46;"2nd"
"CU1";29;26;30;28;"2nd"
"CV";NA;NA;NA;NA;"2nd"
"CY1";36;32;36;32;"2nd"
"CZ1";49;49;49;49;"2nd"
"DD1";43;44;43;45;"2nd"
"DE1";61;62;61;63;"2nd"
"DJ";NA;NA;NA;NA;"2nd"
"DK1";37;35;37;36;"2nd"
"DM";NA;NA;NA;NA;"2nd"
"DO1";18;18;18;19;"2nd"
"DZ1";31;33;31;33;"2nd"
"EC1";20;16;20;17;"2nd"
"EE";45;47;45;47;"2nd"
"EG1";47;46;47;46;"2nd"
"EP";0;0;0;0;"2nd"
"ES1";54;52;54;52;"2nd"
"ET1";4;4;4;4;"2nd"
"FI1";36;35;36;35;"2nd"
"FJ";5;6;5;6;"2nd"
"FO";9;7;9;7;"2nd"
"FR1";46;42;46;43;"2nd"
"GA1";6;8;6;7;"2nd"
"GB1";53;49;53;50;"2nd"
"GC1";NA;NA;NA;NA;"2nd"
"GD";8;10;8;10;"2nd"
"GE";38;38;38;39;"2nd"
"GF";NA;NA;NA;NA;"2nd"
"GH1";7;8;7;8;"2nd"
"GI";23;19;23;20;"2nd"
"GL1";0;0;0;0;"2nd"
"GM";4;5;4;5;"2nd"
"GN1";2;1;2;2;"2nd"
"GP";11;9;11;10;"2nd"
"GQ";NA;NA;NA;NA;"2nd"
"GR1";38;34;38;34;"2nd"
"GT1";30;32;30;32;"2nd"
"GU";8;9;8;9;"2nd"
"GY1";2;2;2;1;"2nd"
"HK1";21;20;21;20;"2nd"
"HN1";20;16;20;17;"2nd"
"HR1";44;42;44;43;"2nd"
"HT1";0;0;0;0;"2nd"
"HU1";41;39;41;40;"2nd"
"IB";0;0;0;0;"2nd"
"ID1";41;45;41;45;"2nd"
"IE1";37;33;38;33;"2nd"
"IL1";47;46;47;46;"2nd"
"IN1";31;34;30;34;"2nd"
"IO";NA;NA;NA;NA;"2nd"
"IQ1";10;8;10;9;"2nd"
"IR1";49;46;49;47;"2nd"
"IS1";25;23;25;24;"2nd"
"IT1";38;36;39;37;"2nd"
"JA1";13;13;13;13;"2nd"
"JE";NA;NA;NA;NA;"2nd"
"JM1";32;27;32;28;"2nd"
"JO1";30;33;30;34;"2nd"
"JP1";43;43;43;43;"2nd"
"KE1";25;25;25;26;"2nd"
"KG";42;44;42;44;"2nd"
"KH";NA;NA;NA;NA;"2nd"
"KI1";5;4;5;4;"2nd"
"KM";0;0;0;0;"2nd"
"KN1";31;28;31;28;"2nd"
"KP1";49;49;49;50;"2nd"
"KR1";43;42;43;41;"2nd"
"KW1";42;45;42;45;"2nd"
"KY1";30;27;30;27;"2nd"
"KZ";37;40;37;40;"2nd"
"LA1";2;2;3;2;"2nd"
"LB1";42;43;42;43;"2nd"
"LC";0;0;0;0;"2nd"
"LI1";36;39;36;39;"2nd"
"LK1";37;36;37;37;"2nd"
"LR1";10;8;9;9;"2nd"
"LS";0;0;0;0;"2nd"
"LT1";45;46;45;47;"2nd"
"LU1";33;31;33;31;"2nd"
"LV";47;47;47;47;"2nd"
"LY1";13;13;13;14;"2nd"
"MA1";45;45;45;46;"2nd"
"MC1";34;35;34;36;"2nd"
"MD1";36;34;36;35;"2nd"
"ME";0;0;0;0;"2nd"
"MG1";20;20;20;21;"2nd"
"MH";0;0;0;0;"2nd"
"MK";29;30;29;30;"2nd"
"ML1";0;0;0;0;"2nd"
"MM";0;0;0;0;"2nd"
"MN1";32;30;32;31;"2nd"
"MO1";32;31;32;32;"2nd"
"MP";0;0;0;0;"2nd"
"MQ";NA;NA;NA;NA;"2nd"
"MR1";6;5;6;5;"2nd"
"MS";0;0;0;0;"2nd"
"MT1";31;29;31;29;"2nd"
"MU1";36;35;36;36;"2nd"
"MV";0;0;0;0;"2nd"
"MW1";0;0;0;0;"2nd"
"MX1";42;40;43;41;"2nd"
"MY1";41;40;41;40;"2nd"
"NC1";5;7;5;6;"2nd"
"NE";9;12;9;11;"2nd"
"NF";0;0;0;0;"2nd"
"NG1";17;17;17;17;"2nd"
"NI";16;15;16;16;"2nd"
"NL1";45;42;45;43;"2nd"
