"";"X1960";"X1961";"X1962";"X1963";"X1964";"X1965";"X1966";"X1967";"X1968";"X1969";"X1970";"X1971";"X1972";"X1973";"X1974";"X1975";"X1976";"X1977";"X1978";"X1979";"X1980";"X1981";"X1982";"X1983";"X1984";"X1985";"X1986";"X1987";"X1988";"X1989";"X1990";"X1991";"X1992";"X1993";"X1994";"X1995";"X1996";"X1997";"X1998";"X1999";"X2000";"X2001";"X2002";"X2003";"X2004";"X2005";"X2006";"X2007";"X2008";"X2009";"X2010";"X2011";"X2012";"X2013";"X2014";"X2015";"X2016";"X2017";"X2018"
"112";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-4";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-5";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0"
"113";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-2";"C10B-0";"C10B-0";"C10B-8";"C10B-0";"C10B-0";"C10B-7";"C10B-10";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0"
"114";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-4";"C10G-0";"C10G-0";"C10G-0";"C10G-4";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0"
"115";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-21";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0"
"116";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-6";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-1";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0"
"117";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-1";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0";"C12G-0"
"118";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-4";"C12M-0";"C12M-1";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-4";"C12M-0";"C12M-0";"C12M-2";"C12M-4";"C12M-0";"C12M-0";"C12M-9";"C12M-0";"C12M-0";"C12M-0";"C12M-3";"C12M-0";"C12M-0";"C12M-0";"C12M-3";"C12M-0";"C12M-3";"C12M-8"
"119";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-1";"C12N-2";"C12N-0";"C12N-0";"C12N-0";"C12N-44";"C12N-0";"C12N-0";"C12N-2";"C12N-0";"C12N-0";"C12N-4";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-1";"C12N-0";"C12N-0";"C12N-1"
"120";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-15";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0"
"121";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-4";"C12Q-0";"C12Q-4";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-7";"C12Q-0";"C12Q-0";"C12Q-3";"C12Q-0";"C12Q-4";"C12Q-0";"C12Q-9";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-4";"C12Q-0";"C12Q-3";"C12Q-9"
