"";"Years";"X.1";"accumulated";"accumulated2"
"1";1960;"";"";"0"
"2";1961;"B44B G06K";"B44B G06K";"2"
"3";1962;"";"B44B G06K";"0"
"4";1963;"";"B44B G06K";"0"
"5";1964;"";"B44B G06K";"0"
"6";1965;"";"B44B G06K";"0"
"7";1966;"";"B44B G06K";"0"
"8";1967;"";"B44B G06K";"0"
"9";1968;"";"B44B G06K";"0"
"10";1969;"";"B44B G06K";"0"
"11";1970;"";"B44B G06K";"0"
"12";1971;"";"B44B G06K";"0"
"13";1972;"";"B44B G06K";"0"
"14";1973;"";"B44B G06K";"0"
"15";1974;"";"B44B G06K";"0"
"16";1975;"";"B44B G06K";"0"
"17";1976;"";"B44B G06K";"0"
"18";1977;"A61B G05B G06F";"A61B G05B G06F B44B G06K";"3"
"19";1978;"";"A61B G05B G06F B44B G06K";"0"
"20";1979;"";"A61B G05B G06F B44B G06K";"0"
"21";1980;"";"A61B G05B G06F B44B G06K";"0"
"22";1981;"";"A61B G05B G06F B44B G06K";"0"
"23";1982;"";"A61B G05B G06F B44B G06K";"0"
"24";1983;"G06N";"G06N A61B G05B G06F B44B G06K";"1"
"25";1984;"F01K F02G F22B G05B G06F G06N G06Q H04B";"F01K F02G F22B G05B G06F G06N G06Q H04B G06N A61B G05B G06F B44B G06K";"5"
"26";1985;"B66B G06F G06K G06N G09B";"B66B G06F G06K G06N G09B F01K F02G F22B G05B G06F G06N G06Q H04B G06N A61B G05B G06F B44B G06K";"2"
"27";1986;"F16J G01R G01S G06F G06G G06K G06N G06Q G09B H01L H02K H04L";"F16J G01R G01S G06F G06G G06K G06N G06Q G09B H01L H02K H04L B66B G06F G06K G06N G09B F01K F02G F22B G05B G06F G06N G06Q H04B G06N A61B G05B G06F B44B G06K";"7"
"28";1987;"B07C B23K B23Q B25J E21B G01N G01S G02B G05B G05D G06F G06G G06J G06K G06N G06Q G06T G11C H03M H04B H04L H04M H04Q";"B07C B23K B23Q B25J E21B G01N G01S G02B G05B G05D G06F G06G G06J G06K G06N G06Q G06T G11C H03M H04B H04L H04M H04Q F16J G01R G01S G06F G06G G06K G06N G06Q G09B H01L H02K H04L B66B G06F G06K G06N G09B F01K F02G F22B G05B G06F G06N G06Q H04B G06N A61B G05B G06F B44B G06K";"14"
