"";"X1960";"X1961";"X1962";"X1963";"X1964";"X1965";"X1966";"X1967";"X1968";"X1969";"X1970";"X1971";"X1972";"X1973";"X1974";"X1975";"X1976";"X1977";"X1978";"X1979";"X1980";"X1981";"X1982";"X1983";"X1984";"X1985";"X1986";"X1987";"X1988";"X1989";"X1990";"X1991";"X1992";"X1993";"X1994";"X1995";"X1996";"X1997";"X1998";"X1999";"X2000";"X2001";"X2002";"X2003";"X2004";"X2005";"X2006";"X2007";"X2008";"X2009";"X2010";"X2011";"X2012";"X2013";"X2014";"X2015";"X2016";"X2017";"X2018"
"98";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-1";"C07H-0";"C07H-0";"C07H-1";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0";"C07H-0"
"99";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-6";"C07K-0";"C07K-0";"C07K-2";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-5";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0";"C07K-0"
"100";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-0";"C09K-3";"C09K-0"
"101";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-12";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0";"C10B-0"
"102";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-12";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0";"C10G-0"
"103";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-4";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0";"C10J-0"
"104";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-4";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0";"C10L-0"
"105";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-2";"C12M-2";"C12M-3";"C12M-3";"C12M-0";"C12M-0";"C12M-14";"C12M-0";"C12M-0";"C12M-0";"C12M-0";"C12M-2";"C12M-0";"C12M-0";"C12M-0";"C12M-3";"C12M-0";"C12M-0";"C12M-0";"C12M-0"
"106";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-0";"C12N-7";"C12N-0";"C12N-0";"C12N-8";"C12N-6";"C12N-42";"C12N-0";"C12N-0";"C12N-0";"C12N-18";"C12N-0";"C12N-0";"C12N-43";"C12N-8";"C12N-59"
"107";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-2";"C12P-3";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0";"C12P-0"
