"";"Years";"X.1";"accumulated";"accumulated2"
"1";1960;"";"";"0"
"2";1961;"";"";"0"
"3";1962;"";"";"0"
"4";1963;"";"";"0"
"5";1964;"";"";"0"
"6";1965;"";"";"0"
"7";1966;"";"";"0"
"8";1967;"";"";"0"
"9";1968;"";"";"0"
"10";1969;"";"";"0"
"11";1970;"";"";"0"
"12";1971;"";"";"0"
"13";1972;"";"";"0"
"14";1973;"";"";"0"
"15";1974;"";"";"0"
"16";1975;"";"";"0"
"17";1976;"";"";"0"
"18";1977;"";"";"0"
"19";1978;"";"";"0"
"20";1979;"";"";"0"
"21";1980;"";"";"0"
"22";1981;"";"";"0"
"23";1982;"";"";"0"
"24";1983;"";"";"0"
"25";1984;"";"";"0"
"26";1985;"";"";"0"
"27";1986;"";"";"0"
"28";1987;"";"";"0"
"29";1988;"";"";"0"
"30";1989;"C21D";"C21D";"1"
"31";1990;"A61B";"A61B C21D";"1"
"32";1991;"C10K G05D G06F";"C10K G05D G06F A61B C21D";"3"
"33";1992;"B24B";"B24B C10K G05D G06F A61B C21D";"1"
"34";1993;"A01G A61B C21B G01R G06N";"A01G A61B C21B G01R G06N B24B C10K G05D G06F A61B C21D";"4"
"35";1994;"A61B E04H G06K G06N G09B";"A61B E04H G06K G06N G09B A01G A61B C21B G01R G06N B24B C10K G05D G06F A61B C21D";"3"
"36";1995;"G05B G06F G06N";"G05B G06F G06N A61B E04H G06K G06N G09B A01G A61B C21B G01R G06N B24B C10K G05D G06F A61B C21D";"1"
"37";1996;"F28D G01D";"F28D G01D G05B G06F G06N A61B E04H G06K G06N G09B A01G A61B C21B G01R G06N B24B C10K G05D G06F A61B C21D";"2"
"38";1997;"A01G A61H A61N G01R G06G";"A01G A61H A61N G01R G06G F28D G01D G05B G06F G06N A61B E04H G06K G06N G09B A01G A61B C21B G01R G06N B24B C10K G05D G06F A61B C21D";"3"
"39";1998;"A61N A63G F24F G06K G06N G09B";"A61N A63G F24F G06K G06N G09B A01G A61H A61N G01R G06G F28D G01D G05B G06F G06N A61B E04H G06K G06N G09B A01G A61B C21B G01R G06N B24B C10K G05D G06F A61B C21D";"2"
"40";1999;"A61B G06F G06K G06N G10L H03M H04M";"A61B G06F G06K G06N G10L H03M H04M A61N A63G F24F G06K G06N G09B A01G A61H A61N G01R G06G F28D G01D G05B G06F G06N A61B E04H G06K G06N G09B A01G A61B C21B G01R G06N B24B C10K G05D G06F A61B C21D";"3"
"41";2000;"A24B A24D B29C G06F G06K G06N";"A24B A24D B29C G06F G06K G06N A61B G06F G06K G06N G10L H03M H04M A61N A63G F24F G06K G06N G09B A01G A61H A61N G01R G06G F28D G01D G05B G06F G06N A61B E04H G06K G06N G09B A01G A61B C21B G01R G06N B24B C10K G05D G06F A61B C21D";"3"
"42";2001;"A61B C10G E21B G01N G01R G06F G06K G06N G10L";"A61B C10G E21B G01N G01R G06F G06K G06N G10L A24B A24D B29C G06F G06K G06N A61B G06F G06K G06N G10L H03M H04M A61N A63G F24F G06K G06N G09B A01G A61H A61N G01R G06G F28D G01D G05B G06F G06N A61B E04H G06K G06N G09B A01G A61B C21B G01R G06N B24B C10K G05D G06F A61B C21D";"3"
"43";2002;"A01G C12M C21B C25C G01D G01N G01T G05B G06E G06F G06G G06K G06N G10L H03F H04B";"A01G C12M C21B C25C G01D G01N G01T G05B G06E G06F G06G G06K G06N G10L H03F H04B A61B C10G E21B G01N G01R G06F G06K G06N G10L A24B A24D B29C G06F G06K G06N A61B G06F G06K G06N G10L H03M H04M A61N A63G F24F G06K G06N G09B A01G A61H A61N G01R G06G F28D G01D G05B G06F G06N A61B E04H G06K G06N G09B A01G A61B C21B G01R G06N B24B C10K G05D G06F A61B C21D";"6"
"44";2003;"A24B A61B B21D B23K B24B B25J B29B B60K B60L B60R F23C G01B G01D G01M G01N G05B G05D G06F G06K G06N G06T G08B G08G G10L H02J H02P H03F H03H H04N";"A24B A61B B21D B23K B24B B25J B29B B60K B60L B60R F23C G01B G01D G01M G01N G05B G05D G06F G06K G06N G06T G08B G08G G10L H02J H02P H03F H03H H04N A01G C12M C21B C25C G01D G01N G01T G05B G06E G06F G06G G06K G06N G10L H03F H04B A61B C10G E21B G01N G01R G06F G06K G06N G10L A24B A24D B29C G06F G06K G06N A61B G06F G06K G06N G10L H03M H04M A61N A63G F24F G06K G06N G09B A01G A61H A61N G01R G06G F28D G01D G05B G06F G06N A61B E04H G06K G06N G09B A01G A61B C21B G01R G06N B24B C10K G05D G06F A61B C21D";"17"
