"";"Years";"World_NewCodeYear";"World_Accumulated";"World_NumberOfNewCodes";"China_NewCodeYear";"China_Accumulated";"China_NumberOfNewCodes";"SouthKorea_NewCodeYear";"SouthKorea_Accumulated";"SouthKorea_NumberOfNewCodes";"US_NewCodeYear";"US_Accumulated";"US_NumberOfNewCodes";"Japan_NewCodeYear";"Japan_Accumulated";"Japan_NumberOfNewCodes"
"1";1960;"";"";0;"";"";0;"";"";0;"";"";0;"";"";0
"2";1961;"B44B G06K";"B44B G06K";2;"";"";0;"";"";0;"B44B G06K";"B44B G06K";2;"";"";0
"3";1962;"";"B44B G06K";0;"";"";0;"";"";0;"";"B44B G06K";0;"";"";0
"4";1963;"";"B44B G06K";0;"";"";0;"";"";0;"";"B44B G06K";0;"";"";0
"5";1964;"";"B44B G06K";0;"";"";0;"";"";0;"";"B44B G06K";0;"";"";0
"6";1965;"";"B44B G06K";0;"";"";0;"";"";0;"";"B44B G06K";0;"";"";0
"7";1966;"";"B44B G06K";0;"";"";0;"";"";0;"";"B44B G06K";0;"";"";0
"8";1967;"";"B44B G06K";0;"";"";0;"";"";0;"";"B44B G06K";0;"";"";0
"9";1968;"";"B44B G06K";0;"";"";0;"";"";0;"";"B44B G06K";0;"";"";0
"10";1969;"";"B44B G06K";0;"";"";0;"";"";0;"";"B44B G06K";0;"";"";0
"11";1970;"";"B44B G06K";0;"";"";0;"";"";0;"";"B44B G06K";0;"";"";0
"12";1971;"";"B44B G06K";0;"";"";0;"";"";0;"";"B44B G06K";0;"";"";0
"13";1972;"";"B44B G06K";0;"";"";0;"";"";0;"";"B44B G06K";0;"";"";0
"14";1973;"";"B44B G06K";0;"";"";0;"";"";0;"";"B44B G06K";0;"";"";0
"15";1974;"";"B44B G06K";0;"";"";0;"";"";0;"";"B44B G06K";0;"";"";0
"16";1975;"G09B";"G09B B44B G06K";1;"";"";0;"";"";0;"";"B44B G06K";0;"G09B";"G09B";1
"17";1976;"";"G09B B44B G06K";0;"";"";0;"";"";0;"";"B44B G06K";0;"";"G09B";0
"18";1977;"A61B G05B G06F";"A61B G05B G06F G09B B44B G06K";3;"";"";0;"";"";0;"A61B G05B G06F";"A61B G05B G06F B44B G06K";3;"";"G09B";0
"19";1978;"F24D G05D";"F24D G05D A61B G05B G06F G09B B44B G06K";2;"";"";0;"";"";0;"";"A61B G05B G06F B44B G06K";0;"";"G09B";0
"20";1979;"";"F24D G05D A61B G05B G06F G09B B44B G06K";0;"";"";0;"";"";0;"";"A61B G05B G06F B44B G06K";0;"";"G09B";0
"21";1980;"G05B G06F G06T";"G05B G06F G06T F24D G05D A61B G05B G06F G09B B44B G06K";1;"";"";0;"";"";0;"";"A61B G05B G06F B44B G06K";0;"G05B G06F G06T";"G05B G06F G06T G09B";3
"22";1981;"G09B";"G09B G05B G06F G06T F24D G05D A61B G05B G06F G09B B44B G06K";0;"";"";0;"";"";0;"";"A61B G05B G06F B44B G06K";0;"G09B";"G09B G05B G06F G06T G09B";0
"23";1982;"";"G09B G05B G06F G06T F24D G05D A61B G05B G06F G09B B44B G06K";0;"";"";0;"";"";0;"";"A61B G05B G06F B44B G06K";0;"";"G09B G05B G06F G06T G09B";0
"24";1983;"G01M G06N";"G01M G06N G09B G05B G06F G06T F24D G05D A61B G05B G06F G09B B44B G06K";2;"";"";0;"";"";0;"G06N";"G06N A61B G05B G06F B44B G06K";1;"G01M";"G01M G09B G05B G06F G06T G09B";1
"25";1984;"F01K F02G F22B G01M G01N G05B G06F G06N G06Q H01L H03K H04B";"F01K F02G F22B G01M G01N G05B G06F G06N G06Q H01L H03K H04B G01M G06N G09B G05B G06F G06T F24D G05D A61B G05B G06F G09B B44B G06K";8;"";"";0;"";"";0;"F01K F02G F22B G05B G06F G06N G06Q H04B";"F01K F02G F22B G05B G06F G06N G06Q H04B G06N A61B G05B G06F B44B G06K";5;"G01M G01N G06N H01L H03K";"G01M G01N G06N H01L H03K G01M G09B G05B G06F G06T G09B";4
"26";1985;"B66B G01M G06F G06G G06K G06N G06T G09B H01L H03K";"B66B G01M G06F G06G G06K G06N G06T G09B H01L H03K F01K F02G F22B G01M G01N G05B G06F G06N G06Q H01L H03K H04B G01M G06N G09B G05B G06F G06T F24D G05D A61B G05B G06F G09B B44B G06K";2;"";"";0;"";"";0;"B66B G06F G06K G06N G09B";"B66B G06F G06K G06N G09B F01K F02G F22B G05B G06F G06N G06Q H04B G06N A61B G05B G06F B44B G06K";2;"G01M G06F G06G G06K G06N G06T H01L H03K";"G01M G06F G06G G06K G06N G06T H01L H03K G01M G01N G06N H01L H03K G01M G09B G05B G06F G06T G09B";2
"27";1986;"B60R B60S C02F F02D F16J F23G G01M G01R G01S G03H G05B G05D G06F G06G G06K G06N G06Q G06T G09B G11C H01L H02K H03K H04L";"B60R B60S C02F F02D F16J F23G G01M G01R G01S G03H G05B G05D G06F G06G G06K G06N G06Q G06T G09B G11C H01L H02K H03K H04L B66B G01M G06F G06G G06K G06N G06T G09B H01L H03K F01K F02G F22B G01M G01N G05B G06F G06N G06Q H01L H03K H04B G01M G06N G09B G05B G06F G06T F24D G05D A61B G05B G06F G09B B44B G06K";12;"";"";0;"";"";0;"F16J G01R G01S G06F G06G G06K G06N G06Q G09B H01L H02K H04L";"F16J G01R G01S G06F G06G G06K G06N G06Q G09B H01L H02K H04L B66B G06F G06K G06N G09B F01K F02G F22B G05B G06F G06N G06Q H04B G06N A61B G05B G06F B44B G06K";7;"B60R B60S C02F F02D F23G G01M G01R G01S G05B G05D G06F G06G G06K G06N G06Q G06T H03K";"B60R B60S C02F F02D F23G G01M G01R G01S G05B G05D G06F G06G G06K G06N G06Q G06T H03K G01M G06F G06G G06K G06N G06T H01L H03K G01M G01N G06N H01L H03K G01M G09B G05B G06F G06T G09B";9
"28";1987;"A61B B01F B07C B21D B23K B23P B23Q B25J B29C B60R B60T B61L B62D C08F C08J E21B E21F F02D F24F G01G G01J G01M G01N G01R G01S G02B G05B G05D G06F G06G G06J G06K G06N G06Q G06T G09B G10L G11C H01L H01S H03K H03M H04B H04L H04M H04Q H05K";"A61B B01F B07C B21D B23K B23P B23Q B25J B29C B60R B60T B61L B62D C08F C08J E21B E21F F02D F24F G01G G01J G01M G01N G01R G01S G02B G05B G05D G06F G06G G06J G06K G06N G06Q G06T G09B G10L G11C H01L H01S H03K H03M H04B H04L H04M H04Q H05K B60R B60S C02F F02D F16J F23G G01M G01R G01S G03H G05B G05D G06F G06G G06K G06N G06Q G06T G09B G11C H01L H02K H03K H04L B66B G01M G06F G06G G06K G06N G06T G09B H01L H03K F01K F02G F22B G01M G01N G05B G06F G06N G06Q H01L H03K H04B G01M G06N G09B G05B G06F G06T F24D G05D A61B G05B G06F G09B B44B G06K";26;"";"";0;"";"";0;"B07C B23K B23Q B25J E21B G01N G01S G02B G05B G05D G06F G06G G06J G06K G06N G06Q G06T G11C H03M H04B H04L H04M H04Q";"B07C B23K B23Q B25J E21B G01N G01S G02B G05B G05D G06F G06G G06J G06K G06N G06Q G06T G11C H03M H04B H04L H04M H04Q F16J G01R G01S G06F G06G G06K G06N G06Q G09B H01L H02K H04L B66B G06F G06K G06N G09B F01K F02G F22B G05B G06F G06N G06Q H04B G06N A61B G05B G06F B44B G06K";14;"A61B B01F B21D B23K B23P B23Q B29C B60R B60T B62D C08F C08J E21F F02D F24F G01G G01J G01M G01N G01R G02B G05B G05D G06F G06G G06N G06Q G06T G09B G10L H01L H01S H03K H05K";"A61B B01F B21D B23K B23P B23Q B29C B60R B60T B62D C08F C08J E21F F02D F24F G01G G01J G01M G01N G01R G02B G05B G05D G06F G06G G06N G06Q G06T G09B G10L H01L H01S H03K H05K B60R B60S C02F F02D F23G G01M G01R G01S G05B G05D G06F G06G G06K G06N G06Q G06T H03K G01M G06F G06G G06K G06N G06T H01L H03K G01M G01N G06N H01L H03K G01M G09B G05B G06F G06T G09B";19
"29";1988;"A61B A61M A61N B02C B22D B23Q B25J B29C B60L B63B B63H B65G C02F C21B C21C C22C E21D F02B F02D F24F G01C G01L G01M G01N G01R G01S G01W G02F G03H G05B G05D G06E G06F G06G G06J G06K G06N G06Q G06T G07D G08B G08G G09B G10L G11C G21C G21D H01B H01L H02J H02P H03K H03M H04B H04J H04L H04M H04N H04Q H04R";"A61B A61M A61N B02C B22D B23Q B25J B29C B60L B63B B63H B65G C02F C21B C21C C22C E21D F02B F02D F24F G01C G01L G01M G01N G01R G01S G01W G02F G03H G05B G05D G06E G06F G06G G06J G06K G06N G06Q G06T G07D G08B G08G G09B G10L G11C G21C G21D H01B H01L H02J H02P H03K H03M H04B H04J H04L H04M H04N H04Q H04R A61B B01F B07C B21D B23K B23P B23Q B25J B29C B60R B60T B61L B62D C08F C08J E21B E21F F02D F24F G01G G01J G01M G01N G01R G01S G02B G05B G05D G06F G06G G06J G06K G06N G06Q G06T G09B G10L G11C H01L H01S H03K H03M H04B H04L H04M H04Q H05K B60R B60S C02F F02D F16J F23G G01M G01R G01S G03H G05B G05D G06F G06G G06K G06N G06Q G06T G09B G11C H01L H02K H03K H04L B66B G01M G06F G06G G06K G06N G06T G09B H01L H03K F01K F02G F22B G01M G01N G05B G06F G06N G06Q H01L H03K H04B G01M G06N G09B G05B G06F G06T F24D G05D A61B G05B G06F G09B B44B G06K";29;"";"";0;"";"";0;"A61B A61M B29C G01N G01R G01S G05B G06F G06G G06J G06K G06N G06Q G06T G08B G08G G09B G10L G11C G21C H01L H03K H03M H04L";"A61B A61M B29C G01N G01R G01S G05B G06F G06G G06J G06K G06N G06Q G06T G08B G08G G09B G10L G11C G21C H01L H03K H03M H04L B07C B23K B23Q B25J E21B G01N G01S G02B G05B G05D G06F G06G G06J G06K G06N G06Q G06T G11C H03M H04B H04L H04M H04Q F16J G01R G01S G06F G06G G06K G06N G06Q G09B H01L H02K H04L B66B G06F G06K G06N G09B F01K F02G F22B G05B G06F G06N G06Q H04B G06N A61B G05B G06F B44B G06K";7;"A61B A61N B02C B22D B23Q B25J B29C B60L B63B B63H B65G C02F C21B C21C C22C E21D F02B F02D F24F G01C G01L G01M G01N G01R G01W G02F G05B G05D G06E G06F G06G G06K G06N G06Q G06T G07D G08B G10L G11C G21C G21D H01B H01L H02J H02P H03K H04B H04J H04L H04M H04N H04Q H04R";"A61B A61N B02C B22D B23Q B25J B29C B60L B63B B63H B65G C02F C21B C21C C22C E21D F02B F02D F24F G01C G01L G01M G01N G01R G01W G02F G05B G05D G06E G06F G06G G06K G06N G06Q G06T G07D G08B G10L G11C G21C G21D H01B H01L H02J H02P H03K H04B H04J H04L H04M H04N H04Q H04R A61B B01F B21D B23K B23P B23Q B29C B60R B60T B62D C08F C08J E21F F02D F24F G01G G01J G01M G01N G01R G02B G05B G05D G06F G06G G06N G06Q G06T G09B G10L H01L H01S H03K H05K B60R B60S C02F F02D F23G G01M G01R G01S G05B G05D G06F G06G G06K G06N G06Q G06T H03K G01M G06F G06G G06K G06N G06T H01L H03K G01M G01N G06N H01L H03K G01M G09B G05B G06F G06T G09B";33
